string2 0,string 1
"0","None"
"1","Fire"
"2","Ice"
"3","Plant"
"4","Water"
"5","Electricity"
"6","Steel"
"7","Wind"
"8","Earth"
"9","Light"
"10","Dark"
"100","{is28}{image(ui_icon_skill_000)} Null"
"101","{is28}{image(ui_icon_skill_001)} Fire"
"102","{is28}{image(ui_icon_skill_002)} Ice"
"103","{is28}{image(ui_icon_skill_003)} Plant"
"104","{is28}{image(ui_icon_skill_004)} Water"
"105","{is28}{image(ui_icon_skill_005)} Electricity"
"106","{is28}{image(ui_icon_skill_006)} Steel"
"107","{is28}{image(ui_icon_skill_007)} Wind"
"108","{is28}{image(ui_icon_skill_008)} Earth"
"109","{is28}{image(ui_icon_skill_009)} Light"
"110","{is28}{image(ui_icon_skill_010)} Dark"
