int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,bool 11,bool 12,int32 13,empty 14,int32 15,int32 16,int32 17,int32 18,string2 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,string2 27
1,,,,1,0,0,40,15,300,60,true,true,80001,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
2,,,,2,0,0,40,16,800,160,true,true,80002,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
3,,,,3,0,0,40,17,3300,660,true,true,80003,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
4,,,,4,0,0,41,19,900,180,true,true,80004,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
5,,,,5,0,0,41,20,3600,720,true,true,80005,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
6,,,,6,0,0,41,21,7200,1440,true,true,80006,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
7,,,,7,0,0,42,23,400,80,true,true,80007,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
8,,,,8,0,0,42,24,1600,320,true,true,80008,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
9,,,,9,0,0,42,25,6700,1340,true,true,80009,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
10,,,,10,0,0,43,27,1200,240,true,true,80010,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
11,,,,11,0,0,43,28,4800,960,true,true,80011,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
12,,,,12,0,0,43,29,9600,1920,true,true,80012,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
13,,,,13,0,0,44,30,9000,1800,true,true,80013,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
14,,,,14,0,0,44,31,20000,4000,true,true,80014,,0,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
15,,,,15,0,0,45,33,150,30,true,false,80015,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
16,,,,16,0,0,47,35,150,30,true,false,80017,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
17,,,,17,0,0,48,37,150,30,true,false,80018,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
18,,,,18,0,0,49,39,150,30,true,false,80019,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
19,,,,19,0,0,50,40,150,30,true,false,80020,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
20,,,,20,0,0,51,45,150,30,true,false,80021,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
21,,,,21,0,0,76,41,150,30,true,false,80022,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
22,,,,22,0,0,77,42,150,30,true,false,80023,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
23,,,,23,0,0,52,46,800,160,true,false,80024,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
24,,,,24,0,0,53,43,800,160,true,false,80025,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
25,,,,25,0,0,54,44,2500,500,true,false,80026,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
26,,,,26,0,0,55,48,2000,400,true,false,80027,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
27,,,,27,0,0,55,49,6500,1300,true,false,80028,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
28,,,,28,0,0,56,50,8000,1600,true,false,80029,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
29,,,,29,0,0,56,51,20000,4000,true,false,80030,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
30,,,,30,0,1,57,84,700,140,true,false,80031,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
31,,,,31,0,1,57,85,700,140,true,false,80032,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
32,,,,32,0,1,57,86,700,140,true,false,80033,,-1,-1,-1,-1,"",0,0,0,-1,-1,-1,-1,""
