int 0,empty 1,int 2,empty 3,int 4,int 5,int 6,string3 7
1000,"",1,"",1,2,2,"0"
1001,"",2,"",1,1,1,"0"
1002,"",7,"",1,2,2,"0"
1003,"",8,"",1,1,1,"0"
1010,"",5,"",1,3,1,"0"
1011,"",7,"",1,3,1,"0"
1012,"",8,"",1,3,1,"0"
1013,"",10,"",1,3,1,"0"
101010010,"",301,"",1,5,7,"0"
101010011,"",302,"",1,5,5,"0"
101010012,"",303,"",1,5,3,"0"
101010013,"",1,"",1,1,1,"0"
101010020,"",311,"",1,5,7,"0"
101010021,"",312,"",1,5,5,"0"
101010022,"",313,"",1,5,3,"0"
101010023,"",7,"",1,1,1,"0"
101010030,"",321,"",1,5,7,"0"
101010031,"",322,"",1,5,5,"0"
101010032,"",323,"",1,5,3,"0"
101010033,"",15,"",1,1,1,"0"
101010040,"",331,"",1,5,7,"0"
101010041,"",332,"",1,5,5,"0"
101010042,"",333,"",1,5,3,"0"
101010043,"",16,"",1,1,1,"0"
101010050,"",341,"",1,5,7,"0"
101010051,"",342,"",1,5,5,"0"
101010052,"",343,"",1,5,3,"0"
101010053,"",17,"",1,1,1,"0"
101010060,"",351,"",1,5,7,"0"
101010061,"",352,"",1,5,5,"0"
101010062,"",353,"",1,5,3,"0"
101010063,"",18,"",1,1,1,"0"
101010070,"",301,"",1,5,1,"0"
101010071,"",311,"",1,5,1,"0"
101010072,"",321,"",1,5,1,"0"
101010073,"",331,"",1,5,1,"0"
101010074,"",341,"",1,5,1,"0"
101010075,"",351,"",1,5,1,"0"
101010080,"",302,"",1,5,1,"0"
101010081,"",312,"",1,5,1,"0"
101010082,"",322,"",1,5,1,"0"
101010083,"",332,"",1,5,1,"0"
101010084,"",342,"",1,5,1,"0"
101010085,"",352,"",1,5,1,"0"
101010090,"",303,"",1,5,1,"0"
101010091,"",313,"",1,5,1,"0"
101010092,"",323,"",1,5,1,"0"
101010093,"",333,"",1,5,1,"0"
101010094,"",343,"",1,5,1,"0"
101010095,"",353,"",1,5,1,"0"
201020010,"",331,"",1,5,2,"0"
201020011,"",332,"",1,5,3,"0"
201020012,"",333,"",1,5,4,"0"
201020013,"",31,"",1,2,1,"0"
201020014,"",90,"",1,2,2,"0"
201020015,"",18,"",1,2,1,"0"
201020016,"",91,"",1,1,1,"0"
201020020,"",1031,"",1,1,1,"1"
201020030,"",27,"",1,1,1,"1"
201020040,"",6,"",1,1,1,"1"
201030010,"",331,"",1,5,4,"0"
201030011,"",332,"",1,5,4,"0"
201030012,"",333,"",1,5,4,"0"
201030013,"",33,"",1,2,2,"0"
201030014,"",3,"",1,1,1,"0"
201030015,"",9,"",1,1,1,"0"
201030016,"",91,"",1,1,1,"0"
201030020,"",301,"",1,5,4,"0"
201030021,"",302,"",1,5,4,"0"
201030022,"",303,"",1,5,4,"0"
201030023,"",34,"",1,2,2,"0"
201030024,"",19,"",1,1,1,"0"
201030025,"",20,"",1,1,1,"0"
201030026,"",91,"",1,1,1,"0"
201030030,"",3,"",1,1,1,"1"
201030040,"",69,"",1,1,1,"1"
201030050,"",1005,"",1,1,1,"1"
201030060,"",13,"",1,1,1,"1"
201030070,"",1142,"",1,1,1,"1"
201030080,"",23,"",1,1,1,"1"
201040010,"",332,"",1,5,4,"0"
201040011,"",333,"",1,5,4,"0"
201040012,"",18,"",1,2,2,"0"
201040013,"",30,"",1,1,1,"0"
201040014,"",223,"",1,1,1,"0"
201040015,"",91,"",1,1,1,"0"
201050010,"",38,"",1,1,3,"0"
201050011,"",39,"",1,1,3,"0"
201050012,"",89,"",1,1,2,"0"
201050013,"",332,"",1,3,6,"0"
201050014,"",333,"",1,2,5,"0"
201050015,"",91,"",1,1,1,"0"
201060010,"",321,"",1,5,4,"0"
201060011,"",322,"",1,5,4,"0"
201060012,"",323,"",1,5,4,"0"
201060013,"",90,"",1,2,2,"0"
201060014,"",91,"",1,1,1,"0"
201060020,"",25,"",1,1,1,"1"
201060030,"",1052,"",1,1,1,"1"
201060040,"",27,"",1,1,1,"1"
201070010,"",321,"",1,5,4,"0"
201070011,"",322,"",1,5,4,"0"
201070012,"",323,"",1,5,4,"0"
201070013,"",16,"",1,2,2,"0"
201070014,"",2,"",1,1,1,"0"
201070015,"",24,"",1,1,1,"0"
201070016,"",91,"",1,1,1,"0"
201070020,"",321,"",1,5,4,"0"
201070021,"",322,"",1,5,4,"0"
201070022,"",323,"",1,5,4,"0"
201070023,"",18,"",1,2,2,"0"
201070024,"",8,"",1,1,1,"0"
201070025,"",23,"",1,1,1,"0"
201070026,"",91,"",1,1,1,"0"
201070030,"",1014,"",1,1,1,"1"
201070040,"",78,"",1,1,1,"1"
201070050,"",26,"",1,1,1,"1"
201070060,"",31032,"",1,1,1,"1"
201070070,"",1025,"",1,1,1,"1"
201070080,"",6,"",1,1,1,"1"
201070090,"",1097,"",1,1,1,"1"
201080010,"",322,"",1,5,4,"0"
201080011,"",323,"",1,5,4,"0"
201080012,"",90,"",1,2,2,"0"
201080013,"",24,"",1,1,1,"0"
201080014,"",91,"",1,1,1,"0"
201090010,"",323,"",1,5,4,"0"
201090011,"",90,"",1,3,2,"0"
201090012,"",18,"",1,1,2,"0"
201090013,"",12,"",1,1,1,"0"
201090014,"",91,"",1,1,1,"0"
201090020,"",321,"",1,5,5,"0"
201090021,"",322,"",1,5,5,"0"
201090022,"",323,"",1,5,4,"0"
201090023,"",6,"",1,1,1,"0"
201090024,"",91,"",1,1,1,"0"
202010010,"",351,"",1,5,5,"0"
202010011,"",352,"",1,5,4,"0"
202010012,"",18,"",1,2,2,"0"
202010013,"",84,"",1,1,1,"0"
202010020,"",341,"",1,5,5,"0"
202010021,"",342,"",1,5,4,"0"
202010022,"",18,"",1,2,2,"0"
202010023,"",84,"",1,1,1,"0"
202020010,"",341,"",1,5,3,"0"
202020011,"",342,"",1,5,2,"0"
202020012,"",321,"",1,5,2,"0"
202020013,"",322,"",1,5,3,"0"
202020014,"",301,"",1,5,2,"0"
202020015,"",302,"",1,5,2,"0"
202020016,"",16,"",1,2,2,"0"
202020017,"",91,"",1,1,1,"0"
202050010,"",1,"",1,1,1,"0"
202050012,"",17,"",1,2,2,"0"
202050013,"",82,"",1,3,2,"0"
202050014,"",321,"",1,5,4,"0"
202050015,"",351,"",1,5,4,"0"
202050016,"",352,"",1,5,4,"0"
202050017,"",84,"",1,1,1,"0"
202050020,"",1,"",1,1,1,"1"
202050030,"",7,"",1,1,1,"1"
202050040,"",17,"",1,1,1,"1"
202050050,"",35,"",1,1,1,"1"
202050060,"",23,"",1,1,1,"1"
202050070,"",1,"",1,1,1,"1"
202050080,"",23,"",1,1,1,"1"
202050090,"",7,"",1,1,1,"0"
202050092,"",17,"",1,2,2,"0"
202050093,"",82,"",1,3,2,"0"
202050094,"",331,"",1,5,4,"0"
202050095,"",332,"",1,5,4,"0"
202050096,"",322,"",1,5,4,"0"
202050097,"",86,"",1,1,1,"0"
202060010,"",311,"",1,5,2,"0"
202060011,"",312,"",1,5,2,"0"
202060012,"",331,"",1,5,1,"0"
202060013,"",332,"",1,5,1,"0"
202070010,"",351,"",1,5,4,"0"
202070011,"",352,"",1,5,4,"0"
202070012,"",321,"",1,5,4,"0"
202070013,"",17,"",1,1,2,"0"
202070014,"",83,"",1,2,2,"0"
202070015,"",86,"",1,1,1,"0"
202070020,"",1,"",1,1,1,"1"
202070030,"",32,"",1,1,1,"1"
202070040,"",36,"",1,1,1,"1"
202070050,"",29003,"",1,1,1,"1"
202070060,"",311,"",1,5,4,"0"
202070061,"",312,"",1,5,4,"0"
202070062,"",321,"",1,5,4,"0"
202070063,"",17,"",1,1,2,"0"
202070064,"",83,"",1,2,2,"0"
202070065,"",86,"",1,1,1,"0"
202080010,"",351,"",1,5,4,"0"
202080011,"",352,"",1,5,4,"0"
202080012,"",7,"",1,2,2,"0"
202080013,"",38,"",1,2,2,"0"
202080014,"",17,"",1,2,2,"0"
202080015,"",86,"",1,1,1,"0"
202080020,"",61,"",1,1,1,"1"
202080030,"",8,"",1,1,1,"1"
202080040,"",26,"",1,1,1,"1"
202080050,"",64,"",1,1,1,"1"
202080060,"",311,"",1,5,4,"0"
202080061,"",312,"",1,5,4,"0"
202080062,"",1,"",1,2,2,"0"
202080063,"",39,"",1,2,2,"0"
202080064,"",17,"",1,2,2,"0"
202080065,"",86,"",1,1,1,"0"
202090010,"",1,"",1,1,1,"0"
202090011,"",311,"",1,5,4,"0"
202090012,"",331,"",1,5,4,"0"
202090013,"",332,"",1,5,4,"0"
202090014,"",83,"",1,3,2,"0"
202090015,"",86,"",1,1,1,"0"
202090020,"",10,"",1,1,1,"1"
202090030,"",37,"",1,1,1,"1"
202090040,"",1093,"",1,1,1,"1"
202100010,"",351,"",1,5,4,"0"
202100011,"",352,"",1,5,4,"0"
202100012,"",353,"",1,5,3,"0"
202100013,"",1,"",1,2,2,"0"
202100014,"",91,"",1,1,1,"0"
202100020,"",30,"",1,1,1,"1"
202100030,"",33,"",1,1,1,"1"
202100040,"",38,"",1,1,1,"1"
202170010,"",341,"",1,5,4,"0"
202170011,"",342,"",1,5,4,"0"
202170012,"",343,"",1,5,4,"0"
202170014,"",17,"",1,2,2,"0"
202170016,"",23,"",1,1,2,"0"
202170017,"",90,"",1,1,1,"0"
202170020,"",13,"",1,1,1,"1"
202170030,"",26,"",1,1,1,"1"
202170040,"",67,"",1,1,1,"1"
202170050,"",76,"",1,1,1,"1"
202170060,"",331,"",1,5,4,"0"
202170061,"",332,"",1,5,4,"0"
202170062,"",333,"",1,5,4,"0"
202170065,"",18,"",1,2,2,"0"
202170066,"",23,"",1,1,2,"0"
202170067,"",91,"",1,1,1,"0"
203010010,"",321,"",1,5,4,"0"
203010011,"",322,"",1,5,4,"0"
203010012,"",301,"",1,5,4,"0"
203010013,"",302,"",1,3,4,"0"
203010014,"",8,"",1,1,2,"0"
203010015,"",91,"",1,1,1,"0"
203020010,"",321,"",1,5,4,"0"
203020011,"",322,"",1,5,4,"0"
203020012,"",323,"",1,5,4,"0"
203020013,"",84,"",1,1,1,"0"
203030010,"",15,"",1,1,2,"0"
203030011,"",23,"",1,1,2,"0"
203030012,"",30,"",1,1,2,"0"
203030013,"",302,"",1,5,4,"0"
203030014,"",322,"",1,5,4,"0"
203030015,"",84,"",1,1,1,"0"
203030020,"",1,"",1,1,1,"1"
203030030,"",23,"",1,1,1,"1"
203030040,"",30,"",1,1,1,"1"
203030050,"",65,"",1,3,1,"1"
203030060,"",7,"",1,3,1,"1"
203030070,"",39,"",1,1,1,"1"
203030080,"",16,"",1,1,1,"1"
203030090,"",29007,"",1,1,1,"1"
203030100,"",31,"",1,3,1,"1"
203030110,"",7,"",1,3,1,"1"
203030120,"",15,"",1,3,1,"1"
203030130,"",23,"",1,3,1,"1"
203040010,"",86,"",1,2,1,"0"
203040011,"",302,"",1,5,4,"0"
203040012,"",321,"",1,5,4,"0"
203040013,"",322,"",1,5,4,"0"
203040014,"",323,"",1,5,3,"0"
203040020,"",32,"",1,1,1,"0"
203040021,"",303,"",1,5,3,"0"
203040022,"",321,"",1,5,4,"0"
203040023,"",322,"",1,5,4,"0"
203040024,"",323,"",1,5,3,"0"
203040025,"",91,"",1,1,1,"0"
203040030,"",11,"",1,1,1,"1"
203040040,"",23,"",1,1,1,"1"
203040050,"",36,"",1,1,1,"1"
203040060,"",26,"",1,1,1,"1"
203040070,"",2,"",1,1,1,"1"
203040080,"",32,"",1,1,1,"1"
203040090,"",39,"",1,1,1,"1"
204010010,"",352,"",1,5,4,"0"
204010011,"",353,"",1,5,4,"0"
204010012,"",15,"",1,2,2,"0"
204010013,"",36,"",1,1,2,"0"
204010014,"",86,"",1,1,1,"0"
204010020,"",5,"",1,1,1,"1"
204010030,"",68,"",1,1,1,"1"
204010040,"",39,"",1,1,1,"1"
204010050,"",13,"",1,1,1,"1"
204010060,"",342,"",1,5,4,"0"
204010061,"",343,"",1,5,4,"0"
204010062,"",24,"",1,2,2,"0"
204010063,"",36,"",1,1,2,"0"
204010064,"",90,"",1,1,1,"0"
204020010,"",352,"",1,5,5,"0"
204020011,"",353,"",1,5,5,"0"
204020012,"",30,"",1,2,2,"0"
204020013,"",210,"",1,1,2,"0"
204020014,"",89,"",1,2,3,"0"
204020015,"",86,"",1,1,1,"0"
204020020,"",342,"",1,5,5,"0"
204020021,"",343,"",1,5,5,"0"
204020022,"",32,"",1,2,2,"0"
204020023,"",213,"",1,1,2,"0"
204020024,"",89,"",1,2,3,"0"
204020025,"",90,"",1,1,1,"0"
204030010,"",351,"",1,5,4,"0"
204030011,"",352,"",1,5,4,"0"
204030012,"",20,"",1,2,2,"0"
204030013,"",39,"",1,1,2,"0"
204030014,"",85,"",1,2,3,"0"
204030015,"",91,"",1,1,1,"0"
204030020,"",24,"",1,1,1,"1"
204030030,"",36,"",1,1,1,"1"
204030040,"",71,"",1,1,1,"1"
204030050,"",68,"",1,1,1,"1"
204030060,"",80,"",1,1,1,"1"
204030070,"",37,"",1,1,1,"1"
204030080,"",62,"",1,1,1,"1"
204030090,"",13,"",1,1,1,"1"
204030100,"",29008,"",1,1,1,"1"
204030110,"",341,"",1,5,4,"0"
204030111,"",342,"",1,5,4,"0"
204030112,"",20,"",1,2,2,"0"
204030113,"",38,"",1,1,2,"0"
204030114,"",85,"",1,2,3,"0"
204030115,"",90,"",1,1,1,"0"
204050010,"",351,"",1,5,4,"0"
204050011,"",352,"",1,5,4,"0"
204050012,"",353,"",1,5,3,"0"
204050013,"",223,"",1,1,2,"0"
204050014,"",85,"",1,2,3,"0"
204050015,"",89,"",1,1,1,"0"
204050020,"",341,"",1,5,4,"0"
204050021,"",342,"",1,5,4,"0"
204050022,"",343,"",1,5,3,"0"
204050023,"",211,"",1,1,2,"0"
204050024,"",85,"",1,2,3,"0"
204050025,"",90,"",1,1,1,"0"
204050030,"",5,"",1,1,1,"1"
204050040,"",36,"",1,1,1,"1"
205010010,"",332,"",1,5,3,"0"
205010011,"",333,"",1,5,3,"0"
205010012,"",311,"",1,5,3,"0"
205010013,"",312,"",1,5,3,"0"
205010014,"",313,"",1,5,3,"0"
205010015,"",7,"",1,1,1,"0"
205010016,"",17,"",1,3,2,"0"
205010017,"",82,"",1,1,1,"0"
205020010,"",1,"",1,3,1,"0"
205020011,"",7,"",1,3,1,"0"
205020012,"",84,"",1,3,2,"0"
205020013,"",322,"",1,5,3,"0"
205020014,"",311,"",1,5,3,"0"
205020015,"",312,"",1,5,3,"0"
205020016,"",331,"",1,5,3,"0"
205020017,"",332,"",1,5,3,"0"
205020018,"",302,"",1,5,3,"0"
205020019,"",91,"",1,1,1,"0"
205020020,"",16,"",1,1,1,"1"
205020030,"",21,"",1,1,1,"1"
205020040,"",1,"",1,1,1,"1"
205020050,"",39,"",1,1,1,"1"
205020060,"",31,"",1,1,1,"1"
206030010,"",301,"",1,5,4,"0"
206030011,"",303,"",1,5,4,"0"
206030012,"",90,"",1,3,2,"0"
206030013,"",30,"",1,2,2,"0"
206030014,"",16,"",1,2,2,"0"
206030015,"",3,"",1,1,1,"0"
206030016,"",91,"",1,1,1,"0"
206030020,"",302,"",1,5,4,"0"
206030021,"",303,"",1,5,4,"0"
206030022,"",89,"",1,3,2,"0"
206030023,"",32,"",1,2,2,"0"
206030024,"",18,"",1,2,2,"0"
206030025,"",9,"",1,1,1,"0"
206030026,"",91,"",1,1,1,"0"
206040010,"",87,"",1,3,3,"0"
206040011,"",88,"",1,3,3,"0"
206040012,"",89,"",1,3,2,"0"
206040013,"",90,"",1,3,2,"0"
206040014,"",38,"",1,3,2,"0"
206040015,"",15,"",1,3,3,"0"
206040016,"",91,"",1,1,1,"0"
206040020,"",87,"",1,3,3,"0"
206040021,"",88,"",1,3,3,"0"
206040022,"",89,"",1,3,2,"0"
206040023,"",90,"",1,3,2,"0"
206040024,"",39,"",1,3,2,"0"
206040025,"",16,"",1,3,3,"0"
206040026,"",91,"",1,1,1,"0"
206090010,"",30252,"",1,1,1,"1"
206090020,"",21,"",1,2,1,"1"
206090030,"",30142,"",1,1,1,"1"
206090040,"",25,"",1,1,1,"1"
207010010,"",301,"",1,5,6,"0"
207010011,"",302,"",1,5,5,"0"
207010012,"",303,"",1,5,4,"0"
207010013,"",3,"",1,1,1,"0"
207010014,"",223,"",1,2,2,"0"
207010015,"",89,"",1,3,2,"0"
207010016,"",91,"",1,1,1,"0"
207010020,"",351,"",1,5,6,"0"
207010021,"",352,"",1,5,5,"0"
207010022,"",353,"",1,5,4,"0"
207010023,"",9,"",1,1,1,"0"
207010024,"",36,"",1,2,2,"0"
207010025,"",30,"",1,2,2,"0"
207010026,"",91,"",1,1,1,"0"
207010030,"",1035,"",1,1,1,"1"
207010040,"",29,"",1,1,1,"1"
207010050,"",63,"",1,1,1,"1"
207020010,"",303,"",1,5,6,"0"
207020011,"",353,"",1,5,5,"0"
207020012,"",15,"",1,2,3,"0"
207020013,"",23,"",1,1,1,"0"
207020014,"",33,"",1,2,2,"0"
207020015,"",25,"",1,1,2,"0"
207020016,"",91,"",1,1,1,"0"
207030010,"",301,"",1,5,4,"0"
207030011,"",16,"",1,2,2,"0"
207030012,"",32,"",1,2,2,"0"
207030013,"",223,"",1,1,2,"0"
207030014,"",91,"",1,1,1,"0"
207030020,"",351,"",1,5,4,"0"
207030021,"",16,"",1,2,2,"0"
207030022,"",32,"",1,2,2,"0"
207030023,"",89,"",1,1,2,"0"
207030024,"",91,"",1,1,1,"0"
207030030,"",38,"",1,1,1,"1"
207030040,"",29,"",1,1,1,"1"
207030050,"",72,"",1,1,1,"1"
208010010,"",1,"",1,3,1,"0"
208010011,"",2,"",1,3,1,"0"
209010010,"",1,"",1,3,1,"0"
209010011,"",2,"",1,3,1,"0"
210010010,"",1,"",1,1,1,"0"
210010011,"",341,"",1,5,4,"0"
210010012,"",342,"",1,5,4,"0"
210010013,"",301,"",1,5,4,"0"
210010014,"",302,"",1,5,4,"0"
210010020,"",1,"",1,1,1,"1"
210030010,"",1,"",1,1,2,"0"
210030011,"",7,"",1,1,2,"0"
210030012,"",341,"",1,5,8,"0"
210030013,"",342,"",1,5,8,"0"
211010010,"",341,"",1,5,4,"0"
211010011,"",342,"",1,5,4,"0"
211010013,"",15,"",1,2,2,"0"
211010014,"",36,"",1,2,2,"0"
211010020,"",23,"",1,1,1,"1"
211010030,"",37,"",1,1,1,"1"
211010040,"",19,"",1,1,1,"1"
211010050,"",7,"",1,1,1,"1"
211010060,"",1,"",1,1,1,"1"
211010070,"",351,"",1,5,4,"0"
211010071,"",352,"",1,5,4,"0"
211010073,"",15,"",1,2,2,"0"
211010074,"",37,"",1,2,2,"0"
211020010,"",342,"",1,5,7,"0"
211020011,"",301,"",1,5,7,"0"
211020012,"",1,"",1,1,5,"0"
211020013,"",7,"",1,1,4,"0"
211020014,"",15,"",1,2,6,"0"
211020015,"",23,"",1,2,6,"0"
211020016,"",33,"",1,2,5,"0"
211020020,"",83,"",1,1,1,"1"
211020030,"",1,"",1,1,1,"1"
211020040,"",38,"",1,1,1,"1"
211020050,"",26,"",1,1,1,"1"
211020060,"",76,"",1,1,1,"1"
211020070,"",7,"",1,1,1,"1"
212010010,"",1,"",1,3,1,"0"
212010011,"",2,"",1,3,1,"0"
213010010,"",1,"",1,3,1,"0"
