int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,empty 11,int32 12,int32 13,empty 14,int32 15,int32 16,empty 17,int32 18,string2 19,string2 20,int32 21,int32 22,string2 23,int32 24,string2 25,string2 26,string2 27,string2 28
10,,46,0,-1,10,10010,0,0,0,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M010_CLEAR"
20,,45,0,-1,20,20010,0,0,0,0,,0,0,,0,0,,0,"","",1,2,"X2028_daft_20",1,"","","","QUEST_M020_CLEAR"
30,,44,0,-1,30,30010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M030_CLEAR"
40,,43,0,-1,40,40010,0,0,30,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M040_CLEAR"
50,,42,0,-1,50,50010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M050_CLEAR"
60,,41,0,-1,60,60010,0,0,20,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M060_CLEAR"
70,,40,0,-1,70,70010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M070_CLEAR"
80,,39,0,-1,80,80010,0,0,20,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M080_CLEAR"
90,,38,0,-1,90,90010,0,0,30,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M090_CLEAR"
100,,37,0,-1,100,100010,0,0,30,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M100_CLEAR"
110,,36,0,-1,110,110010,0,0,50,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M110_CLEAR"
120,,35,0,-1,120,120010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M120_CLEAR"
130,,34,0,-1,130,130010,0,0,30,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M130_CLEAR"
140,,33,0,-1,140,140010,0,0,80,20619,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M140_CLEAR"
150,,32,0,-1,150,150010,0,0,100,20613,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M150_CLEAR"
160,,31,0,-1,160,160010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M160_CLEAR"
170,,30,0,-1,170,170010,0,0,80,20614,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M170_CLEAR"
180,,29,0,-1,180,180010,0,0,50,20621,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M180_CLEAR"
190,,28,0,-1,190,190010,0,0,80,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M190_CLEAR"
200,,27,0,-1,200,200010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M200_CLEAR"
210,,26,0,-1,210,210010,0,0,120,20622,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M210_CLEAR"
220,,25,0,-1,220,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M220_CLEAR"
230,,24,0,-1,230,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M230_CLEAR"
235,,23,0,-1,235,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M235_CLEAR"
240,,22,0,-1,240,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M240_CLEAR"
250,,21,0,-1,250,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M250_CLEAR"
260,,20,0,-1,260,210010,0,0,50,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M260_CLEAR"
280,,19,0,-1,280,210010,0,0,80,20615,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M280_CLEAR"
285,,18,0,-1,285,210010,0,0,10,20608,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M285_CLEAR"
290,,17,0,-1,290,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M290_CLEAR"
300,,16,0,-1,300,210010,0,0,80,20609,,1,20616,,1,0,,0,"","",1,-1,"",0,"","","","QUEST_M300_CLEAR"
310,,15,0,-1,310,210010,0,0,40,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M310_CLEAR"
320,,14,0,-1,320,210010,0,0,80,20607,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M320_CLEAR"
330,,13,0,-1,330,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M330_CLEAR"
340,,12,0,-1,340,210010,0,0,10,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M340_CLEAR"
350,,11,0,-1,350,210010,0,0,50,20606,,1,361,,1,0,,0,"","",1,-1,"",0,"","","","QUEST_M350_CLEAR"
360,,10,0,-1,360,210010,0,0,120,20611,,1,20617,,1,0,,0,"","",1,-1,"",0,"","","","QUEST_M360_CLEAR"
370,,9,0,-1,370,210010,0,0,0,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M370_CLEAR"
380,,8,0,-1,380,210010,0,0,0,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M380_CLEAR"
390,,7,0,-1,390,210010,0,0,50,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M390_CLEAR"
400,,6,0,-1,400,210010,0,0,100,20612,,1,370,,1,371,,1,"","",1,-1,"",0,"","","","QUEST_M400_CLEAR"
410,,5,0,-1,410,210010,0,0,100,20610,,1,368,,1,0,,0,"","",1,-1,"",0,"","","","QUEST_M410_CLEAR"
420,,4,0,-1,420,210010,0,0,10,373,,1,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M420_CLEAR"
440,,2,0,-1,440,210010,0,0,150,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M440_CLEAR"
450,,1,0,-1,450,210010,0,0,0,0,,0,0,,0,0,,0,"","",1,-1,"",0,"","","","QUEST_M450_CLEAR"
