int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,bool 7,bool 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,empty 15,int32 16,empty 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,short 36,short 37,int32 38,byte 39,byte 40,byte 41,byte 42,byte 43,byte 44,short 45,int32 46,int32 47,empty 48,short 49,short 50,empty 51,int32 52,empty 53,int32 54,empty 55,int32 56,empty 57,int32 58,empty 59,int32 60,int32 61,empty 62,int32 63,int32 64,empty 65,int32 66,empty 67,int32 68,empty 69,int32 70,empty 71,string2 72
21431,"","","",21431,0,21431,true,true,30011,4,1,21431,"",0,"",12003,"",0,"",0,2,1,25,100,1,0,0,1,-1,-1,-1,-1,5,1,1,50,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
21751,"","","",21751,0,21751,true,true,30281,3,1,21751,"",0,"",12012,"",0,"",0,2,1,95,100,1,0,0,10,18,-1,-1,-1,1,1,1,195,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
21752,"","","",21752,0,21752,true,true,30311,4,1,21752,"",0,"",12002,"",0,"",0,2,1,30,100,1,0,0,0,24,-1,-1,-1,1,3,3,195,5,0,0,100,1,15,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
21821,"","","",21821,0,21821,true,true,30101,3,1,21821,"",0,"",12004,"",0,"",0,2,1,20,100,1,0,0,2,13,-1,-1,-1,5,3,3,275,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
21822,"","","",21822,0,21822,true,true,30311,4,1,21822,"",0,"",12002,"",0,"",0,2,1,100,100,1,0,0,0,11,-1,-1,-1,1,1,1,265,5,0,1,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
23271,"","","",23271,0,23271,true,true,30221,4,1,23271,"",0,"",12008,"",0,"",0,2,1,90,100,1,0,0,6,-1,-1,-1,-1,1,1,1,140,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
27121,"","","",27121,0,27121,true,true,30011,4,1,27121,"",0,"",12003,"",0,"",0,2,1,14,100,1,0,0,1,-1,-1,-1,-1,5,3,3,100,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
27131,"","","",27131,0,27131,true,true,30101,4,1,27131,"",0,"",12004,"",0,"",0,2,1,50,100,1,0,0,2,-1,-1,-1,-1,1,1,1,55,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
27141,"","","",27141,0,27141,true,true,30101,4,1,27141,"",0,"",12004,"",0,"",0,2,1,70,100,1,0,0,2,-1,-1,-1,-1,1,1,1,90,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
27151,"","","",27151,0,27151,true,true,30101,4,1,27151,"",0,"",12004,"",0,"",0,2,1,90,100,1,0,0,2,-1,-1,-1,-1,1,1,1,140,5,0,0,100,1,5,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
