int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
10301001,"",-1,"gim_0001",false,"d0301door00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301002,"",99,"start_91",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301003,"",99,"start_92",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301004,"",99,"start_93",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301005,"",99,"start_94",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301006,"",99,"start_95",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301007,"",99,"gim_0004",true,"ef_f_com_110_it",1,0,"","","","","",0,0,"",0,0,0,0,0
10301400,"",99,"change_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301401,"",3,"change_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301500,"",-1,"theater_0001",false,"f00theaterdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301501,"",-1,"start_50",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10301502,"",-1,"gim_0005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
