string2 0,string 1,string 2,string 3
"mgal_001_0_char_METALGARURUMON_BK","","Let's throw down sometime. I love a fair match! What kind of
competitions do you like?",""
"mgal_001_1_replay","char_PLAYER_M","Harrowing motorbike races!",""
"mgal_001_1_reaction_char_METALGARURUMON_BK","","I love those, too! They're a test not only of speed, but of
courage!",""
"mgal_001_2_replay","char_PLAYER_M","Mind-bending board games!",""
"mgal_001_2_reaction_char_METALGARURUMON_BK","","I see. You want to make it a battle of the minds, then!",""
"mgal_001_3_replay","char_PLAYER_M","Solving mysteries as a team!",""
"mgal_001_3_reaction_char_METALGARURUMON_BK","","So not you versus me, but us against a puzzling mystery?
Sounds like a ton of fun!",""
"mgal_001_4_replay","char_PLAYER_M","I don't wanna compete with you.",""
"mgal_001_4_reaction_char_METALGARURUMON_BK","","It's a match, not a fight... Still, I appreciate the thought. We'll
always be pals!",""
"omez_001_0_char_OMEGAMON_ZWART","char_OMEGAMON_ZWART","How does my pitch-black form look to you?",""
"omez_001_1_replay","char_PLAYER_M","Pretty villainous, actually.",""
"omez_001_1_reaction_char_OMEGAMON_ZWART","char_OMEGAMON_ZWART","That is upsetting, but I appreciate your candor. Such frankness
is worthy of trust.",""
"omez_001_2_replay","char_PLAYER_M","The dark luster looks cool.",""
"omez_001_2_reaction_char_OMEGAMON_ZWART","char_OMEGAMON_ZWART","Merely the Black Digitron's effect, but it ups my power, and I
like its look as well.",""
"omez_001_3_replay","char_PLAYER_M","Makes you look like some evil mastermind.",""
"omez_001_3_reaction_char_OMEGAMON_ZWART","char_OMEGAMON_ZWART","I am hardly the manipulative type! I would not mind offering
you my guidance, however.",""
"omez_001_4_replay","char_PLAYER_M","Like you've fallen from grace.",""
"omez_001_4_reaction_char_OMEGAMON_ZWART","char_OMEGAMON_ZWART","Do not judge by looks alone—though I did ask. For the sake
of our bond, I will forgive you.",""
