int 0,string2 1,int 2,string2 3
1001,"test_float_message",1001,"5000"
1002,"test_float_message",1002,"5000"
1003,"test_float_message",1003,"5000"
1004,"test_float_message",1004,"5000"
1100,"test_float_message",1100,"5000"
1101,"test_float_message",1101,"5000"
1102,"test_float_message",1102,"5000"
1103,"test_float_message",1103,"5000"
1104,"test_float_message",1104,"5000"
1105,"test_float_message",1105,"5000"
1106,"test_float_message",1106,"5000"
1107,"test_float_message",1107,"5000"
1108,"float_message",1108,"5000"
1109,"float_message",1109,"5000"
1110,"float_message",1110,"5000"
1111,"float_message",1111,"5000"
1112,"float_message",1112,"5000"
1113,"float_message",1113,"5000"
1114,"float_message",1114,"5000"
1115,"float_message",1115,"5000"
1116,"float_message",1116,"1096"
1117,"float_message",1117,"1097"
1200,"float_message",1200,"5000"
1201,"float_message",1201,"5000"
1300,"float_message",1300,"5000"
1400,"float_message",1400,"1747"
1401,"float_message",1401,"5000"
1402,"float_message",1402,"1747"
1403,"float_message",1403,"5000"
1500,"float_message",1500,"5000"
1501,"float_message",1501,"5000"
1502,"float_message",1502,"5000"
1503,"float_message",1503,"5000"
1504,"float_message",1504,"5000"
1601,"float_message",1601,"5000"
1602,"float_message",1602,"5000"
9000,"float_message",9000,"1348"
9001,"float_message",9001,"1348"
9002,"float_message",9002,"1348"
9003,"float_message",9003,"1348"
9004,"float_message",9004,"5000"
9005,"float_message",9005,"1303"
9006,"float_message",9006,"1304"
9007,"float_message",9007,"1304"
9008,"float_message",9008,"1304"
9009,"float_message",9009,"1304"
9010,"float_message",9010,"1139"
9011,"float_message",9011,"1139"
9012,"float_message",9012,"1183"
9013,"float_message",9013,"1304"
