int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
102020011,1,5,"",-1,-1,10,"r_d0202_0010_0010",,
102020021,2,5,"",-1,-1,30,"r_d0202_0010_0020",,
102020031,3,5,"",-1,-1,30,"r_d0202_0010_0030",,
102020041,4,5,"",-1,-1,10,"r_d0202_0010_0040",,
102020051,-1,0,"npc_0040",13,13,10,"r_d0202_0010_0050",,
102020061,-1,1,"rumor_m140_02",13,13,10,"r_d0202_0010_0060",,
102020071,-1,1,"rumor_001",13,13,10,"r_d0202_0020_0010",,
102020081,-1,1,"rumor_002",13,13,10,"r_d0202_0020_0020",,
102020091,-1,1,"rumor_003",13,13,10,"r_d0202_0020_0030",,
102020101,-1,1,"rumor_004",13,13,10,"r_d0202_0020_0040",,
102020111,-1,1,"rumor_005",13,13,10,"r_d0202_0020_0050",,
102020121,-1,1,"rumor_006",13,13,10,"r_d0202_0020_0060",,
102020131,-1,1,"rumor_007",13,13,10,"r_d0202_0020_0070",,
102020141,-1,1,"rumor_008",13,13,10,"r_d0202_0020_0080",,
102020151,-1,1,"rumor_009",13,13,10,"r_d0202_0020_0090",,
102020161,-1,1,"rumor_010",13,13,10,"r_d0202_0020_0100",,
102020171,-1,1,"rumor_011",13,13,10,"r_d0202_0020_0110",,
102020181,-1,1,"rumor_012",13,13,10,"r_d0202_0020_0120",,
102020191,-1,1,"rumor_013",13,13,10,"r_d0202_0020_0130",,
102020201,-1,1,"rumor_014",13,13,10,"r_d0202_0020_0140",,
102020211,-1,1,"rumor_015",13,13,10,"r_d0202_0020_0150",,
102020221,-1,1,"rumor_016",13,13,10,"r_d0202_0020_0160",,
102020231,-1,1,"rumor_017",13,13,10,"r_d0202_0020_0170",,
102020241,-1,1,"rumor_018",13,13,10,"r_d0202_0020_0180",,
102020301,-1,1,"rumor_030",15,15,10,"r_d0202_0030_0010",,
102020311,-1,1,"rumor_031",15,15,10,"r_d0202_0030_0020",,
102020321,-1,1,"rumor_032",15,15,10,"r_d0202_0030_0030",,
102020331,-1,1,"rumor_033",15,15,10,"r_d0202_0030_0040",,
102020341,-1,1,"rumor_034",15,15,10,"r_d0202_0030_0050",,
102020351,-1,1,"rumor_035",15,15,10,"r_d0202_0030_0060",,
102020361,-1,1,"rumor_036",15,15,10,"r_d0202_0030_0070",,
102020371,-1,1,"rumor_037",15,15,10,"r_d0202_0030_0080",,
102020381,-1,1,"rumor_038",15,15,10,"r_d0202_0030_0170",,
102020391,-1,1,"rumor_039",15,15,10,"r_d0202_0030_0180",,
102020401,-1,0,"npc_0662",15,15,10,"r_d0202_0030_0090",,
102020411,-1,0,"npc_0656",15,15,10,"r_d0202_0030_0100",,
102020421,-1,0,"npc_0660",15,15,10,"r_d0202_0030_0110",,
102020431,-1,0,"npc_0653",15,15,10,"r_d0202_0030_0120",,
102020441,-1,0,"npc_0654",15,15,10,"r_d0202_0030_0130",,
102020451,-1,0,"npc_0655",15,15,10,"r_d0202_0030_0140",,
102020461,-1,0,"npc_0669",15,15,10,"r_d0202_0030_0150",,
102020471,-1,0,"npc_0670",15,15,10,"r_d0202_0030_0160",,
102020481,-1,0,"npc_0671",15,15,10,"r_d0202_0030_0190",,
102020651,-1,1,"rumor_060",15,15,10,"r_d0202_0040_0010",,
102020661,-1,1,"rumor_061",15,15,10,"r_d0202_0040_0020",,
102020671,-1,1,"rumor_062",15,15,10,"r_d0202_0040_0030",,
102020681,-1,1,"rumor_063",15,15,10,"r_d0202_0040_0040",,
102020701,-1,0,"s080_060_003",15,15,10,"r_d0202_0050_0020",,
102020711,-1,0,"s080_060_002",15,15,10,"r_d0202_0050_0030",,
102020721,-1,0,"s080_060_001",15,15,10,"r_d0202_0050_0040",,
