int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
20402001,1,"mob001","chr708",0,0,1,"","","ba02","",0,0,"F01",0,0,12.423,4.483,33.847,-67.349,0,0,1,1,0,0,0,0,-1,0,0,"mob01","","rail_move_01",1,0,true,-1,"","","","","",""
20402002,99,"mob002","chr437",0,0,0,"","","br01","",0,0,"F01",0,0,1.936,3.5,-18.905,0.993,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_02",1,0,true,-1,"","","","","",""
20402003,99,"mob003","chr437",0,0,0,"","","br01","",0,0,"F01",0,0,-12.101,3.54,-56.929,68.92,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_02",1,0,true,-1,"","","","","",""
20402004,1,"mob004","chr705",0,0,1,"","","fn02_01","",0,0,"F01",2,0,-29.612,9.155,44.372,65.816,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402005,2,"mob005","chr009",0,0,1,"","","br01","",0,0,"F01",0,0,-31.64,3.68,65.253,65.23,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402006,2,"mob006","chr009",0,0,1,"","","fq02","",0,0,"F01",0,0,-31.942,2.199,63.993,49.659,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402007,99,"mob007","chr512",0,0,0,"","","br01","",0,0,"F01",0,0,23.085,2.439,-7.731,52.834,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_02",1,0,true,-1,"","","","","",""
20402008,1,"mob010","chr437",0,0,1,"","","br01","",0,0,"F01",0,0,-0.216,3.5,-3.506,179.364,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_151",0,5,true,-1,"","","","","",""
20402009,1,"mob012","chr548",0,0,1,"","","br01","",0,0,"F01",0,0,-19.829,31.44,-26.205,129.046,0,0,1,1,0,0,0,0,-1,1,1,"","飛行デジモン速度5","rail_move_04",1,0,true,-1,"","","","","",""
20402010,99,"chr918_Train","chr918",0,0,0,"","","bn01","",0,0,"F01",0,0,12.342,2.897,-93.775,-90.577,0,0,1,1,0,0,0,0,-1,0,1,"signal","歩行者シグナル","rail_move_102",1,0,true,-1,"","","","","",""
20402011,2,"mob050","chr708",0,0,1,"","","bn01","",0,0,"F01",0,0,-14.702,2.056,42.218,-25.358,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_01",1,0,true,-1,"","","","","",""
20402012,99,"EnterDigiDoor_150_01","chr437",0,0,0,"","","br01","",0,0,"F01",0,0,-1.748,3.614,-52.941,55.731,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_02",1,5,true,-1,"","","","","",""
20402013,1,"EnterDigiDoor_151_01","chr512",0,0,1,"","","br01","",0,0,"F01",0,0,-0.859,3.5,-8.507,22.402,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_151",1,0,true,-1,"","","","","",""
20402014,99,"Locomon_Train","chr918",0,0,0,"","","bn01","",0,0,"F01",0,0,-18.022,2.938,-94.95,-90.577,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402015,1,"","chr708",0,0,1,"","","fq02","",0,0,"F01",0,0,-34.799,9.107,54.369,-138.434,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402016,1,"","chr708",0,0,1,"","","ba02","",0,0,"F01",0,0,-34.004,9.107,55.721,-138.434,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402017,1,"","chr437",0,0,1,"","","bn01","",0,0,"F01",0,0,-31.158,12.387,53.634,102.028,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402018,1,"","chr437",0,0,1,"","","bn02","",0,0,"F01",0,0,-30.558,12.387,52.501,-24.763,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402019,1,"","chr512",0,0,1,"","","ba02","",0,0,"F01",0,0,-27.935,12.624,39.158,438.413,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402020,1,"","chr510",0,0,1,"","","ba02","",0,0,"F01",0,0,-17.803,13.29,33.813,-286.647,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402021,1,"","chr510",0,0,1,"","","bn02","",0,0,"F01",0,0,-16.956,13.29,33.235,-336.755,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402022,1,"","chr708",0,0,1,"","","ba02","",0,0,"F01",0,0,-19.049,16.723,30.408,-327.274,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402023,1,"","chr042",0,0,1,"","","fe02","",0,0,"F01",0,0,-23.468,12.613,40.077,-453.156,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402024,1,"","chr308",0,0,1,"","","br01","",0,0,"F01",0,0,-30.033,77.269,-82.926,-66.951,0,0,1,1,0,0,0,0,-1,1,1,"mob01","飛行デジモン速度4","rail_move_301",1,0,true,-1,"","","","","",""
20402025,1,"","chr042",0,0,1,"","","fe01","",0,0,"F01",0,0,-24.556,12.667,40.981,-519.876,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402026,1,"","chr728",0,0,1,"","","ba02","",0,0,"F01",0,0,-23.637,6.94,33.904,390.544,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402027,1,"","chr512",0,0,1,"","","bv01","",0,0,"F01",0,0,-27.267,12.624,38.308,401.188,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402028,1,"","chr056",0,0,1,"","","fq01","",0,0,"F01",0,0,7.941,19.173,22.936,-737.674,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402029,4,"","chr320",0,0,1,"","","fe02","",0,0,"F01",0,0,5.466,3.699,-28.66,-899.016,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402030,1,"","chr728",0,0,1,"","","bn02","",0,0,"F01",0,0,-17.859,13.22,31.507,391.225,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402031,1,"","chr437",0,0,1,"","","f000","",0,0,"F01",0,0,-18.304,2.134,31.319,44.21,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402032,1,"","chr437",0,0,1,"","","f001","",0,0,"F01",0,0,-18.304,2.132,31.319,44.21,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402033,1,"","chr437",0,0,1,"","","f002","",0,0,"F01",0,0,-18.304,2.132,31.319,44.21,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
20402034,1,"","chr042",0,0,1,"","","bn02","",0,0,"F01",0,0,-2.874,12.667,18.732,-519.876,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402035,1,"","chr042",0,0,1,"","","fe04","",0,0,"F01",0,0,0.174,12.667,16.188,-465.104,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
20402036,10,"","chr042",0,0,0,"","","br01","",0,0,"F01",0,0,-3.8,13.122,34.572,137.453,0,0,1,1,0,0,0,0,-1,1,1,"","デジモン速度4","rail_move_300",0,3,true,-1,"","","","","",""
20402037,1,"","chr308",0,0,1,"","","br01","",0,0,"F01",0,0,-122.69,91.52,196.041,173.986,0,0,1,1,0,0,0,0,-1,1,1,"mob01","デジモンデフォルト","rail_move_302",0,0,true,-1,"","","","","",""
20402038,2,"","chr437",0,0,1,"","","br01","",0,0,"F01",0,0,-25.158,2,53.046,177.142,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_303",1,0,true,-1,"","","","","",""
20402039,2,"","chr708",0,0,1,"","","br01","",0,0,"F01",0,0,-19.139,2,54.554,-36.718,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_303",1,0,true,-1,"","","","","",""
20402040,1,"","chr708",0,0,1,"","","br01","",0,0,"F01",0,0,-2.946,10.495,-20.122,90,0,0,1,1,0,0,0,0,-1,0,1,"mob01","デジモンデフォルト","rail_move_304",0,5,true,-1,"","","","","",""
20402041,4,"","chr317",0,0,1,"","","fe02","",0,0,"F01",0,0,4.256,3.5,-29.237,134.972,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
