int 0,int 1,string3 2,string3 3,int 4,int 5,int 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int 14,int 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,int 24,float 25,float 26,float 27,float 28,int 29,int 30,string3 31,string3 32,string3 33,int 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
604001,1,"mob_0001","mob001",0,0,0,"","","fn01","",0,0,"F01",0,0,-19.699,0,-1.365,97.845,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604002,1,"mob_0002","mob015",0,0,0,"","","fn04","",0,0,"F01",0,0,-22.556,0.02,-11.105,97.845,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604003,1,"mob_0003","mob015",0,0,0,"","","fn01","",0,0,"F01",0,0,25.796,0,-12.724,-43.786,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604004,1,"mob_0004","mob074",0,0,0,"","","fn01","",0,0,"F01",0,0,24.605,0.061,-12.786,7.772,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604005,1,"mob_0005","mob013",0,0,0,"","","fn01","",0,0,"F01",0,0,25.276,0,-11.404,-119.757,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604006,1,"mob_0006","mob012",0,0,0,"","","fn01","",0,0,"F01",0,0,24.693,0,-11.502,89.371,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604007,1,"mob_0007","mob003",0,0,0,"","","fn01","",0,0,"F01",0,0,23.46,-0.02,-3.44,-80.02,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604008,1,"mob_0008","mob052",0,0,0,"","","fn01","",0,0,"F01",0,0,2.285,0,-16.703,-191.714,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604009,1,"mob_0009","mob053",0,0,0,"","","fn01","",0,0,"F01",0,0,2.843,0,-16.789,-150.822,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604010,1,"mob_0010","mob173",0,0,0,"","","fn52","",0,0,"F01",0,0,-15.18,0.05,-10.328,39.35,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604011,1,"mob_0011","mob001",0,0,0,"","","fn15","",0,0,"F01",0,0,-1.799,0,-14.625,201.286,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604012,1,"mob_0012","mob075",0,0,0,"","","fn07","",0,0,"F01",0,0,5.99,0,-14.315,16.957,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604013,4,"mob_0013","mob091",0,0,0,"","","fw01","",0,0,"F01",0,0,-36.557,3.043,10.385,97.764,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,0,-1,"","","","","",""
604014,4,"mob_0014","mob063",0,0,0,"","","fw02","",0,0,"F01",0,0,32.355,1.81,-8.833,-77.532,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_03",1,0,0,-1,"","","","","",""
604015,1,"mob_0015","mob074",0,0,0,"","","fn10","",0,0,"F01",0,0,-6.296,0,26.855,-123.391,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604016,1,"mob_0016","mob041",0,0,0,"","","fn02","",0,0,"F01",0,0,-17.928,-0.005,19.003,260.627,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604017,1,"mob_0017","mob063",0,0,0,"","","fn04","",0,0,"F01",0,0,-18.049,0.046,5.051,-292.301,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604018,4,"mob_0018","mob021",0,0,0,"","","fw01","",0,0,"F01",0,0,-1.039,-0.01,-5.603,105.699,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,0,-1,"","","","","",""
604019,4,"mob_0019","mob034",0,0,0,"","","fw01","",0,0,"F01",0,0,-16.669,-0.011,5.789,119.215,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_04",1,0,0,-1,"","","","","",""
604020,1,"mob_0020","mob019",0,0,0,"mob19_escape","","fn01","",0,0,"F01",0,0,-19.049,0.001,-9.116,-33.807,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604021,1,"mob_0021","mob018",0,0,0,"","","fn01","",0,0,"F01",0,0,-19.976,0.942,-16.615,-44.764,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604022,1,"mob_0022","mob018",0,0,0,"","","fn01","",0,0,"F01",0,0,-20.284,0.924,-16.726,19.44,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604023,1,"mob_0023","mob019",0,0,0,"mob19_escape","","fn01","",0,0,"F01",0,0,-19.583,0.007,-7.264,67.343,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604024,1,"mob_0024","mob019",0,0,0,"mob19_escape","","fn01","",0,0,"F01",0,0,-20.151,0.004,-8.911,17.231,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604025,1,"mob_0025","mob019",0,0,0,"mob19_escape","","fn01","",0,0,"F01",0,0,-18.398,0.008,-7.785,92.769,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604026,1,"mob_0026","mob019",0,0,0,"mob19_escape","","fn01","",0,0,"F01",0,0,-20.434,0.007,-7.868,69.53,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,0,-1,"","","","","",""
604027,1,"mob_0027","mob081",0,0,0,"","","fn35","",0,0,"F01",0,0,-18.855,0.09,18.487,99.473,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604028,4,"mob_0028","mob054",0,0,0,"","","fw01","",0,0,"F01",0,0,12.524,-0.001,-5.566,-68.617,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_01",1,0,0,-1,"","","","","",""
604029,1,"mob_0029","mob081",0,0,0,"","","fw01","",0,0,"F01",0,0,8.04,0,-0.453,133.357,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_08",1,0,0,-1,"","","","","",""
604030,1,"mob_0030","mob014",0,0,0,"","","fn54","",0,0,"F01",0,0,-9.516,0,-4.328,400.708,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604031,4,"mob_0031","mob015",0,0,0,"","","fw01","",0,0,"F01",0,0,-2.79,0,0.317,-251.296,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_02",1,0,0,-1,"","","","","",""
604032,1,"mob_0032","mob083",0,0,0,"","","fn51","",0,0,"F01",0,0,8.697,0,24.096,-103.597,0,0,1,1,0,0,0,0,-1,0,0,"","歩行者デフォルト","",1,0,0,-1,"","","","","",""
604033,99,"mob_0033","mob012",0,0,0,"","","fr01","",0,0,"F01",0,0,-7.11,0,17.938,-769.134,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_05",1,0,0,-1,"","","","","",""
604034,99,"mob_0034","mob013",0,0,0,"","","fr01","",0,0,"F01",0,0,-5.631,-0.01,15.753,-71.621,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_05",1,0,0,-1,"","","","","",""
604035,1,"mob_0035","mob001",0,0,0,"","","fn01","",0,0,"F01",0,0,34.577,1.997,-5.085,277.105,0,0,1,1,0,0,0,0,-1,0,1,"","歩行者デフォルト","rail_move_06",1,0,0,-1,"","","","","",""
