int 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,bool 17,bool 18,bool 19,bool 20,string2 21,int 22,string2 23,string2 24,int 25,string2 26,string2 27,int 28,string2 29,string2 30,int 31,string2 32,string2 33,int 34,string2 35,string2 36,int 37,string2 38,string2 39,int 40,string2 41,string2 42,int 43,string2 44,string2 45,int 46,string2 47,string2 48,int 49,string2 50,string2 51,int 52,int 53,int 54,int 55,int 56,int 57,int 58,int 59,int 60,int 61,int 62,int 63,int 64,int 65,int 66,int 67,int 68,int 69,int 70,int 71,bool 72,bool 73,bool 74
60639001,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE1","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639002,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE2","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639003,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE3","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639004,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE4","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639005,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE5","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639006,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE6","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639007,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE7","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639008,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE8","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639009,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE9","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639010,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE10","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639011,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE11","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639012,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE12","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639013,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE13","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639014,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE14","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639015,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE15","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639016,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE16","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639017,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE17","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639018,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE18","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639019,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE19","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
60639020,"Common","","","","","","","","","","","","","","","",1,1,1,1,"",0,"FLAG_IS_HAZAMA_WAVE20","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
