int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1010011,1,5,"",-1,-1,10,"r_t0101_0010_0010",,
1010021,2,5,"",-1,-1,10,"r_t0101_0010_0020",,
1010031,3,5,"",-1,-1,10,"r_t0101_0010_0030",,
1010041,4,5,"",-1,-1,10,"r_t0101_0010_0040",,
1010051,5,5,"",-1,-1,10,"r_t0101_0010_0050",,
1010061,6,5,"",-1,-1,10,"r_t0101_0010_0060",,
1010071,7,5,"",-1,-1,10,"r_t0101_0010_0070",,
1010081,8,5,"",-1,-1,10,"r_t0101_0010_0080",,
1010091,9,5,"",-1,-1,10,"r_t0101_0010_0090",,
1010101,10,5,"",-1,-1,10,"r_t0101_0010_0100",,
1010111,11,5,"",-1,-1,10,"r_t0101_0010_0110",,
1010121,12,5,"",-1,-1,10,"r_t0101_0010_0120",,
1010131,-1,0,"npc_0011",6,6,10,"r_t0101_0010_0130",,
1010141,-1,0,"npc_0015",6,6,10,"r_t0101_0010_0140",,
1010151,-1,0,"npc_0022",6,6,10,"r_t0101_0010_0150",,
1010161,-1,0,"npc_0024",10,10,10,"r_t0101_0010_0160",,
1010171,-1,0,"npc_0025",10,10,10,"r_t0101_0010_0170",,
1010181,-1,1,"rumor_01",10,10,10,"r_t0101_0010_0180",,
