int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
401001,"",-1,"gim_0004",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401002,"",-1,"gim_0005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401003,"",-1,"gim_0006",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401004,"",-1,"gim_0007",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401005,"",-1,"gim_0008",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401401,"",-1,"change_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401402,"",-1,"change_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401403,"",1,"change_0003",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401404,"",-1,"shop_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401490,"",-1,"map_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401491,"",99,"map_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401492,"",99,"map_0003",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401500,"",-1,"obj_0001",false,"f00autodoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
401700,"",-1,"gim_7000",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
401701,"",-1,"gim_7001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
