int 0,string3 1,string3 2,float 3,int 4,int 5,int 6,int 7,int 8
1,"","",180,6,2,0,0,0
101,"t0101_railmove","",180,10,2,15,0,0
102,"t0102_railmove","",180,3,2,15,0,0
103,"t0103_railmove","",180,4,2,15,0,0
104,"t0104_railmove","",180,6,2,15,0,0
105,"t0105_railmove","",180,4,2,0,0,0
106,"","",180,10,2,0,0,0
107,"t0107_railmove","",180,5,2,0,0,0
108,"t0108_railmove","",180,5,2,0,0,0
109,"t0109_railmove","t0109_railmove",180,10,2,0,0,0
110,"t0110_railmove","",180,5,2,0,0,0
111,"t0111_railmove","",180,10,2,0,0,0
121,"t0121_railmove","",180,10,2,0,0,0
131,"","",180,10,2,0,0,0
132,"","",180,10,2,0,0,0
133,"","",180,10,2,0,0,0
136,"","",180,10,2,0,0,0
138,"","",180,10,2,0,0,0
139,"","",180,10,2,0,0,0
173,"","",180,10,2,0,0,0
201,"t0201_railmove","",180,5,2,16,0,0
203,"t0203_railmove","t0203_railmove",180,10,2,16,0,0
301,"t0301_railmove","",180,2,2,0,0,0
302,"t0302_railmove","",180,6,2,17,0,0
303,"","",180,10,2,17,0,0
304,"t0304_railmove","t0304_railmove",180,10,2,17,0,0
381,"","",180,10,2,17,0,0
401,"t0401_railmove","t0401_railmove",180,2,2,0,0,0
402,"","",180,10,2,18,0,0
403,"","",180,10,2,18,0,0
404,"","",180,10,2,18,0,0
408,"t0408_railmove","t0408_railmove",180,10,2,18,0,0
409,"t0409_railmove","t0409_railmove",180,10,2,18,0,0
3001,"t3001_railmove","t3001_railmove",180,10,2,19,0,0
3002,"","",180,10,2,19,0,0
3003,"","",180,10,2,19,0,0
3004,"","",180,10,2,19,0,0
10101,"","",180,10,1,1,0,0
10102,"d0102_railmove","d0102_railmove",180,3,1,1,1,0
10103,"d0103_railmove","d0103_railmove",180,10,1,1,1,0
10104,"d0103_railmove","d0104_railmove",180,4,1,1,1,0
10105,"","",180,2,1,1,1,0
10106,"","",180,2,1,1,2,0
10107,"","",180,10,1,1,2,0
10108,"d0108_railmove","d0108_railmove",180,4,1,1,2,0
10109,"","",180,8,1,1,2,0
10201,"d0201_railmove","d0201_railmove",180,7,1,2,3,0
10202,"d0202_railmove","",180,6,1,2,3,0
10203,"","",180,10,1,2,3,0
10204,"d0204_railmove","d0204_railmove",180,7,1,2,3,0
10205,"d0205_railmove","d0205_railmove",180,8,1,2,3,0
10206,"d0206_railmove","",180,3,1,2,4,0
10207,"d0207_railmove","d0207_railmove",180,5,1,2,4,0
10208,"d0208_railmove","d0208_railmove",180,4,1,2,4,0
10209,"d0209_railmove","d0209_railmove",180,4,1,2,4,0
10210,"d0210_railmove","d0210_railmove",180,3,1,2,4,0
10211,"","",180,10,1,2,3,0
10212,"","",180,10,1,2,3,0
10213,"","",180,10,1,2,3,0
10215,"","",180,10,1,2,3,0
10216,"","",180,10,1,2,3,0
10217,"d0217_railmove","d0217_railmove",180,7,1,2,3,0
10301,"d0301_railmove","d0301_railmove",180,4,1,3,5,0
10302,"d0302_railmove","d0302_railmove",180,2,1,3,5,0
