string2 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14
"A",801,1,802,1,803,0,-1,0,-1,0,-1,0,-1,0
"2020_RW",801,1,802,1,803,0,-1,0,-1,0,-1,0,-1,0
"2028_RW",927,1,939,0,-1,0,-1,0,-1,0,-1,0,-1,0
"2020_DW",929,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
"2028_DW",928,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
"h0210_battle",924,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
"h0415_battle",937,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
"Outer_battle_954",954,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
"Outer_battle_955",955,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
"Outer_battle_956",956,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
