int 0,int 1
10201,6900
10202,6900
10203,6900
10204,6900
10205,6900
10206,6900
10207,6900
10208,6900
10209,6900
10210,6900
10211,6900
10212,6900
10213,6900
10215,6900
10216,6900
10217,6900
10274,6900
10276,6900
10301,6900
10302,6900
10303,6900
10304,6900
10305,6900
10306,6900
10307,6900
10308,6900
10371,6900
10373,6900
10374,6900
10375,6900
10376,6900
10377,6900
10378,6900
10379,6900
10380,6900
10401,6900
10402,6900
10403,6900
10404,6900
10405,6900
10406,6900
10407,6900
10408,6900
10409,6900
10410,6900
10471,6900
10472,6900
10473,6900
10474,6900
10475,6900
10501,6900
10502,6900
10503,6900
10504,6900
10505,6900
10550,6900
10551,6900
10552,6900
10571,6900
10572,6900
10573,6900
10574,6900
10606,6900
10607,6900
10608,6900
10701,6900
10702,6900
10703,6900
11304,6900
30003,6900
