int 0,int 1,string2 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11
1,1,"Cam_bt_in01",1,0,0,0,0,0,0,-1,0
2,2,"Cam_bt_scan01",3,18,3,0,0,0,0,-1,0
3,3,"Cam_bt_command_PC03",4,0,0,0,2,0,0,-1,0
4,5,"Cam_bt_command_PC03",4,0,0,0,2,0,0,-1,0
5,6,"Cam_bt_TPS_select01",2,15,0,0,2,1,2,-1,0
7,7,"Cam_bt_command_PC04",4,0,0,0,2,0,0,-1,0
8,8,"Cam_bt_command_PC02",2,19,0,0,2,0,2,-1,0
9,9,"Cam_bt_TPS_select03",2,18,0,0,2,0,0,-1,0
10,10,"Cam_bt_TPS_select02",2,27,0,0,2,0,0,-1,0
11,11,"Cam_bt_escape01",1,0,0,0,0,0,0,-1,0
12,12,"Cam_bt_all_PC01",3,31,0,0,0,0,0,-1,0
13,13,"Cam_bt_all_EM01",3,31,0,0,0,0,0,-1,0
14,14,"Cam_bt_command_PC02",2,19,0,0,2,0,2,-1,0
15,15,"Cam_bt_all_PC02",1,32,0,0,0,0,0,-1,0
16,16,"Cam_bt_all_EM01",1,32,0,0,0,0,0,-1,0
17,17,"Cam_bt_all_ALL01",1,0,0,0,2,0,0,-1,0
18,18,"Cam_bt_TPS_attack_PC01",2,11,7,0,0,0,0,-1,0
19,18,"Cam_bt_TPS_attack_PC01",2,11,7,0,0,0,0,-1,0
20,19,"Cam_bt_TPS_attack_PC01",2,11,7,0,0,0,0,-1,0
21,20,"Cam_bt_TPS_attack_EM01",3,11,9,0,0,0,0,-1,0
22,21,"Cam_bt_TPS_attack_EM01",3,11,9,0,0,0,0,-1,0
23,22,"Cam_bt_single_PC01",2,19,0,0,0,0,2,-1,0
24,23,"Cam_bt_single_EM01",2,17,0,0,0,0,2,-1,0
25,24,"Cam_bt_single_EM01",2,17,2,0,0,0,2,-1,0
26,25,"Cam_bt_damage_PC01",3,19,3,0,0,0,2,-1,0
27,26,"Cam_bt_damage_EM01",3,17,3,0,0,0,2,-1,0
28,27,"Cam_bt_damage_PC01",3,19,3,0,0,0,2,-1,0
29,28,"Cam_bt_damage_EM01",3,17,3,0,0,0,2,-1,0
30,29,"Cam_bt_damage_EM01",3,17,3,0,0,0,2,-1,0
31,30,"Cam_bt_all_PC02",1,32,0,0,0,0,0,-1,0
32,31,"Cam_bt_all_EM01",1,32,0,0,0,0,0,-1,0
33,32,"Cam_bt_single_PC01",3,19,3,0,0,0,2,-1,0
34,33,"Cam_bt_single_EM01",3,17,3,0,0,0,2,-1,0
35,34,"Cam_%s_bi01",4,25,0,0,0,0,0,-1,0
36,35,"Cam_%s_%s_PC",2,25,0,0,0,0,1,-1,0
37,36,"Cam_%s_%s_EM",2,25,0,0,0,0,1,-1,0
38,37,"Cam_bt_escape01",1,0,0,0,0,0,0,-1,0
39,38,"Cam_%s_bv01",2,25,0,0,0,0,1,-1,0
40,39,"Cam_%s_bl01",4,25,0,0,0,0,0,-1,0
41,40,"Cam_bc01_01",4,0,0,0,0,0,0,-1,0
42,41,"Cam_bc01_02",4,0,0,0,0,0,0,-1,0
43,42,"Cam_bt_combo03",1,0,0,0,0,0,0,-1,0
44,43,"Cam_bc01_03",4,0,0,0,0,0,0,-1,0
45,44,"Cam_bc01_04",4,0,0,0,0,0,0,-1,0
46,45,"Cam_bc01_05",4,0,0,0,0,0,0,-1,0
47,46,"Cam_bc01_06",4,0,0,0,0,0,0,-1,0
48,47,"Cam_bc01_03",4,0,0,0,0,0,0,-1,0
49,48,"Cam_bc01_04",4,0,0,0,0,0,0,-1,0
50,49,"Cam_bc01_05",4,0,0,0,0,0,0,-1,0
51,50,"Cam_bc01_06",4,0,0,0,0,0,0,-1,0
52,51,"Cam_bc01_03",4,0,0,0,0,0,0,-1,0
53,52,"Cam_bc01_04",4,0,0,0,0,0,0,-1,0
54,53,"Cam_bc01_05",4,0,0,0,0,0,0,-1,0
55,54,"Cam_bc02_06",1,0,0,0,0,0,0,-1,0
56,55,"Cam_bc01_03",4,0,0,0,0,0,0,-1,0
57,56,"Cam_bc01_04",4,0,0,0,0,0,0,-1,0
58,57,"Cam_bc01_05",4,0,0,0,0,0,0,-1,0
59,58,"Cam_bc01_06",4,0,0,0,0,0,0,-1,0
60,59,"Cam_bc01_03",4,0,0,0,0,0,0,-1,0
61,60,"Cam_bc01_04",4,0,0,0,0,0,0,-1,0
62,61,"Cam_bc01_05",4,0,0,0,0,0,0,-1,0
63,62,"Cam_bc02_06",1,0,0,0,0,0,0,-1,0
64,63,"Cam_bt_single_PC01",3,19,3,0,0,0,2,-1,0
65,64,"Cam_bt_single_PC01",3,19,3,0,0,0,2,-1,0
66,65,"Cam_bt_single_PC01",3,19,3,0,0,0,2,-1,0
67,66," ",2,25,0,0,0,0,1,-1,0
68,67,"Cam_bt_damage_PC01",3,19,3,0,0,0,2,-1,0
69,68,"Cam_bt_all_EM01",1,33,0,0,0,0,0,-1,0
70,69,"Cam_bt_scan01",3,18,0,0,2,0,2,-1,0
71,70,"Cam_bt_in01",1,0,0,0,0,0,0,-1,0
72,71,"Cam_bt_in01",1,0,0,0,0,0,0,-1,0
73,72,"Cam_bt_reserve01",4,0,0,0,2,0,0,-1,0
