int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
11403001,"",-1,"change_0001",0,"d14elvdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
11403002,"",-1,"gim_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11403100,"",-1,"obj_0001",0,"d1403wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
11403102,"",-1,"obj_0003",0,"d1403accessway01",1,0,"","","","","",0,0,"",0,0,0,0,0
11403103,"",-1,"obj_0004",0,"d1403debris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11403104,"",-1,"obj_0005",0,"d1403debris02",1,0,"","","","","",0,0,"",0,0,0,0,0
11403105,"",-1,"obj_0006",0,"d1401breakdebris00",1,0,"","","","","",0,0,"",0,0,0,0,0
11403106,"",-1,"obj_0007",0,"d1401breakdebris01",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
11403107,"",-1,"obj_0008",0,"d14breakdebris00",1,0,"","","","","",0,0,"wall_cl",0,0,0,0,0
11403108,"",-1,"obj_0009",0,"d1403accessway03",1,0,"","","","","",0,0,"",0,0,0,0,0
11403109,"",99,"obj_0010",0,"d1403debris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11403300,"",-1,"gim_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
