int32 0,string2 1,empty 2,int32 3,int32 4,float 5,int32 6,int32 7,string2 8,string2 9,int32 10,string2 11,int32 12,int32 13,int32 14,int32 15,int32 16,string2 17,int32 18,string2 19,string2 20,int32 21,string2 22,string2 23,int32 24,string2 25,string2 26,int32 27,string2 28,string2 29,int32 30,int32 31,int32 32,int32 33
10,"common_flag_1000",,1,0,0,0,0,"char_HERO","d",101,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",0,0,0,-1
1010010010,"main_010_010_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1010010020,"main_010_010_020",,1,4,20,0,0,"char_OPERATOR","d",1010010010,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_01_080","FLAG_MAIN_01_090",0,"","",0,"","",0,"","",3,0,0,2
1010010030,"main_010_010_030",,5,4,60,0,0,"char_ADAMAS_Cloud","d",1010010020,"",-1,-1,3029,1,2,"",2,"FLAG_MAIN_01_080","FLAG_MAIN_01_090",0,"","",0,"","",0,"","",1,0,0,2
1010020010,"main_010_020_010",,5,0,0,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,3015,0,2,"DIGITTER_FLAG_MAIN_01_020",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1010080020,"main_010_080_020",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"",2,"FLAG_MAIN_01_090","FLAG_MAIN_01_100",0,"","",0,"","",0,"","",3,0,0,2
1010120010,"main_010_120_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_120",2,"FLAG_MAIN_01_120","FLAG_MAIN_01_130",0,"","",0,"","",0,"","",3,0,0,2
1010120011,"main_010_120_011",,1,4,30,0,0,"char_OPERATOR","d",1010120010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_120","FLAG_MAIN_01_130",0,"","",0,"","",0,"","",3,0,0,2
1020030010,"main_020_030_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_02_030",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1020030020,"main_020_030_020",,1,4,30,0,0,"char_OPERATOR","d",1020030010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1020030030,"main_020_030_030",,5,4,30,0,0,"char_ADAMAS_Cloud","d",1020030020,"",-1,-1,3012,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1020030031,"main_020_030_030",,5,0,30,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,3012,0,0,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1020070010,"main_020_070_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_180",1,"","",0,"","",0,"","",0,"","",3,1,0,2
1020070011,"main_020_070_011",,1,4,20,0,0,"char_OPERATOR","d",1020070010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_180","FLAG_MAIN_01_190",0,"","",0,"","",0,"","",3,0,0,2
1020070020,"main_020_070_020",,5,0,30,0,0,"char_ADAMAS_Cloud","d",101,"",-1,-1,2003,0,2,"",0,"","",0,"","",0,"","",0,"","",1,0,0,2
1020070030,"main_020_070_030",,1,0,30,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_02_080",1,"","",0,"","",0,"","",0,"","",3,0,0,2
1020070031,"main_020_070_031",,1,4,0,0,0,"char_OPERATOR","d",1020070030,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1020120010,"main_020_120_010",,1,2,0,0,0,"char_PROTECTED_GIRL","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_220",2,"FLAG_MAIN_01_220","FLAG_MAIN_01_230",0,"","",0,"","",0,"","",3,0,0,2
1020120011,"main_020_120_011",,1,4,30,0,0,"char_PROTECTED_GIRL","d",1020120010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_220","FLAG_MAIN_01_230",0,"","",0,"","",0,"","",3,0,0,2
1020160010,"main_020_160_010",,1,2,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_01_230",2,"FLAG_FIELD_D14_030","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1020160011,"main_020_160_011",,1,4,30,0,0,"char_OPERATOR","d",1020160010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1050020010,"main_050_020_010",,1,0,0,0,0,"char_OPERATOR","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_050_020_010",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1050020011,"main_050_020_011",,1,4,60,0,0,"char_OPERATOR","d",1050020010,"",-1,-1,-1,0,0,"",0,"","",0,"","",0,"","",0,"","",3,0,0,2
1050030010,"main_050_030_010",,1,0,0,0,0,"char_INORI","d",101,"",-1,-1,-1,0,0,"DIGITTER_FLAG_MAIN_050_030_010",1,"","DIGITTER_FLAG_MAIN_050_030_010",0,"","",0,"","",0,"","",3,0,0,2
1050030011,"main_050_030_011",,1,4,30,0,0,"char_INORI","d",1050030010,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1050030020,"main_050_030_020",,1,4,60,0,0,"char_OPERATOR","d",1050030011,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1050030021,"main_050_030_021",,1,4,90,0,0,"char_OPERATOR","d",1050030020,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1050030022,"main_050_030_022",,1,5,0,0,0,"char_OPERATOR","d",1050030021,"",-1,-1,-1,0,0,"",1,"DIGITTER_FLAG_MAIN_01_230","FLAG_MAIN_01_240",0,"","",0,"","",0,"","",3,0,0,2
1050035005,"main_050_035_005",,1,0,0,0,0,"char_OPERATOR","d",1050030022,"",-1,-1,-1,0,0,"",0,"FLAG_MAIN_03_021","FLAG_MAIN_03_022",0,"","",0,"","",0,"","",3,0,0,2
1050035010,"main_050_035_010",,1,0,0,0,0,"char_OPERATOR","d",1050030022,"",-1,-1,-1,0,0,"",0,"FLAG_MAIN_03_021","FLAG_MAIN_03_022",0,"","",0,"","",0,"","",3,0,0,2
1050038005,"main_050_038_005",,1,0,0,0,0,"char_OPERATOR","d",1050030022,"",-1,-1,-1,0,0,"",0,"FLAG_MAIN_03_022","FLAG_MAIN_03_024",0,"","",0,"","",0,"","",3,0,0,2
1050038010,"main_050_038_010",,1,0,0,0,0,"char_OPERATOR","d",1050030022,"",-1,-1,-1,0,0,"",0,"FLAG_MAIN_03_022","FLAG_MAIN_03_024",0,"","",0,"","",0,"","",3,0,0,2
