int 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,empty 12
35,"1900035","1900035","1900035","1900035","1900035","1900035","1900035","1900035","1900035","1900035","1900035",""
26,"1900026","1900026","1900026","1900026","1900026","1900026","1900026","1900026","1900026","1900026","1900026",""
27,"1900027","1900027","1900027","1900027","1900027","1900027","1900027","1900027","1900027","1900027","1900027",""
28,"1900028","1900028","1900028","1900028","1900028","1900028","1900028","1900028","1900028","1900028","1900028",""
29,"1900029","1900029","1900029","1900029","1900029","1900029","1900029","1900029","1900029","1900029","1900029",""
30,"1900030","1900030","1900030","1900030","1900030","1900030","1900030","1900030","1900030","1900030","1900030",""
31,"1900031","1900031","1900031","1900031","1900031","1900031","1900031","1900031","1900031","1900031","1900031",""
32,"1900032","1900032","1900032","1900032","1900032","1900032","1900032","1900032","1900032","1900032","1900032",""
33,"1900033","1900033","1900033","1900033","1900033","1900033","1900033","1900033","1900033","1900033","1900033",""
34,"1900034","1900034","1900034","1900034","1900034","1900034","1900034","1900034","1900034","1900034","1900034",""
0,"1900000","1900000","1900016","1900000","1900000","1900000","1900000","1900000","1900000","1900000","1900000",""
1,"1900001","1900001","1900001","1900001","1900001","1900001","1900001","1900001","1900001","1900001","1900001",""
2,"1900002","1900002","1900002","1900002","1900002","1900002","1900002","1900002","1900002","1900002","1900002",""
3,"1900003","1900003","1900003","1900003","1900003","1900003","1900003","1900003","1900003","1900003","1900003",""
4,"1900004","1900004","1900004","1900004","1900004","1900004","1900004","1900004","1900004","1900004","1900004",""
5,"1900005","1900005","1900005","1900005","1900005","1900005","1900005","1900005","1900005","1900005","1900005",""
6,"1900006","1900006","1900006","1900006","1900006","1900006","1900006","1900006","1900006","1900006","1900006",""
7,"1900007","1900007","1900007","1900007","1900007","1900007","1900007","1900007","1900007","1900007","1900007",""
8,"1900008","1900008","1900008","1900008","1900008","1900008","1900008","1900008","1900008","1900008","1900008",""
9,"1900009","1900009","1900009","1900009","1900009","1900009","1900009","1900009","1900009","1900009","1900009",""
10,"1900010","1900010","1900010","1900010","1900010","1900010","1900010","1900010","1900010","1900010","1900010",""
11,"1900011","1900011","1900011","1900011","1900011","1900011","1900011","1900011","1900011","1900011","1900011",""
12,"1900012","1900012","1900060","1900012","1900012","1900012","1900012","1900012","1900012","1900012","1900012",""
13,"1900013","1900013","1900013","1900013","1900013","1900013","1900013","1900013","1900013","1900013","1900013",""
14,"1900014","1900014","1900014","1900014","1900014","1900014","1900014","1900014","1900014","1900014","1900014",""
15,"1900015","1900015","1900015","1900015","1900015","1900015","1900015","1900015","1900015","1900015","1900015",""
16,"1900016","1900016","1900000","1900016","1900016","1900016","1900016","1900016","1900016","1900016","1900016",""
17,"1900017","1900017","1900017","1900017","1900017","1900017","1900017","1900017","1900017","1900017","1900017",""
18,"1900018","1900018","1900018","1900018","1900018","1900018","1900018","1900018","1900018","1900018","1900018",""
19,"1900019","1900019","1900019","1900019","1900019","1900019","1900019","1900019","1900019","1900019","1900019",""
20,"1900020","1900020","1900020","1900020","1900020","1900020","1900020","1900020","1900020","1900020","1900020",""
21,"1900021","1900021","1900021","1900021","1900021","1900021","1900021","1900021","1900021","1900021","1900021",""
22,"1900022","1900022","1900025","1900022","1900022","1900022","1900022","1900022","1900022","1900022","1900022",""
23,"1900023","1900023","1900023","1900023","1900023","1900023","1900023","1900023","1900023","1900023","1900023",""
24,"1900024","1900024","1900024","1900025","1900024","1900024","1900024","1900024","1900024","1900024","1900024",""
25,"1900025","1900025","1900022","1900024","1900025","1900025","1900025","1900025","1900025","1900025","1900025",""
53,"1900053","1900053","1900109","1900114","1900059","1900059","1900053","1900059","1900053","1900053","1900053",""
54,"1900054","1900097","1900054","1900115","1900120","1900124","1900054","1900130","1900054","1900054","1900054",""
55,"1900055","1900055","1900097","1900116","1900121","1900108","1900115","1900115","1900055","1900055","1900055",""
56,"1900056","1900056","1900110","1900117","1900117","1900117","1900055","1900117","1900056","1900056","1900056",""
58,"1900058","1900058","1900012","1900118","1900122","1900125","1900126","1900125","1900058","1900058","1900058",""
59,"1900059","1900059","1900111","1900119","1900123","1900115","1900127","1900128","1900059","1900059","1900059",""
57,"1900133","1900133","1900112","1900107","1900111","1900126","1900056","1900129","1900133","1900133","1900133",""
60,"1900060","1900060","1900058","1900060","1900060","1900060","1900060","1900060","1900060","1900060","1900060",""
61,"1900061","1900061","1900106","1900061","1900061","1900061","1900061","1900061","1900061","1900061","1900061",""
62,"1900062","1900062","1900113","1900053","1900053","1900053","1900058","1900053","1900062","1900062","1900062",""
96,"-1","1900096","-1","-1","-1","-1","-1","-1","-1","-1","-1",""
105,"-1","1900105","-1","-1","-1","-1","-1","-1","-1","-1","-1",""
106,"-1","1900106","-1","-1","-1","-1","-1","-1","-1","-1","-1",""
