int 0,float 1,empty 2
11,1.35,""
12,0.5,""
13,0,""
14,0,""
15,0,""
16,0.25,""
17,0.2,""
18,0,""
50,1,""
51,1.4,""
52,2,""
53,2,""
96,0,""
97,-40,""
98,60,""
99,0,""
100,0,""
101,0,""
102,0,""
103,70,""
104,0,""
105,-35,""
106,48,""
107,-24,""
108,0,""
109,-64,""
110,1,""
111,0.375,""
112,0,""
113,-20,""
114,0,""
115,-40,""
116,0,""
117,40,""
118,0,""
119,40,""
120,0.2,""
200,1,""
300,0.7,""
301,0.3,""
302,1,""
303,3,""
304,0.03,""
400,2,""
401,2,""
402,2,""
403,2,""
404,2,""
405,5,""
406,10,""
407,10,""
408,7,""
450,0.85,""
460,0.5,""
500,0.2,""
501,1.45,""
502,540,""
503,267,""
550,0.2,""
551,1.45,""
552,0.08,""
553,1.2,""
554,0.1,""
555,1.6,""
556,540,""
557,267,""
600,1,""
601,1,""
610,0.5,""
650,0.5,""
700,0.5,""
701,0.3,""
800,0.15,""
900,1.5,""
1000,4.5,""
1001,6,""
1002,1.8,""
1003,5,""
1004,2.5,""
1005,1.5,""
1006,0.05,""
1500,10,""
2000,1,""
2050,0.5,""
9000,1,""
9001,0.25,""
9002,0.5,""
9003,0.25,""
