int32 0,int32 1,string2 2,empty 3,string2 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,string2 19,int32 20
1,1,"1200020001",,"char_CHRONOMON_BOSS",4,2,4,1,1,1,1,50,0,0,0,0,0,0,"",0
2,1,"1200020002",,"char_CHRONOMON_BOSS",4,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
3,1,"1200020003",,"char_CHRONOMON_BOSS",4,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
4,1,"1200020004",,"char_CHRONOMON_BOSS",4,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
5,1,"1200020005",,"char_CHRONOMON_BOSS",4,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
6,1,"1200020006",,"char_CHRONOMON_BOSS",4,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
7,1,"1200020007",,"char_CHRONOMON_BOSS",4,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
8,1,"1200020008",,"char_CHRONOMON_BOSS",0,2,0,1,1,1,1,50,0,0,0,0,0,0,"",0
40,15,"1200020040",,"char_MINERVAMON",0,5,1,1,1,1,1,50,0,0,0,0,0,0,"",0
42,16,"1200020042",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
43,16,"1200020043",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
44,16,"1200020044",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
45,16,"1200020045",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
46,16,"1200020046",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
47,16,"1200020047",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
48,16,"1200020049",,"char_CHRONOMON_BOSS",4,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
49,16,"1200020050",,"char_CHRONOMON_BOSS",0,6,0,0,1,0,1,50,0,0,0,0,0,0,"",0
51,55,"1200020051",,"char_CHRONOMON_BOSS",4,11,0,0,1,0,1,50,0,0,0,0,0,0,"",0
52,55,"1200020052",,"char_CHRONOMON_BOSS",4,11,0,0,1,0,1,50,0,0,0,0,0,0,"",0
53,55,"1200020053",,"char_CHRONOMON_BOSS",4,11,0,0,1,0,1,50,0,0,0,0,0,0,"",0
54,55,"1200020054",,"char_CHRONOMON_BOSS",4,11,0,0,1,0,1,50,0,0,0,0,0,0,"",0
55,55,"1200020055",,"char_CHRONOMON_BOSS",4,11,0,0,1,0,1,50,0,0,0,0,0,0,"",0
56,55,"1200020056",,"char_CHRONOMON_BOSS",0,11,0,0,1,0,1,50,0,0,0,0,0,0,"",0
57,17,"1200020057",,"char_CERESMON_MEDIUM",0,7,0,0,1,1,1,50,0,0,0,0,0,0,"",0
58,18,"1200020058",,"char_CHRONOMON_BOSS",0,8,1,0,1,0,1,50,0,0,0,0,0,0,"",0
59,19,"1200020059",,"char_VENUSMON",0,9,0,0,1,1,1,50,0,0,0,0,0,0,"",0
60,20,"1200020060",,"char_CHRONOMON_BOSS",4,13,0,1,1,1,1,50,0,0,0,0,0,0,"",0
61,20,"1200020061",,"char_CHRONOMON_BOSS",4,13,0,1,1,1,1,50,0,0,0,0,0,0,"",0
62,20,"1200020062",,"char_CHRONOMON_BOSS",4,13,0,1,1,1,1,50,0,0,0,0,0,0,"",0
63,20,"1200020063",,"char_CHRONOMON_BOSS",4,13,0,1,1,1,1,50,0,0,0,0,0,0,"",0
64,20,"1200020064",,"char_CHRONOMON_BOSS",4,13,0,1,1,1,1,50,0,0,0,0,0,0,"",0
65,20,"1200020065",,"char_CHRONOMON_BOSS",0,13,0,1,1,1,1,50,0,0,0,0,0,0,"",0
92,34,"1200020092",,"char_MERCURYMON",0,10,0,1,1,1,1,50,0,1,2,3,0,0,"",0
110,45,"1200020110",,"char_BACCHUSMON",0,12,0,1,1,1,1,50,0,4,5,6,0,0,"",0
109,41,"1200020109",,"char_PLUTOMON",0,25,1,1,1,1,1,50,0,7,8,0,0,0,"",0
116,46,"1200020116",,"char_APOLLOMON",4,30,1,0,1,0,1,50,0,0,0,0,0,0,"",0
117,46,"1200020117",,"char_DIANAMON",0,30,1,0,1,0,1,50,0,0,0,0,0,0,"",0
118,47,"1200020118",,"char_CERESMON_MEDIUM",0,31,0,1,1,1,1,50,0,9,0,0,0,0,"",0
119,48,"1200020119",,"char_AEGIOMON",4,32,1,0,1,0,1,50,0,0,0,0,0,0,"",0
120,48,"1200020120",,"char_AEGIOMON",0,32,0,0,1,0,1,50,0,0,0,0,0,0,"",0
126,49,"1200020126",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
127,49,"1200020127",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
128,49,"1200020128",,"char_AEGIOMON",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
129,49,"1200020129",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
130,49,"1200020130",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
131,49,"1200020131",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
132,49,"1200020219",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
133,49,"1200020132",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
134,49,"1200020133",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
135,49,"1200020134",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
136,49,"1200020135",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
137,49,"1200020136",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
138,49,"1200020137",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
139,49,"1200020138",,"char_AEGIOMON",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
140,49,"1200020139",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
141,49,"1200020140",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
142,49,"1200020141",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
143,49,"1200020142",,"char_AEGIOMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
144,49,"1200020143",,"char_AEGIOMON",0,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
145,50,"1200020144",,"char_APOLLOMON",4,34,1,0,1,0,1,50,0,0,0,0,0,0,"",0
146,50,"1200020145",,"char_DIANAMON",0,34,1,0,1,0,1,50,0,0,0,0,0,0,"",0
147,51,"1200020146",,"char_AEGIOMON",4,35,1,0,1,0,1,50,0,0,0,0,0,0,"",0
148,51,"1200020147",,"char_AEGIOMON",0,35,0,0,1,0,1,50,0,0,0,0,0,0,"",0
149,52,"1200020148",,"char_MINERVAMON",4,36,0,1,1,1,1,50,0,10,11,0,0,0,"",0
150,52,"1200020149",,"char_MINERVAMON",0,36,0,1,1,1,1,50,0,0,0,0,0,0,"",0
151,53,"1200020150",,"char_MINERVAMON",4,37,1,1,1,1,1,50,0,0,0,0,0,0,"",0
152,53,"1200020151",,"char_MINERVAMON",4,37,0,1,1,1,1,50,0,0,0,0,0,0,"",0
153,53,"1200020152",,"char_MINERVAMON",0,37,0,1,1,1,1,50,0,0,0,0,0,0,"",0
154,54,"1200020218",,"char_MERVAMON",0,38,0,1,2,1,1,50,0,12,0,0,0,0,"",0
319,148,"1200020222",,"char_AEGIOCHUSMON",4,32,1,0,1,0,1,50,0,0,0,0,0,0,"",0
320,148,"1200020223",,"char_AEGIOCHUSMON",0,32,0,0,1,0,1,50,0,0,0,0,0,0,"",0
326,149,"1200020126",,"char_CHRONOMON_BOSS",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
327,149,"1200020127",,"char_CHRONOMON_BOSS",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
328,149,"1200020229",,"char_AEGIOCHUSMON",4,33,1,0,1,1,1,50,0,0,0,0,0,0,"",0
329,149,"1200020230",,"char_AEGIOCHUSMON",4,33,0,0,1,0,1,50,0,0,0,0,0,0,"",0
