int 0,empty 1,empty 2,empty 3,string2 4,int 5,string2 6,int 7,float 8,int 9,int 10,int 11,int 12,bool 13,empty 14
21431,"","","","ef_b_chr143_bs01",1,"",3,0,1,0,-1,-1,0,""
21751,"","","","ef_b_chr175_bs01",1,"",3,0,1,0,0,-1,0,""
21752,"","","","ef_b_chr175_bs02",1,"",3,0,1,0,-1,-1,0,""
21821,"","","","ef_b_chr182_bs01",1,"",3,0,1,0,-1,-1,0,""
21822,"","","","ef_b_chr182_bs02",1,"",3,0,1,0,-1,-1,0,""
23271,"","","","ef_b_chr327_bs01",1,"",3,0,1,0,-1,-1,0,""
27121,"","","","ef_b_chr712_bs01",1,"",3,0,1,0,-1,-1,0,""
27131,"","","","ef_b_chr713_bs01",1,"",3,0,1,0,-1,-1,0,""
27141,"","","","ef_b_chr714_bs01",1,"",3,0,1,0,-1,-1,0,""
27151,"","","","ef_b_chr715_bs01",1,"",3,0,1,0,-1,-1,0,""
