string2 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,int 9
"FLAG_NOT_USE_FIELD_FADE",1001,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_KEEP_BGM",1002,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_DISPLAYED_MAP_NAME_UI",1003,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_TIME_AXIS_PAST",1004,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_TIME_AXIS_PRESENT",1005,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_SET_NPC_CAM",1006,-1,0,"",0,0,"","FirstPresent",1
"define1007",1007,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_CARRY_OBJECT",1011,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_SWIM",1012,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_HIDE",1013,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_CHANGE_AEGIOMON",1014,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_DUCT",1015,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_ZIP",1016,-1,0,"",0,0,"","FirstPresent",1
"define1017",1017,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_MAPCHANGE_BY_FALL",1018,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_MAPCHANGE_USING_DOOR",1019,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_FLIGHT_RIDE",1020,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_START_EVENT_BEFORE_MAPCHANGE",1021,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_TIME_ZONE_MONING",1022,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_TIME_ZONE_NOON",1023,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_TIME_ZONE_EVENING",1024,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_TIME_ZONE_NIGHT",1025,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_RUMOR_INVISIVLE",1026,-1,0,"",0,0,"","FirstPresent",1
"FLAG_SKIP_AREACHANGE_MOVE",1027,-1,0,"",0,0,"","FirstPresent",1
"FLAG_ISAREA_CHANGE_FOR_LOCOMON",1028,-1,0,"",0,0,"","FirstPresent",1
"define1029",1029,-1,0,"",0,0,"","FirstPresent",1
"FLAG_UNUSABLE_ESCAPE_ITEM",1030,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_MAPCHANGE_BY_CHAPTERCHANGE",1031,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_PLAY_EVENT_AFTER_CHAPTERCHANGE",1032,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_NOT_MAP_NAME_DISP",1033,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_NOT_HIT_ENCOUNT",1034,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_NOT_FA_ENCOUNT",1035,-1,0,"",0,0,"","FirstPresent",1
"FLAG_ISAREA_CHANGE_FOR_BLIMP",1036,-1,0,"",0,0,"","FirstPresent",1
"FLAG_IS_LOCK_STRIKE_PLUS",1040,-1,0,"",0,0,"","FirstPresent",1
