int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13
1,1,1,113,14,1,0,0,2,3,0,0,0,0
2,2,2,79,14,2,0,0,0,2,0,0,0,3
3,3,3,113,48,3,0,0,0,2,3,0,0,0
4,4,4,79,48,4,0,4,0,2,0,0,0,0
5,5,5,15,14,5,0,0,0,0,2,0,4,0
6,6,6,47,14,6,0,0,0,0,0,3,3,0
7,7,7,15,48,7,0,0,4,0,0,0,3,0
8,8,8,47,48,8,0,4,0,0,0,0,3,0
9,9,9,113,112,9,0,2,0,0,4,0,0,0
10,10,10,80,112,10,0,0,4,0,3,0,0,0
11,11,11,113,79,11,0,0,0,3,3,0,0,0
12,12,12,79,79,12,0,0,0,0,3,0,3,0
13,13,13,15,112,13,0,0,0,0,0,3,0,2
14,14,14,48,112,14,0,0,0,0,0,2,3,0
15,15,15,15,79,15,0,0,4,0,0,2,0,0
16,16,16,48,79,16,0,4,0,0,0,2,0,0
