int32 0,string2 1,empty 2,empty 3,string2 4,string2 5,float 6,float 7,float 8,float 9,float 10,float 11,float 12,float 13,int32 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,int32 25,float 26,float 27,string2 28,int32 29
1,"chr050",,,"ba01","J_hand_r",20,-115,0,0.5,20,-110,0,0.55,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,0,20,0.5,0.5,"",2
2,"chr050",,,"ba01","J_hand_r",20,-90,0,0.5,20,-90,0,0.55,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,0,20,0.5,0.5,"",2
3,"chr050",,,"ba01","J_hand_r",20,-65,0,0.5,20,-70,0,0.55,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,0,20,0.5,0.5,"",2
4,"chr050",,,"ba01","J_hand_l",20,90,0,0.5,20,90,0,0.55,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,0,20,0.5,0.5,"",2
5,"chr050",,,"ba01","J_hand_l",20,115,0,0.5,20,110,0,0.55,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,0,20,0.5,0.5,"",2
6,"chr050",,,"ba01","J_hand_l",20,65,0,0.5,20,70,0,0.55,1,18,18.43,18.86,19.29,19.71,20.14,20.57,21,22,0,20,0.5,0.5,"",2
7,"chr605",,,"ba01","J_tail11",170,0,0,0.6,195,0,0,1.05,0,8,15,-1,-1,-1,-1,-1,-1,14.999999,3,30,0,0,"",2
8,"chr725",,,"ba01","J_tail08",0,180,0,-0.1,0,180,0,1.1,0,10,16,-1,-1,-1,-1,-1,-1,16,3,20,0,0,"",2
9,"chr766",,,"ba01","J_weapon",0,0,0,2,0,0,0,8,1,12,12.43,12.86,13.29,13.71,14.14,14.57,15,14.999999,0,20,0.26,0.17,"",2
10,"chr063",,,"ba01","J_wepon01_R",90,0,-75,0.1,90,0,-93,0.8,1,12,12.57,13.14,13.71,14.29,14.86,15.43,16,16,2,20,0,0,"",2
11,"chr066",,,"ba01","J_ring03_r",0,-90,0,0.3,0,-90,0,0.4,1,14.5,14.86,15.21,15.57,15.93,16.29,16.64,17,17,0,8,1,0.5,"",2
12,"chr066",,,"ba01","J_middle03_r",0,-90,0,0.3,0,-90,0,0.4,1,14.5,14.86,15.21,15.57,15.93,16.29,16.64,17,17,0,8,1,0.5,"",2
13,"chr066",,,"ba01","J_index03_r",0,-90,0,0.3,0,-90,0,0.4,1,14.5,14.86,15.21,15.57,15.93,16.29,16.64,17,17,0,8,1,0.5,"",2
14,"chr199",,,"ba01","J_index03_r",0,-90,0,0.2,0,-90,0,0.3,1,23,23.36,23.71,24.07,24.43,24.79,25.14,25.5,-1,0,21,0.6,0.6,"",2
15,"chr199",,,"ba01","J_ring03_l",0,90,0,0.2,0,90,0,0.3,1,23,23.36,23.71,24.07,24.43,24.79,25.14,25.5,-1,0,20,0.6,0.6,"",2
16,"chr199",,,"ba01","J_index03_l",0,90,0,0.2,0,90,0,0.3,1,23,23.36,23.71,24.07,24.43,24.79,25.14,25.5,-1,0,20,0.6,0.6,"",2
17,"chr199",,,"ba01","J_middle03_l",0,90,0,0.2,0,90,0,0.3,1,23,23.36,23.71,24.07,24.43,24.79,25.14,25.5,-1,0,20,0.6,0.6,"",2
18,"chr199",,,"ba01","J_ring03_r",0,-90,0,0.2,0,-90,0,0.3,1,23,23.36,23.71,24.07,24.43,24.79,25.14,25.5,-1,0,8,0.6,0.6,"",2
19,"chr199",,,"ba01","J_middle03_r",0,-90,0,0.2,0,-90,0,0.3,1,23,23.36,23.71,24.07,24.43,24.79,25.14,25.5,-1,0,21,0.6,0.6,"",2
20,"chr417",,,"ba01","J_weaponR",0,-90,0,0.5,0,-90,0,3,1,19,19.43,19.86,20.29,20.71,21.14,21.57,22,22,2,59,0,0,"",2
21,"chr707",,,"ba01","J_finger_l",0,0,0,0.2,0,0,0,0.3,1,27,27.29,27.57,27.86,28.14,28.43,28.71,29,29,0,20,0.85,0.7,"",2
22,"chr707",,,"ba01","J_finger_l",0,30,0,0.2,0,20,0,0.3,1,27,27.29,27.57,27.86,28.14,28.43,28.71,29,29,0,20,0.85,0.7,"",2
23,"chr707",,,"ba01","J_finger_l",0,-30,0,0.2,0,-20,0,0.3,1,27,27.29,27.57,27.86,28.14,28.43,28.71,29,29,0,20,0.85,0.7,"",2
24,"chr707",,,"ba01","J_finger_r",0,0,0,0.2,0,0,0,0.3,1,12.8,13.11,13.43,13.74,14.06,14.37,14.69,15,16,0,20,0.85,0.7,"",2
25,"chr707",,,"ba01","J_finger_r",0,30,0,0.2,0,20,0,0.3,1,12.8,13.11,13.43,13.74,14.06,14.37,14.69,15,16,0,20,0.85,0.7,"",2
26,"chr707",,,"ba01","J_finger_r",0,-30,0,0.2,0,-20,0,0.3,1,12.8,13.11,13.43,13.74,14.06,14.37,14.69,15,16,0,20,0.85,0.7,"",2
27,"chr624",,,"ba01","J_te_L",20,80,0,0.3,20,80,0,0.4,1,20,20.36,20.71,21.07,21.43,21.79,22.14,22.5,23,0,8,1,1,"",2
28,"chr624",,,"ba01","J_te_L",20,90,0,0.3,20,90,0,0.4,1,20,20.36,20.71,21.07,21.43,21.79,22.14,22.5,23,0,8,1,1,"",2
29,"chr624",,,"ba01","J_te_L",20,100,0,0.3,20,100,0,0.4,1,20,20.36,20.71,21.07,21.43,21.79,22.14,22.5,23,0,8,1,1,"",2
30,"chr624",,,"ba01","J_te_R",20,-80,0,0.3,20,-80,0,0.4,1,11,11.29,11.57,11.86,12.14,12.43,12.71,13,13,0,8,1,1,"",2
31,"chr624",,,"ba01","J_te_R",20,-90,0,0.3,20,-90,0,0.4,1,11,11.29,11.57,11.86,12.14,12.43,12.71,13,13,0,8,1,1,"",2
32,"chr624",,,"ba01","J_te_R",20,-100,0,0.3,20,-100,0,0.4,1,11,11.29,11.57,11.86,12.14,12.43,12.71,13,13,0,8,1,1,"",2
