int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49
1010,1,,10,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,1010,"t0402","npc_0500",-1,1,0,"",0,"401","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
1020,1,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,1020,"t0402","npc_0500",-1,1,0,"",0,"401","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
1030,1,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,1030,"t0401","shop_0002",-1,1,0,"",0,"401","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
1040,1,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,1040,"t0109","",-1,0,40,"gim_0010",0,"401","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
1050,1,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,1050,"d1101","npc_0600",-1,1,0,"",0,"155","","",10901,"A2020_dbef_80","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
2010,2,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,2010,"t0402","npc_0500",-1,1,0,"",0,"401","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
2020,2,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,2020,"t0402","npc_0500",-1,1,0,"",0,"401","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
2030,2,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,2030,"t0203","npc_0502",-1,1,0,"",0,"201","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
2040,2,,40,15,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,2040,"t0203","",-1,1,25,"target_01",0,"201","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
2041,2,,41,15,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,2041,"t0203","",-1,1,25,"target_01",0,"201","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
2050,2,,50,16,17,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,2050,"t0203","npc_0500",-1,1,0,"",0,"201","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
3010,3,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,3010,"t0302","npc_0500",-1,1,0,"",0,"302","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
3020,3,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,3020,"t0302","npc_0500",-1,1,0,"",0,"302","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
3030,3,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,3030,"t0302","",-1,1,30," ",0,"302","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
3040,3,,40,15,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,3040,"t0303","",-1,1,0,"",0,"302","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
3050,3,,50,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,3050,"t0303","Giru_01",-1,1,0,"",0,"302","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
3060,3,,60,25,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,3060,"d1102","Giru_02",-1,1,0,"",0,"302","","",10901,"A2020_dbef_100","A2020_dbef_110","A2020_dbef_119","","","","","","","","","","","","","",
13010,13,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,13010,"d0305","npc_0001",-1,0,0,"",0,"10312","155","",1030202,"A2028_daft_419","","","","","","","","","","","","","","","",
13020,13,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,13020,"d0305","npc_0001",-1,0,0,"",0,"10312","155","",1030202,"A2028_daft_419","","","","","","","","","","","","","","","",
13030,13,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,13030,"d0213","npc_0001",-1,0,0,"",0,"10211","155","",1020202,"A2028_daft_419","","","","","","","","","","","","","","","",
13040,13,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,13040,"d0305","npc_0001",-1,0,0,"",0,"10312","155","",1030202,"A2028_daft_419","","","","","","","","","","","","","","","",
18010,18,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,18010,"d0302","s020_018_npc01",-1,0,0,"",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
18020,18,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,18020,"d0302","s020_018_npc01",-1,0,0,"",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
18030,18,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,18030,"d0308","gim_access_3",-1,0,10,"gim_access_3",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
18040,18,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,18040,"d0301","gim_0004",-1,0,13,"gim_0004",0,"10302","","",1030201,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
19010,19,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,19010,"d0304","s020_019_001",-1,0,0,"",0,"10312","401","",1030202,"A2028_daft_290","A2028_daft_419","","","","","","","","","","","","","","",
19020,19,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,19020,"d0305","npc_0001",-1,0,0,"",0,"10312","401","",1030202,"A2028_daft_290","A2028_daft_419","","","","","","","","","","","","","","",
19030,19,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,19020,"d0304","s020_019_nepu_02",-1,0,0,"",0,"10312","401","",1030202,"A2028_daft_290","A2028_daft_419","","","","","","","","","","","","","","",
19040,19,,40,15,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,19030,"d0304","s020_019_001",-1,0,0,"",0,"10312","401","",1030202,"A2028_daft_290","A2028_daft_419","","","","","","","","","","","","","","",
24010,24,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,24010,"d0405","sub024_001",-1,0,0,"",0,"10401","","",1040401,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
24020,24,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,24020,"d0405","",-1,0,30,"gim_9000",0,"10401","","",1040401,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
24030,24,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,24030,"d0405","sub024_001",-1,0,0,"",0,"10401","","",1040401,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
29010,29,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,29010,"d0404","bacchus_01",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
29020,29,,20,3,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,29010,"d0404","bacchus_01",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
29030,29,,30,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,29020,"d0406","sub029_001",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
29040,29,,40,7,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,29020,"d0404","sub029_001",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
29050,29,,50,10,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,29030,"d0404","bacchus_01",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
29060,29,,60,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,29040,"d0404","bacchus_01",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
30010,30,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,30010,"d0404","sub030_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
30020,30,,20,3,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,30010,"d0404","sub030_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
30030,30,,30,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,30020,"d0405","sub030_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
30040,30,,40,10,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,30030,"d0404","sub030_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
30050,30,,50,20,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,30040,"d0404","sub030_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
31010,31,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31010,"d0406","obj_germination01",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31020,31,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31020,"d0404","sub031_001",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31030,31,,30,7,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31020,"d0404","sub031_001",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31040,31,,40,10,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31030,"d0403","sub031_item01",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31041,31,,41,10,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31030,"d0403","sub031_item02",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31042,31,,42,10,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31030,"d0403","sub031_item03",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31050,31,,50,20,21,22,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31040,"d0404","sub031_001",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
31060,31,,60,30,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,31050,"d0406","sub031_001",-1,0,0,"",0,"10412","155","",1040402,"A2028_daft_419","","","","","","","","","","","","","","","",
32010,32,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,32010,"d0401","s040_032_002",-1,0,0,"",0,"10401","","",1040401,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
32020,32,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,32020,"d0403","s040_032_003",-1,0,0,"",0,"10401","","",1040401,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
32030,32,,30,10,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,32030,"d0403","s040_032_006",-1,0,0,"",0,"10401","","",1040401,"A2020_dbef_180","A2020_dbef_199","","","","","","","","","","","","","","",
33010,33,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,33010,"d0402","s040_033_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
33020,33,,20,5,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,33020,"d0402","s040_033_004",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
33030,33,,30,15,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,33030,"d0405","s040_033_001",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
33040,33,,40,25,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,33040,"d0403","s040_033_002",-1,0,0,"",0,"10412","401","",1040402,"A2028_daft_310","A2028_daft_419","","","","","","","","","","","","","","",
38010,38,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,38010,"d0201","zudo_01",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_142","A2020_dbef_199","","","","","","","","","","","","","","",
38020,38,,20,5,-1,-1,-1,-1,255,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,38020,"d0201","zudo_01",-1,1,0,"",0,"10201","","",1020101,"A2020_dbef_142","A2020_dbef_199","","","","","","","","","","","","","","",
