int 0,empty 1,empty 2,empty 3,int 4,int 5,int 6
1,"","","",1,0,100
2,"","","",2,0,100
3,"","","",3,0,100
4,"","","",4,0,100
5,"","","",5,0,100
6,"","","",6,0,100
7,"","","",7,0,100
8,"","","",8,0,100
9,"","","",9,0,100
10,"","","",10,0,100
11,"","","",11,0,100
12,"","","",12,0,100
13,"","","",13,0,100
14,"","","",1014,0,80
15,"","","",1015,0,80
16,"","","",1016,0,80
17,"","","",17,0,80
18,"","","",18,0,80
19,"","","",19,0,80
20,"","","",20,0,80
21,"","","",21,0,80
22,"","","",22,0,80
23,"","","",23,0,80
24,"","","",24,0,75
25,"","","",25,0,70
26,"","","",26,0,70
27,"","","",27,1,100
28,"","","",28,1,100
29,"","","",29,1,100
30,"","","",30,1,100
31,"","","",31,1,100
32,"","","",32,1,100
33,"","","",33,1,10
34,"","","",34,1,10
35,"","","",35,1,90
36,"","","",36,1,90
37,"","","",37,1,90
38,"","","",38,1,90
39,"","","",39,1,90
40,"","","",40,1,90
41,"","","",41,1,90
42,"","","",42,1,90
43,"","","",43,1,90
44,"","","",44,0,80
45,"","","",45,1,70
46,"","","",46,1,70
47,"","","",47,1,70
48,"","","",48,1,70
49,"","","",49,1,70
50,"","","",50,1,70
51,"","","",51,1,70
52,"","","",52,1,50
53,"","","",53,1,50
54,"","","",54,1,50
55,"","","",55,1,50
56,"","","",56,1,50
57,"","","",57,1,50
58,"","","",58,1,50
59,"","","",59,1,50
60,"","","",60,1,50
61,"","","",61,1,50
62,"","","",62,1,50
63,"","","",63,1,50
64,"","","",64,1,50
65,"","","",65,1,50
66,"","","",66,1,50
67,"","","",67,1,50
68,"","","",68,1,50
69,"","","",69,1,50
70,"","","",70,1,50
71,"","","",71,1,50
72,"","","",72,1,50
73,"","","",73,1,30
74,"","","",74,1,30
75,"","","",75,1,30
76,"","","",76,1,30
77,"","","",77,1,30
78,"","","",78,1,30
79,"","","",79,1,30
80,"","","",80,1,30
81,"","","",81,1,30
82,"","","",82,1,30
83,"","","",83,1,30
84,"","","",84,1,30
85,"","","",85,1,30
86,"","","",86,1,30
87,"","","",87,1,30
88,"","","",88,1,30
89,"","","",89,1,30
90,"","","",90,1,30
91,"","","",91,1,30
92,"","","",92,1,30
93,"","","",93,1,30
94,"","","",94,1,100
95,"","","",95,2,100
96,"","","",96,0,0
97,"","","",97,0,0
98,"","","",98,0,0
99,"","","",99,0,0
100,"","","",100,0,0
101,"","","",0,1,0
102,"","","",102,2,0
