int 0,string2 1,float 2,float 3,float 4,float 5,float 6,int 7,int 8,float 9,float 10,float 11,float 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int 22,int 23,int 24,int 25,string2 26,string2 27,int 28
10202001,"1",0,0,0,1,1,34,2,0,1.5,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202002,"2",0,0,0,1,1,34,2,0,1.5,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202003,"3",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202004,"4",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202005,"5",1.5,360,360,1,1,38,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202006,"6",2,360,360,1,1,38,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202100,"100",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202101,"101",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202301,"301",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202400,"400",2,160,360,1,1,34,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202401,"401",2,160,360,1,1,34,2,0,1.1,0.2,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202402,"402",2,160,360,1,1,34,2,0,0,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202403,"403",2,360,360,1,1,8,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202404,"404",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202500,"500",3,160,360,1,1,2,2,0,0.7,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202501,"501",3,160,360,1,1,2,2,0,0.7,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202502,"502",3,160,360,1,1,2,2,0,0.7,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202503,"503",3,160,360,1,1,2,2,0,0.7,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202504,"504",3,160,360,1,1,2,2,0,0.7,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202600,"600",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202601,"601",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10202800,"800",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
