int 0,empty 1,string3 2,float 3,float 4,float 5,float 6,float 7,int 8,int 9,float 10,int 11,int 12,float 13,bool 14
101,"","ef_dis_0200c",0.8,0.1,0.9,0.3,0.3,1,1,1,20,0,0,0
102,"","ef_dis_0200c",0.8,0.1,0.3,0.9,1,1,1,1,20,0,0,0
103,"","ef_dis_0200c",0.8,0.1,0.3,0.9,1,0,1,1,20,0,0,0
104,"","ef_dis_0200c",0.8,0.1,0.3,0.9,0.3,1,1,1,20,0,0,0
105,"","ef_dis_0200c",0.8,0.1,0.9,0.3,0.3,0,0,1,64,4,0,0
106,"","ef_dis_0600c",0.3,0.1,0.3,0.5,1,0,0,1,40,0,0,0
107,"","ef_dis_0600c",0.3,0.1,0.3,0.5,1,0,1,1,40,0,0,0
108,"","ef_dis_0600c",0.3,0.1,0.3,0.5,1,1,1,1,40,0,0,0
109,"","ef_dis_0600c",0.3,0.1,0.3,0.5,1,1,0,1,40,0,0,0
110,"","ef_dis_c",0.15,0.4,3,2.8,2.5,0,0,1,20,0,0,0
111,"","ef_dis_0600c",0.3,0.7,3,3,3,0,1,1,20,0,0,0
201,"","ef_dis_0200c",0.8,0.1,0.9,0.3,0.3,1,1,1,20,0,0,0
202,"","ef_dis_0200c",0.8,0.1,0.3,0.9,1,0,1,1,20,0,0,0
203,"","ef_dis_0200c",0.8,0.1,0.3,0.9,1,0,1,1,8,0,0,0
204,"","ef_dis_0200c",0.8,0.1,0.3,0.9,1,1,1,1,20,0,0,0
301,"","ef_dis_c",0.15,0.4,3,2.8,2.5,0,0,1,90,0,0.2,0
302,"","ef_dis_0600c",0.3,0.7,3,3,3,0,1,1,70,0,0.5,0
303,"","ef_dis_0600c",0.3,0.7,1,1,1,0,1,1,50,0,8.5,0
401,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,1,0,0.33,15,0,0,1
402,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,0,0.33,15,0,0,0
403,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,1,0,0.38,15,0,0,1
404,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,0,0.38,15,0,0,0
501,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,1,1,15,0,0,1
502,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,1,1,45,0,0,1
503,"","ef_dis_0600c",0.02,0.7,0.3,0.9,1,1,1,1,10,0,0,1
601,"","ef_dis_c",0.15,0.4,3,2.8,2.5,1,1,1,150,0,0,0
602,"","ef_dis_0200c",0.8,0.5,0.6,0,0,1,1,1,200,0,0,1
603,"","ef_dis_0200c",0.8,0.5,0.6,0,0,1,1,0.4,100,0,0,1
604,"","ef_dis_0200c",0.8,0.5,0.6,0,0,1,0,1,145,0,0,1
605,"","ef_dis_0200c",0.3,0.5,0.15,1,0,0,1,1,60,0,0,0
606,"","ef_dis_0200c",0.001,0.1,0.3,0.9,1,0,1,1,50,0,0,1
607,"","ef_dis_0200c",0.01,0.1,0.3,0.9,1,1,1,1,50,0,0,1
