int 0,empty 1,empty 2,string2 3
1,"","","bn01"
2,"","","bn02"
3,"","","ba01"
4,"","","ba02"
5,"","","bg01"
6,"","","bg02"
7,"","","bd01"
8,"","","bd02"
9,"","","bd03"
10,"","","fe02"
11,"","","fe04"
12,"","","bv01"
13,"","","br01"
14,"","","bs01"
15,"","","bs02"
16,"","","bs03"
17,"","","bs04"
18,"","","bs05"
19,"","","bs06"
20,"","","bs07"
21,"","","bs08"
22,"","","sp001"
23,"","","bb01"
24,"","","bb02"
25,"","","bb03"
26,"","","bb04"
27,"","","bb05"
28,"","","bb06"
29,"","","bn01_01"
30,"","","bn01_02"
31,"","","ba01_01"
32,"","","ba01_02"
33,"","","bd01_01"
34,"","","bd01_02"
35,"","","fe02_01"
36,"","","fe02_02"
37,"","","ba02_01"
38,"","","ba02_02"
39,"","","bn02_01"
40,"","","bn02_02"
41,"","","bs01_01"
42,"","","bs02_01"
43,"","","bs02_11"
44,"","","bs03_01"
45,"","","ba02_02"
46,"","","ba02_01"
47,"","","ba01_02"
48,"","","ba01_01"
49,"","","ba01_03"
50,"","","ba01_11"
51,"","","ba01_12"
52,"","","ba01_04"
53,"","","bn01"
54,"","","ba01"
55,"","","fa01"
56,"","","ba01"
57,"","","bi01"
58,"","","bi02"
59,"","","bd01"
60,"","","e203"
61,"","","e004"
62,"","","e005_01"
63,"","","bc01_01"
64,"","","bc01_02"
65,"","",""
66,"","","bc01_03"
67,"","","bc01_04"
68,"","","bc01_05"
69,"","","bc01_06"
70,"","",""
71,"","",""
72,"","",""
73,"","",""
74,"","",""
75,"","",""
76,"","",""
77,"","","fr01_01"
78,"","","bl01"
