int32 0,string2 1,empty 2,int32 3,string2 4,int32 5,int32 6,int32 7,empty 8
0,"0",,95,"",0,0,-1,
1,"1",,96,"",1,1,-1,
101,"101",,97,"",101,101,-1,
104,"104",,100,"",104,104,-1,
106,"106",,102,"",106,106,-1,
108,"108",,103,"",108,108,-1,
111,"111",,105,"",111,111,-1,
112,"112",,106,"",112,112,-1,
113,"113",,107,"",113,113,-1,
114,"114",,108,"",114,114,-1,
116,"116",,109,"",116,116,-1,
117,"117",,110,"",117,117,-1,
119,"119",,111,"",119,119,-1,
121,"121",,98,"",121,121,-1,
124,"124",,104,"",124,124,-1,
125,"125",,211,"",125,125,-1,
129,"129",,99,"",129,129,-1,
130,"130",,101,"",130,130,-1,
133,"133",,212,"",133,133,-1,
201,"201",,112,"",201,201,-1,
202,"202",,114,"",202,202,-1,
204,"204",,116,"",204,204,-1,
205,"205",,118,"",205,205,-1,
206,"206",,117,"",206,206,-1,
207,"207",,119,"",207,207,-1,
301,"301",,120,"",301,301,-1,
303,"303",,121,"",303,303,-1,
305,"305",,122,"",305,305,-1,
306,"306",,122,"",306,306,-1,
307,"307",,123,"",307,307,-1,
308,"308",,124,"",308,308,-1,
309,"309",,125,"",309,309,-1,
310,"310",,126,"",310,310,-1,
311,"311",,127,"",311,311,-1,
312,"312",,130,"",312,312,-1,
314,"314",,131,"",314,314,-1,
315,"315",,132,"",315,315,-1,
317,"317",,133,"",317,317,-1,
319,"319",,129,"",319,319,-1,
320,"320",,213,"",320,320,-1,
321,"321",,214,"",321,321,-1,
401,"401",,134,"",401,401,-1,
402,"402",,135,"",402,402,-1,
404,"404",,136,"",404,404,-1,
405,"405",,137,"",405,405,-1,
406,"406",,138,"",406,406,-1,
501,"501",,139,"",501,501,-1,
505,"505",,215,"",505,505,-1,
506,"506",,1,"",506,-1,9,
507,"507",,2,"",507,-1,9,
508,"508",,3,"",508,-1,9,
509,"509",,4,"",509,-1,9,
510,"510",,5,"",510,-1,9,
511,"511",,6,"",511,-1,9,
512,"512",,7,"",512,-1,9,
513,"513",,8,"",513,-1,9,
514,"514",,9,"",514,-1,9,
515,"515",,10,"",515,-1,9,
516,"516",,11,"",516,-1,9,
517,"517",,12,"",517,-1,9,
518,"518",,13,"",518,-1,9,
519,"519",,14,"",519,-1,9,
520,"520",,15,"",520,-1,9,
521,"521",,16,"",521,-1,9,
523,"523",,23,"",523,423,8,
524,"524",,30,"",524,424,8,
528,"528",,24,"",528,428,8,
529,"529",,25,"",529,429,8,
530,"530",,29,"",530,430,8,
531,"531",,28,"",531,431,8,
533,"533",,27,"",533,433,8,
534,"534",,35,"",534,434,8,
540,"540",,37,"",540,440,8,
543,"543",,31,"",543,443,8,
544,"544",,22,"",544,444,8,
548,"548",,26,"",548,448,8,
551,"551",,41,"",551,451,8,
555,"555",,32,"",555,455,8,
560,"560",,39,"",560,460,8,
563,"563",,43,"",563,463,8,
564,"564",,33,"",564,464,8,
567,"567",,38,"",567,467,8,
568,"568",,40,"",568,468,8,
570,"570",,34,"",570,470,8,
576,"576",,36,"",576,476,8,
579,"579",,42,"",579,479,8,
581,"581",,44,"",581,481,8,
582,"582",,45,"",582,482,8,
583,"583",,46,"",583,483,8,
584,"584",,47,"",584,484,8,
585,"585",,48,"",585,485,8,
590,"590",,49,"",590,490,8,
596,"596",,50,"",596,496,8,
597,"597",,51,"",597,497,8,
598,"598",,21,"",598,498,8,
610,"610",,140,"",610,610,-1,
804,"804",,141,"",804,804,-1,
805,"805",,142,"",805,805,-1,
900,"900",,144,"",900,900,-1,
901,"901",,145,"",901,901,-1,
902,"902",,146,"",902,902,-1,
903,"903",,147,"",903,903,-1,
904,"904",,148,"",904,904,-1,
905,"905",,149,"",905,905,-1,
906,"906",,150,"",906,906,-1,
907,"907",,152,"",907,907,-1,
908,"908",,151,"",908,908,-1,
911,"911",,154,"",911,911,-1,
912,"912",,155,"",912,912,-1,
913,"913",,156,"",913,913,-1,
915,"915",,157,"",915,915,-1,
917,"917",,159,"",917,917,-1,
918,"918",,160,"",918,918,-1,
919,"919",,161,"",919,919,-1,
920,"920",,162,"",920,920,-1,
921,"921",,163,"",921,921,-1,
922,"922",,164,"",922,922,-1,
923,"923",,165,"",923,923,-1,
924,"924",,166,"",924,924,-1,
925,"925",,167,"",925,925,-1,
926,"926",,168,"",926,926,-1,
927,"927",,169,"",927,927,-1,
928,"929",,171,"",928,928,-1,
929,"928",,170,"",929,929,-1,
930,"930",,172,"",930,930,-1,
932,"932",,174,"",932,932,-1,
933,"933",,175,"",933,933,-1,
935,"935",,176,"",935,935,-1,
945,"945",,177,"",945,945,-1,
