int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20
0,0,0,0,-1,-1,"t0101","t0102","t0103","t0104","t0105","t0106","t0107","t0108","t0109","t0110","t0111","t0121","t0173","t01","last"
1010,0,101,0,6033,6032,"","col_t0101_start_01_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0101_start_05_0
col_t0101_start_06_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1011,0,101,1,-1,-1,"","col_t0101_start_01_0","col_t0102_start_02_0","col_t0101_start_03_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0101_start_05_0
col_t0101_start_06_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1020,0,102,0,6033,6032,"col_t0102_start_00_0","","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1021,0,102,1,3254,3260,"col_t0102_start_00_0","","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1022,0,102,2,-1,-1,"col_t0102_start_00_0","","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1030,0,103,0,6033,6032,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1031,0,103,1,-1,1830,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0105_start_04_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1032,0,103,2,1830,2060,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1033,0,103,3,3254,3279,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1034,0,103,4,1004,1005,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1035,0,103,5,1005,1004,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1036,0,103,6,-1,-1,"col_t0102_start_00_0","col_t0103_start_00_0","","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0102_start_10_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1040,0,104,0,6033,6032,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","","","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","","last"
1041,0,104,1,-1,1830,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
1042,0,104,2,1830,2060,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
1043,0,104,3,1004,1005,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
1044,0,104,4,1005,1004,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
1045,0,104,5,-1,-1,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
1050,0,105,0,-1,-1,"longrun_t0104_start_06_0","run_t0104_start_03_0
run_t0104_start_04_0","col_t0102_start_02_0","col_t0105_start_00_0
col_t0105_start_01_0","col_t0104_start_01_0
run_t0104_start_02_0","run_t0102_start_05_0","col_t0108_start_07_0","col_t0104_start_05_0","map_0001
gim_0010","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0104","last"
1060,0,106,0,6033,6032,"col_t0102_start_00_0","col_t0106_start_00_0","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","","","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
1061,0,106,1,-1,-1,"col_t0102_start_00_0","col_t0106_start_00_0","col_t0102_start_02_0","col_t0102_start_03_0
col_t0102_start_04_0","col_t0104_start_01_0
run_t0104_start_02_0","","col_t0108_start_07_0","col_t0102_start_10_0","col_t0103_start_01_0","col_t0101_start_04_0","col_t0110_start_01_0","col_t0103_start_20_0","","t0101","last"
