int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20,string2 21,string2 22,string2 23,string2 24,string2 25,string2 26,string2 27,string2 28,string2 29,string2 30,string2 31
0,0,0,0,-1,-1,"t01","t02","t03","t04","t30","d10","d11","d12","d13","d14","d01","d02","d03","d04","d05","d06","d07","d08","d09","h02","h03","h04","h05","h06","h08","last"
1000,0,100,0,6901,-1,"","t01","t01","t01","t01","t01","t01","t01","d12","t01","t30","t30","t30","t30","t30","t30","t30","t30","t30","t01","t01","t01","t01","t30","t01","last"
1001,0,100,1,-1,-1,"","t01","t01","t01","t01","t01","t01","t01","d12","t01","d02","d12","d02","d02","d02","d02","d02","d02","t30","t01","t01","t01","t01","t30","t01","last"
2000,0,200,0,6901,-1,"t02","","t02","t02","t02","t02","t02","t02","t02","","t30","t30","t30","t30","t30","t30","t30","t30","t30","t02","t02","t02","t02","t30","t02","last"
2001,0,200,1,-1,-1,"t02","","t02","t02","t02","t02","t02","t02","t02","","d02","d12","d02","d02","t02","d02","d02","d02","t30","t02","t02","t02","t02","t30","t02","last"
3000,0,300,0,6901,-1,"t03","t03","","t03","t03","t03","t03","d11","","d10","t30","t30","t30","t30","t30","t30","t30","t30","t30","t03","t03","t03","t03","t30","t03","last"
3001,0,300,1,-1,-1,"t03","t03","","t03","t03","t03","t03","d11","","d10","d02","d12","d02","d02","d02","d02","d02","d02","t30","t03","t03","t03","t03","t30","t03","last"
4000,0,400,0,6901,-1,"t04","t04","t04","","t04","t04","t04","t04","","","t30","t30","t30","t30","t30","t30","t30","t30","t30","t04","t04","t04","t04","t30","t04","last"
4001,0,400,1,-1,-1,"t04","t04","t04","","t04","t04","t04","t04","","","d02","d12","d02","d02","d02","d02","d02","d02","t30","t04","t04","t04","t04","t30","t04","last"
30000,0,3000,0,-1,-1,"t30","t01","t01","t01","","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","last"
110000,10000,1000,0,-1,-1,"d10","d10","d10","d10","d10","","d10","","d10","d10","d02","d12","d02","d02","d02","d02","d02","d02","t30","d10","d10","d10","d10","t30","d10","last"
111000,10000,1100,0,-1,-1,"d11","d11","d11","d11","d11","d11","","d11","","","d02","d12","d02","d02","d02","d02","d02","d02","t30","d11","d11","d11","d11","t30","d11","last"
112000,10000,1200,0,-1,-1,"t04","d11","d11","d12","d12","d11","d11","","d12","","d02","d12","d12","d02","d12","d02","d02","d02","t30","d12","d12","d12","d12","t30","d12","last"
113000,10000,1300,0,-1,-1,"d12","d12","d12","d12","d13","d12","d12","d13","","","d02","d12","d02","d02","d02","d02","d02","d02","t30","d13","d13","d13","d13","t30","d13","last"
114000,10000,1400,0,-1,-1,"d10","d10","d10","d10","d14","d14","","","","","d02","d12","d02","d02","d02","d14","d02","d02","t30","d14","d14","d14","d14","t30","d14","last"
101000,10000,100,0,-1,-1,"d02","d02","d02","d02","d01","d02","d02","d02","d02","d02","","d01","d01","d01","d01","d01","d01","d01","t30","d01","d01","d01","d01","t30","d01","last"
102000,10000,200,0,-1,-1,"d02","d02","d02","d02","d02","d02","d02","d02","d02","d02","d02","","d02","d02","d02","d02","d02","d02","t30","d02","d02","d02","d02","t30","d02","last"
103000,10000,300,0,-1,-1,"d02","d02","d02","d02","d03","d02","d02","d02","d02","d02","d03","d03","","d03","d03","d03","d03","d03","t30","d03","d03","d03","d03","t30","d03","last"
104000,10000,400,0,-1,-1,"d02","d02","d02","d02","d04","d02","d02","d02","d02","d02","d04","d04","d04","","d04","d04","d04","d04","t30","d04","d04","d04","d04","t30","d04","last"
105000,10000,500,0,-1,-1,"d02","d02","d02","d05","d05","d02","d02","d02","d02","d02","d05","d05","d05","d05","","d05","d05","d05","t30","d05","d05","d05","d05","t30","d05","last"
106000,10000,600,0,-1,-1,"d02","d02","d02","d02","d06","d02","d02","d02","d02","d02","d06","d06","d06","d06","d06","","d06","d06","t30","d06","d06","d06","d06","t30","d06","last"
107000,10000,700,0,-1,-1,"d02","d02","d02","d02","d07","d02","d02","d02","d02","d02","d07","d07","d07","d07","d07","d07","","d07","t30","d07","d07","d07","d07","t30","d07","last"
108000,10000,800,0,-1,-1,"d02","d02","d02","d02","d08","d02","d02","d02","d02","d02","d08","d08","d08","d08","d08","d08","d08","","t30","d08","d08","d08","d08","t30","d08","last"
109000,10000,900,0,-1,-1,"t30","t30","t30","t30","d09","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","","d09","d09","d09","d09","t30","d09","last"
202000,20000,200,0,-1,-1,"h02","d02","d02","d02","h02","d02","h02","d02","d02","d02","d08","d08","d08","d08","d08","d08","d08","","","","","","","","","last"
203000,20000,300,0,-1,-1,"h03","t04","t04","h03","h03","h03","t04","t04","t04","t04","","","","","","","","","","","","","","","","last"
206000,20000,600,0,-1,-1,"t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","t30","","","","","t30","","last"
