int 0,empty 1,empty 2,empty 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20,string2 21
101,"","","",0,109,"Common","","","","","","","","","","","","","","",""
201,"","","",0,109,"Common","","","","","","","","","","","","","","",""
301,"","","",0,109,"Common","","","","","","","","","","","","","","",""
401,"","","",0,109,"Common","","","","","","","","","","","","","","",""
10102,"","","",10000,101,"Common","","","","","","","","","","","","","","",""
10202,"","","",10000,202,"Common","","","","","","","","","","","","","","",""
10302,"","","",10000,302,"Common","","","","","","","","","","","","","","",""
10402,"","","",10000,404,"Common","","","","","","","","","","","","","","",""
10501,"","","",10000,501,"Common","","","","","","","","","","","","","","",""
10502,"","","",10000,506,"Common","","","","","","","","","","","","","","",""
10601,"","","",10000,601,"Common","","","","","","","","","","","","","","",""
10701,"","","",10000,701,"Common","","","","","","","","","","","","","","",""
10901,"","","",10000,900,"P2028_daft_440","","","","","","","","","","","","","","",""
10902,"","","",10000,901,"P2028_daft_441","","","","","","","","","","","","","","",""
10903,"","","",10000,902,"P2028_daft_442","","","","","","","","","","","","","","",""
10904,"","","",10000,903,"P2028_daft_443","","","","","","","","","","","","","","",""
10905,"","","",10000,904,"P2028_daft_444","","","","","","","","","","","","","","",""
10906,"","","",10000,905,"P2028_daft_445","","","","","","","","","","","","","","",""
10907,"","","",10000,906,"P2028_daft_446","","","","","","","","","","","","","","",""
10908,"","","",10000,907,"P2028_daft_447","","","","","","","","","","","","","","",""
11201,"","","",10000,1204,"Common","","","","","","","","","","","","","","",""
