int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10
0,0,0,0,-1,-1,"d0701","d0702","d0703","d07","last"
30000,0,3000,0,-1,-1,"theater_0001","","","d0701","last"
107010,10000,701,0,-1,-1,"","col_d0703_start_01_0","gim_9000","","last"
107020,10000,702,0,-1,-1,"ride_access_07","","col_d0702_start_00_0","","last"
107030,10000,703,0,-1,-1,"ride_access_07","col_d0703_start_01_0","","","last"
101000,10000,100,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
102000,10000,200,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
103000,10000,300,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
104000,10000,400,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
105000,10000,500,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
106000,10000,600,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
110000,10000,1000,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
111000,10000,1100,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
112000,10000,1200,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
113000,10000,1300,0,-1,-1,"acess_icon_01","col_d0703_start_01_0","gim_9000","d0701","last"
