int32 0,empty 1,int32 2,int32 3,empty 4,int32 5,string2 6,string2 7,bool 8,bool 9,bool 10,empty 11,string2 12,int32 13,string2 14,int32 15,string2 16,empty 17
10101,,101,10101,,10101,"PLACE_OPEN_COSMIC_AREA1","PLACE_CLOSE_COSMIC_AREA1",false,true,true,,"gim_0001",1,"d",101,"start_00",
10102,,101,10102,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",102,"start_00",
10103,,101,10103,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",103,"start_00",
10104,,101,10104,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",104,"start_00",
10105,,101,10105,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",105,"start_00",
10106,,101,10106,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",106,"start_00",
10107,,101,10107,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",107,"start_00",
10108,,101,10108,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",108,"start_00",
10109,,101,10109,,10101,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",109,"start_00",
10201,,102,10201,,10201,"PLACE_OPEN_CENTRAL_STREET","PLACE_CLOSE_CENTRAL_STREET",true,false,true,,"gim_0001",1,"d",201,"start_01",
10202,,102,10202,,10202,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",201,"start_01",
10203,,102,10203,,10202,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",201,"start_01",
10204,,102,10204,,10202,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",201,"start_01",
10205,,102,10205,,10202,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0001",1,"d",201,"start_01",
10206,,102,10206,,10206,"PLACE_OPEN_RADIO_TOWER","PLACE_CLOSE_RADIO_TOWER",true,false,true,,"gim_0002",1,"d",206,"start_03",
10207,,102,10207,,10206,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",207,"start_00",
10208,,102,10208,,10206,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",208,"start_00",
10209,,102,10209,,10206,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",209,"start_00",
10210,,102,10210,,10206,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",210,"start_00",
10211,,102,10211,,10211,"PLACE_OPEN_CENTRAL_STREET_B","PLACE_CLOSE_CENTRAL_STREET_B",false,true,true,,"gim_0001",1,"d",201,"start_20",
10212,,102,10212,,10212,"QUEST_M350_CLEAR","PLACE_CLOSE_CENTRAL_STREET_B",false,true,true,,"gim_0004",1,"d",210,"start_02",
10217,,102,10217,,10217,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",210,"start_00",
10301,,103,10301,,10301,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",301,"start_00",
10302,,103,10302,,10302,"PLACE_OPEN_OCEANUS_AREA2","PLACE_CLOSE_OCEANUS_AREA2",true,false,true,,"gim_0002",1,"d",302,"start_03",
10303,,103,10303,,10303,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0004",1,"d",303,"start_00",
10304,,103,10304,,10304,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0003",1,"d",304,"start_00",
10305,,103,10305,,10305,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0003",1,"d",305,"start_00",
10306,,103,10306,,10306,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",306,"start_00",
10308,,103,10308,,10308,"AREA_OPEN_DEBUG","AREA_CLOSE_DEBUG",true,true,true,,"gim_0002",1,"d",308,"start_00",
