int 0,int 1,empty 2,int 3,empty 4,int 5,int 6,int 7,string2 8,empty 9
10100001,101,"",1,"",-1,-1,-1,"",""
10100004,101,"",4,"",-1,-1,-1,"",""
10100007,101,"",7,"",-1,-1,-1,"",""
10100010,101,"",10,"",-1,-1,-1,"",""
10100026,101,"",26,"",-1,-1,-1,"",""
10100002,101,"",2,"",-1,-1,-1,"",""
10100005,101,"",5,"",-1,-1,-1,"",""
10100008,101,"",8,"",-1,-1,-1,"",""
10100011,101,"",11,"",-1,-1,-1,"",""
10100003,101,"",3,"",-1,-1,-1,"FLAG_MAIN_13_175",""
10100006,101,"",6,"",-1,-1,-1,"FLAG_MAIN_13_175",""
10100009,101,"",9,"",-1,-1,-1,"FLAG_MAIN_13_175",""
10100012,101,"",12,"",-1,-1,-1,"FLAG_MAIN_13_175",""
10100030,101,"",30,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100031,101,"",31,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100032,101,"",32,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100033,101,"",33,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100034,101,"",34,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100035,101,"",35,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100036,101,"",36,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100037,101,"",37,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10100029,101,"",29,"",1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
10200002,102,"",2,"",-1,-1,-1,"",""
10200005,102,"",5,"",-1,-1,-1,"",""
10200008,102,"",8,"",-1,-1,-1,"",""
10200011,102,"",11,"",-1,-1,-1,"",""
10200026,102,"",26,"",-1,-1,-1,"",""
10300203,103,"",203,"",-1,-1,-1,"",""
10300210,103,"",210,"",-1,-1,-1,"",""
10300211,103,"",211,"",-1,-1,-1,"",""
10300213,103,"",213,"",-1,-1,-1,"",""
10300222,103,"",222,"",-1,-1,-1,"",""
10300223,103,"",223,"",-1,-1,-1,"",""
11101114,111,"",1114,"",-1,-1,-1,"",""
11101115,111,"",1115,"",-1,-1,-1,"",""
11101116,111,"",1116,"",-1,-1,-1,"",""
11101117,111,"",1117,"",-1,-1,-1,"",""
11101118,111,"",1118,"",-1,-1,-1,"",""
11101091,111,"",1091,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
11101092,111,"",1092,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
11101093,111,"",1093,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
11101094,111,"",1094,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
12130011,121,"",30011,"",-1,-1,-1,"",""
12130041,121,"",30041,"",-1,-1,-1,"",""
12130071,121,"",30071,"",-1,-1,-1,"",""
12130101,121,"",30101,"",-1,-1,-1,"",""
12130161,121,"",30161,"",-1,-1,-1,"",""
12130281,121,"",30281,"",-1,-1,-1,"",""
12130021,121,"",30021,"",-1,-1,-1,"",""
12130051,121,"",30051,"",-1,-1,-1,"",""
12130081,121,"",30081,"",-1,-1,-1,"",""
12130111,121,"",30111,"",-1,-1,-1,"",""
12130171,121,"",30171,"",-1,-1,-1,"",""
12130291,121,"",30291,"",-1,-1,-1,"",""
12130031,121,"",30031,"",-1,-1,-1,"",""
12130061,121,"",30061,"",-1,-1,-1,"",""
12130091,121,"",30091,"",-1,-1,-1,"",""
12130121,121,"",30121,"",-1,-1,-1,"",""
12130181,121,"",30181,"",-1,-1,-1,"",""
12130301,121,"",30301,"",-1,-1,-1,"",""
12131011,121,"",31011,"",-1,-1,-1,"",""
12131041,121,"",31041,"",-1,-1,-1,"",""
12131042,121,"",31042,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
12131061,121,"",31061,"",-1,-1,-1,"FLAG_IS_CLEAR_S095_078",""
