int32 0,empty 1,string2 2,int32 3,empty 4,string2 5,string2 6,int32 7,float 8,int32 9,int32 10,float 11,int32 12,int32 13,int32 14,int32 15,bool 16,int32 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,int32 35,int32 36,int32 37
10011,,"char_HEROINE",0,,"*Heroine","",1,1,0,1,-1,0,0,0,0,false,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
10012,,"char_HEROINE",0,,"*Heroine","",1,1,0,0,-1,0,0,0,0,true,10012,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
10071,,"char_TOUDO",0,,"npc007aa010101","",1,1,0,0,-1,0,0,0,0,true,10071,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
10072,,"char_TOUDO_B",0,,"npc057aa010101","",1,1,0,0,-1,0,0,0,0,true,10072,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
11691,,"char_JUPITERMON_WRATHMODE",977,,"","",2,1,0,2,-1,0,0,0,0,false,11691,,60,1981,976,3565,710,925,535,955,75,50,100,100,100,100,100,,38,0,0
11831,,"char_AEGIOMON",183,,"chr183aa010101","",2,1,0,2,-1,0,0,0,0,false,11831,,1,1040,470,345,310,325,305,340,80,20,130,130,130,130,130,,0,0,0
11832,,"char_AEGIOMON",183,,"chr183aa010101","",2,1,0,2,-1,0,0,0,0,false,11832,,15,1040,470,345,310,325,305,340,80,20,130,130,130,130,130,,0,0,0
11833,,"char_AEGIOMON",183,,"chr183ba010101","ui_chara_icon_1183b",2,1,0,2,-1,0,0,0,0,false,11831,,10,1040,470,345,310,325,305,340,80,20,130,130,130,130,130,,0,0,0
11834,,"char_AEGIOMON",183,,"chr183aa010101","",2,1,0,2,-1,0,0,0,0,false,11833,,10,1040,470,345,310,325,305,340,80,20,130,130,130,130,130,,0,0,0
11841,,"char_AEGIOCHUSMON",184,,"chr184aa010101","",2,1,0,2,-1,0,0,0,0,true,11841,,1,1484,776,985,740,840,670,910,160,30,130,130,130,130,130,,0,0,0
11851,,"char_AEGIOCHUSMON_DARK",184,,"chr185aa010101","",2,1,0,2,-1,0,0,0,0,true,11851,,1,1610,1112,2050,865,880,900,1205,160,30,130,130,130,130,130,,0,0,0
11861,,"char_AEGIOCHUSMON_HOLLY",184,,"chr186aa010101","",2,1,0,2,-1,0,0,0,0,true,11861,,1,1841,1640,540,1330,1700,1655,890,160,30,130,130,130,130,130,,0,0,0
11871,,"char_AEGIOCHUSMON_BLUE",184,,"chr187aa010101","",2,1,0,2,-1,0,0,0,0,true,11871,,1,1918,848,1415,1195,720,575,595,160,30,130,130,130,130,130,,0,0,0
11881,,"char_AEGIOCHUSMON_GREEN",184,,"chr188aa010101","",2,1,0,2,-1,0,0,0,0,true,11881,,1,1946,1152,920,830,1230,985,1330,160,30,130,130,130,130,130,,0,0,0
15631,,"char_ELECMON",563,,"","",2,1,0,2,-1,0,0,0,0,true,15631,,1,9999,9999,360,330,330,330,200,0,0,100,100,100,100,100,,38,11027,11036
20141,,"char_STARMON",14,,"","",2,1,0,2,-1,0,0,0,0,true,20141,,35,9999,9999,1575,300,1265,280,240,0,0,100,100,100,100,100,,38,11027,11036
20411,,"char_PANDAMON",41,,"","",2,1,0,2,-1,0,0,0,0,true,20411,,35,9999,9999,1725,795,1720,680,510,0,0,100,100,100,100,100,,38,11027,11036
20431,,"char_BLACKTAILMON",43,,"","",2,1,0,2,-1,0,0,0,0,true,20431,,22,9999,9999,625,600,840,705,620,0,0,100,100,100,100,100,,38,11027,11042
20501,,"char_AGUMON",50,,"","",2,1,0,2,-1,0,0,0,0,true,20501,,1,9999,9999,460,200,210,180,220,0,0,100,100,100,100,100,,38,11027,11047
20571,,"char_ROSEMON",57,,"","",2,1,0,2,-1,0,0,0,0,true,20571,,60,9999,9999,3820,1690,4075,1800,785,0,0,100,100,100,100,100,,38,11027,11047
20751,,"char_NEPTUNEMON",970,,"","",2,1,0,2,-1,0,0,0,0,true,20751,,50,9999,9999,2055,580,930,830,860,0,0,100,100,100,100,100,,38,11027,11047
20752,,"char_NEPTUNEMON",970,,"","",2,1,0,2,-1,0,0,0,0,true,20752,,60,9999,9999,4660,2035,3495,2059,752,0,0,100,100,100,100,100,,38,11027,11047
20801,,"char_MERCURYMON",971,,"","",2,1,0,2,-1,0,0,0,0,true,20801,,5,9999,9999,1340,670,740,775,665,0,0,100,100,100,100,100,,38,11027,11037
20802,,"char_MERCURYMON",971,,"","",2,1,0,2,-1,0,0,0,0,true,20802,,60,9999,9999,3250,1340,1740,1550,665,0,0,100,100,100,100,100,,38,11027,11037
20803,,"char_MERCURYMON",971,,"","",2,1,0,2,-1,0,0,0,0,true,20803,,60,9999,9999,4232,2149,2716,1876,665,0,0,100,100,100,100,100,,38,11027,11037
20831,,"char_GRIFFOMON",83,,"","",2,1,0,2,-1,0,0,0,0,true,20831,,35,9999,9999,1170,715,1280,875,990,0,0,100,100,100,100,100,,38,11027,11042
20832,,"char_GRIFFOMON",83,,"","",2,1,0,2,-1,0,0,0,0,true,20831,,60,9999,9999,3870,1515,3980,1675,990,0,0,100,100,100,100,100,,38,11027,11042
20861,,"char_SLEIPMON",994,,"","",2,1,0,2,-1,0,0,0,0,true,20861,,60,9999,9999,2475,2310,2780,2370,1835,0,0,100,100,100,100,100,,38,11027,11042
20881,,"char_OMEGAMON",972,,"","",0,1,0,2,-1,0,0,0,0,true,20881,,20,9999,9999,1200,20,1700,150,150,0,0,0,0,0,0,0,,38,11027,11047
20882,,"char_OMEGAMON",972,,"","",0,1,0,2,-1,0,0,0,0,true,20882,,20,9999,9999,1300,670,740,775,665,0,0,100,100,100,100,100,,38,11027,11047
20883,,"char_OMEGAMON",972,,"","",0,1,0,2,-1,0,0,0,0,true,20882,,60,9999,9999,2900,2570,1780,2675,1265,0,0,100,100,100,100,100,,12,11027,11047
20884,,"char_OMEGAMON",972,,"","",0,1,0,2,-1,0,0,0,0,true,20882,,25,9999,9999,1300,670,740,775,665,0,0,100,100,100,100,100,,38,11027,11047
21031,,"char_GANIMON",103,,"","",2,1,0,2,-1,0,0,0,0,true,21031,,30,9999,9999,345,200,180,105,190,0,0,100,100,100,100,100,,38,11027,11036
21141,,"char_V-MON",114,,"","",2,1,0,2,-1,0,0,0,0,true,21141,,1,9999,9999,670,300,140,220,470,0,0,100,100,100,100,100,,38,11027,11047
21261,,"char_DUKEMON",988,,"","",2,1,0,2,-1,0,0,0,0,true,21261,,60,9999,9999,2760,2550,3075,2550,1440,0,0,100,100,100,100,100,,38,11027,11047
21262,,"char_DUKEMON",988,,"","",2,1,0,2,-1,0,0,0,0,true,21262,,60,9999,9999,2760,2550,3075,2550,1440,0,0,100,100,100,100,100,,38,11027,11047
21263,,"char_DUKEMON",988,,"","",2,1,0,2,-1,0,0,0,0,true,21263,,60,9999,9999,2760,2550,3075,2550,1440,0,0,100,100,100,100,100,,38,11027,11047
21331,,"char_WARUSEADRAMON",133,,"","",2,1,0,2,-1,0,0,0,0,true,21331,,55,9999,9999,495,525,1190,615,500,0,0,100,100,100,100,100,,38,11027,11047
21361,,"char_CORONAMON",136,,"","",2,1,0,2,-1,0,0,0,0,true,21361,,15,9999,9999,350,200,250,200,140,0,0,100,100,100,100,100,,38,11027,11047
21391,,"char_LIGHDRAMON",139,,"","",2,1,0,0,-1,0,0,0,0,true,0,,10,9999,9999,690,620,650,610,680,0,0,100,100,100,100,100,,10,11027,11038
21441,,"char_DIGMON",144,,"","",2,1,0,2,-1,0,0,0,0,true,21441,,1,9999,9999,670,300,140,220,470,0,0,100,100,100,100,100,,38,11027,11038
21451,,"char_SABMARIMON",145,,"","",2,1,0,2,-1,0,0,0,0,true,21451,,25,9999,9999,1340,900,980,660,220,0,0,100,100,100,100,100,,38,11027,11031
21452,,"char_SABMARIMON",145,,"","",2,1,0,2,-1,0,0,0,0,true,21452,,35,9999,9999,1340,900,980,660,220,0,0,100,100,100,100,100,,38,11027,11031
21453,,"char_SABMARIMON",145,,"","",2,1,0,2,-1,0,0,0,0,true,21453,,50,9999,9999,1340,900,980,660,220,0,0,100,100,100,100,100,,38,11027,11031
21461,,"char_PEGASMON",146,,"","",2,1,0,2,-1,0,0,0,0,true,21461,,15,9999,9999,245,285,615,465,395,0,0,100,100,100,100,100,,38,11027,11043
21621,,"char_RANAMON",162,,"","",2,1,0,2,-1,0,0,0,0,true,21621,,28,9999,9999,245,285,615,465,395,0,0,100,100,100,100,100,,38,11027,11044
21701,,"char_JUNOMON",170,,"","",2,1,0,2,-1,0,0,0,0,true,21701,,60,9999,9999,3845,595,3845,925,764,0,0,100,100,100,100,100,,38,11027,11028
21702,,"char_JUNOMON",170,,"","",2,1,0,2,-1,0,0,0,0,true,21702,,60,9999,9999,4677,1648,4677,2639,665,0,0,100,100,100,100,100,,38,11027,11028
21721,,"char_VENUSMON",172,,"","",2,1,0,2,-1,0,0,0,0,true,21721,,40,9999,9999,425,715,1730,1290,455,0,0,100,100,100,100,100,,38,11027,11028
21722,,"char_VENUSMON",172,,"","",2,1,0,2,-1,0,0,0,0,true,21722,,40,9999,9999,425,715,1730,1290,455,0,0,100,100,100,100,100,,38,11027,11028
21723,,"char_VENUSMON",172,,"","",2,1,0,2,-1,0,0,0,0,true,21723,,60,9999,9999,2425,1715,3380,2290,455,0,0,100,100,100,100,100,,38,11027,11028
21724,,"char_VENUSMON",172,,"","",2,1,0,2,-1,0,0,0,0,true,21724,,60,9999,9999,2725,1858,4613,3277,455,0,0,100,100,100,100,100,,38,11027,11028
21731,,"char_APOLLOMON",973,,"","",2,1,0,2,-1,0,0,0,0,true,21731,,55,9999,9999,4045,2005,3820,1830,745,0,0,100,100,100,100,100,,36,11027,11047
21732,,"char_APOLLOMON",973,,"","",2,1,0,2,-1,0,0,0,0,true,21732,,60,9999,9999,4045,2005,3820,1830,745,0,0,100,100,100,100,100,,38,11027,11047
21741,,"char_MARSMON",174,,"","",2,1,0,2,-1,0,0,0,0,true,21741,,40,9999,9999,2590,1000,590,915,975,0,0,100,100,100,100,100,,38,11027,11047
21742,,"char_MARSMON",174,,"","",2,1,0,2,-1,0,0,0,0,true,21742,,60,9999,9999,4621,2637,1786,1858,853,0,0,100,100,100,100,100,,38,11027,11047
21761,,"char_CERESMON_BIG",176,,"","",2,1,0,2,-1,0,0,0,0,false,21761,,60,1729,1040,615,1050,770,1050,750,0,0,100,100,100,100,100,,38,11027,11042
21791,,"char_BACCHUSMON",179,,"","",2,1,0,2,-1,0,0,0,0,true,21791,,45,9999,9999,2990,2320,2960,2410,720,0,0,100,100,100,100,100,,38,11027,11047
21792,,"char_BACCHUSMON",179,,"","",2,1,0,2,-1,0,0,0,0,true,21792,,60,9999,9999,4575,2320,3069,2410,720,0,0,100,100,100,100,100,,38,11027,11047
21801,,"char_PLUTOMON",180,,"","",2,1,0,2,-1,0,0,0,0,true,21801,,60,9999,9999,1930,1530,1865,1480,1610,0,0,100,100,100,100,100,,38,11027,11047
21802,,"char_PLUTOMON",180,,"","",2,1,0,2,-1,0,0,0,0,true,21802,,60,9999,9999,4843,2359,3572,1902,708,0,0,100,100,100,100,100,,38,11027,11047
21511,,"char_GABUMON",151,,"","",2,1,0,2,-1,0,0,0,0,true,21511,,1,9999,9999,320,180,390,200,230,0,0,100,100,100,100,100,,38,11027,11036
21811,,"char_MERVAMON",181,,"","",2,1,0,2,-1,0,0,0,0,true,21811,,65,9999,9999,4690,1810,3000,1685,1210,0,0,100,100,100,100,100,,38,11027,11037
21951,,"char_BEELSTARMON",195,,"","",2,1,0,2,-1,0,0,0,0,true,21951,,45,9999,9999,1140,650,1250,760,790,0,0,100,100,100,100,100,,38,11027,11047
22151,,"char_EXAMON",215,,"","",2,1,0,2,-1,0,0,0,0,true,22151,,60,9999,9999,3425,2340,1780,1980,1070,0,0,100,100,100,100,100,,38,11027,11047
