string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"bn01","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e002","l_hair_top",0,"l_hair01",0,"f_hair",0,"l_fr_hair",0,"r_fr_hair",0,"l_f_hair01",0,"r_f_hair01",0,"",0,"",0,"",0
"e004","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e005","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e006","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e007","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e008","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",0,"",0,"",0,"",0
"e012","l_hair_top",0,"l_hair01",0,"f_hair",0,"l_fr_hair",0,"r_fr_hair",0,"l_f_hair01",0,"r_f_hair01",0,"",0,"",0,"",0
"e013","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e018","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e020","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e247","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"e500","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"fn01_01","l_hair_top",0,"l_hair01",0,"f_hair",0,"l_fr_hair",0,"r_fr_hair",0,"l_f_hair01",0,"r_f_hair01",0,"",0,"",0,"",0
"fr01_01","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"ft01_01","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"ft01_02","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"ft02_01","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"ft02_02","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"ft03_01","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
"fw01_01","l_hair_top",1,"l_hair01",1,"f_hair",1,"l_fr_hair",1,"r_fr_hair",1,"l_f_hair01",1,"r_f_hair01",1,"",0,"",0,"",0
