string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"e002","r_f_hair02",0.5,"f_hair02",0.5,"l_f_hair01",0.5,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e003","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e003_01","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e005","r_f_hair02",0,"f_hair02",0,"l_f_hair01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e006","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e012","r_f_hair02",0,"f_hair02",0,"l_f_hair01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e013","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e018","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"e021","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"fn01_01","r_f_hair02",0,"f_hair02",0,"l_f_hair01",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"fr01_01","r_f_hair02",1,"f_hair02",1,"l_f_hair01",0.2,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"fr01_01b","r_f_hair02",1,"f_hair02",1,"l_f_hair01",0.2,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"ft01_01","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"ft01_02","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"ft02_01","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"ft02_02","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"ft03_01","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"fw01_01","r_f_hair02",1,"f_hair02",1,"l_f_hair01",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0
