string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20,string2 21,float 22
"bn01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e002","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e003","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e003_01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e003_selfie","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e004","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e005","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e006","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e007","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e008","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e009","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e010","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e011","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e012","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e013","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e014","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e015","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e017","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e017_end01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e017_in01","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e018","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e019","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e020","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e021","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e023","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e030","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e032","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e033","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e050","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e051","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e052","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e058","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e059","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
"e076","f_hairA01",0,"f_hairB01",0,"f_hairC",0,"f_hairD",0,"b_hairA",0,"b_hairB",0,"l_b_hairA",0,"l_b_hairB",0,"r_b_hairA",0,"r_b_hairB",0,"t_hair",0
"e206","f_hairA01",1,"f_hairB01",1,"f_hairC",1,"f_hairD",1,"b_hairA",0.3,"b_hairB",0,"l_b_hairA",0.3,"l_b_hairB",0,"r_b_hairA",0.3,"r_b_hairB",0,"t_hair",1
