int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7
1,"",731,917,977,733,395,223
2,"",397,210,711,101,33,421
3,"",975,844,107,218,479,944
4,"",377,942,611,735,865,881
5,"",310,622,383,306,865,510
6,"",138,195,925,989,812,891
9,"",28,189,996,702,379,92
10,"",70,135,954,605,408,766
11,"",134,931,614,365,606,837
12,"",595,453,775,942,751,396
13,"",74,743,219,875,234,408
14,"",44,870,13,368,925,751
15,"",231,223,882,391,735,135
16,"",579,577,388,872,975,414
17,"",321,936,364,223,697,394
19,"",888,974,776,466,9,317
20,"",973,78,573,732,213,359
21,"",394,396,61,140,42,420
23,"",214,890,98,428,872,412
24,"",866,344,431,739,56,805
25,"",615,103,731,934,563,69
26,"",130,703,484,186,814,234
27,"",213,995,416,428,682,14
28,"",97,868,428,934,151,602
30,"",707,198,376,3,995,349
31,"",177,597,891,687,74,242
32,"",111,116,85,224,683,30
33,"",325,170,735,491,811,892
34,"",866,224,457,163,186,107
35,"",51,105,34,998,129,374
36,"",938,45,96,387,897,924
37,"",606,514,364,954,466,617
38,"",128,439,760,992,863,622
39,"",183,928,877,758,179,740
40,"",36,458,370,679,59,376
41,"",564,870,701,954,44,405
42,"",87,214,241,393,91,682
43,"",740,135,709,15,413,863
44,"",128,379,14,731,25,699
45,"",971,56,174,744,437,112
46,"",756,936,580,740,738,132
47,"",739,111,871,937,215,345
48,"",962,882,921,844,194,629
49,"",20,391,613,126,968,101
50,"",970,779,90,622,455,55
51,"",223,213,411,374,458,317
52,"",440,682,76,411,145,33
53,"",687,375,30,606,53,390
54,"",812,172,416,981,51,942
55,"",321,972,489,720,884,626
56,"",697,630,699,737,680,385
57,"",9,801,87,915,24,114
58,"",582,974,178,563,37,25
59,"",726,218,20,844,935,680
60,"",51,616,992,400,574,756
61,"",675,242,996,129,887,440
68,"",494,82,144,178,479,569
69,"",145,139,412,169,423,669
70,"",452,814,53,26,100,391
71,"",104,111,722,935,474,189
72,"",373,338,980,836,967,679
73,"",429,809,729,578,311,512
74,"",915,343,970,703,741,894
75,"",938,609,304,402,75,512
76,"",779,24,343,237,734,984
77,"",688,756,395,113,579,978
78,"",325,573,928,943,90,137
79,"",872,347,563,88,215,233
80,"",47,132,213,96,77,577
81,"",607,176,779,580,163,592
82,"",631,981,2,242,188,88
83,"",810,163,706,576,88,963
84,"",457,883,197,83,630,720
85,"",115,303,304,176,28,71
86,"",927,13,600,730,19,111
87,"",748,197,721,227,96,716
88,"",230,737,404,721,918,211
90,"",375,241,378,871,604,576
91,"",976,917,72,342,25,427
92,"",703,183,75,173,727,388
93,"",868,149,932,73,387,411
94,"",409,455,379,515,749,954
95,"",102,699,966,996,607,407
96,"",218,598,230,719,149,580
97,"",881,677,40,76,406,907
98,"",611,814,410,195,801,810
100,"",719,744,133,866,811,564
101,"",17,60,814,919,865,869
102,"",938,930,577,134,911,892
103,"",224,688,906,343,907,426
104,"",834,118,964,363,103,186
105,"",912,811,979,880,938,127
106,"",688,72,42,69,77,983
107,"",512,220,592,995,2,734
111,"",197,346,434,466,168,938
112,"",32,372,626,933,149,759
113,"",128,706,461,895,779,230
114,"",966,983,595,627,72,703
115,"",913,407,87,73,735,957
116,"",711,371,402,873,374,578
117,"",347,53,27,17,198,594
118,"",230,396,978,137,875,377
126,"",50,490,176,873,94,575
127,"",872,996,584,361,210,23
128,"",103,863,137,597,195,611
129,"",346,771,871,578,191,456
130,"",463,371,804,889,440,998
132,"",97,215,992,952,880,919
133,"",751,388,987,104,899,52
134,"",731,512,134,41,235,33
135,"",134,738,935,953,87,719
136,"",188,309,87,458,168,134
137,"",86,887,604,342,773,230
138,"",434,973,703,50,898,19
139,"",342,940,912,914,395,19
140,"",126,23,191,230,626,342
141,"",604,90,412,117,11,579
142,"",921,987,885,163,37,876
144,"",722,148,725,424,224,576
145,"",454,43,809,233,457,308
146,"",992,910,776,610,142,15
147,"",772,364,760,490,800,419
148,"",12,234,907,303,465,162
149,"",147,412,700,466,219,815
150,"",223,974,892,363,171,718
151,"",217,727,35,723,908,954
162,"",138,240,617,321,74,58
163,"",889,868,988,729,577,779
168,"",995,233,416,302,741,171
169,"",184,578,219,126,33,88
170,"",413,492,349,307,968,970
171,"",422,722,709,610,428,742
172,"",450,749,732,402,454,229
173,"",325,813,700,68,380,906
174,"",234,894,925,151,194,100
176,"",24,632,147,388,163,607
177,"",564,960,142,32,326,632
178,"",184,699,400,982,78,141
179,"",38,12,347,170,348,588
180,"",172,83,993,14,20,745
181,"",211,844,576,749,313,958
183,"",582,734,314,705,731,607
184,"",144,40,113,115,367,401
185,"",704,347,732,79,87,437
186,"",688,25,427,417,474,681
187,"",731,316,60,604,871,228
188,"",893,69,405,217,896,919
189,"",998,232,187,239,53,240
190,"",723,878,877,929,986,492
191,"",928,744,38,40,815,144
192,"",935,766,73,56,874,775
193,"",974,932,42,744,345,48
194,"",385,310,118,510,973,97
195,"",5,25,421,310,777,303
196,"",364,877,82,778,515,394
197,"",632,940,881,865,979,94
198,"",377,987,450,588,863,573
199,"",217,47,2,86,237,402
208,"",733,223,413,741,416,597
209,"",176,616,724,147,835,514
210,"",578,306,961,77,697,774
211,"",403,95,725,225,749,98
213,"",23,113,328,71,10,739
214,"",219,967,753,77,408,144
215,"",617,586,101,404,107,958
217,"",349,217,567,548,752,308
218,"",805,876,235,804,117,328
219,"",697,602,915,778,894,573
220,"",750,406,171,933,515,632
222,"",741,242,995,192,364,219
223,"",343,874,623,463,211,579
224,"",800,623,835,232,77,811
225,"",135,958,981,343,491,989
226,"",971,76,882,128,605,420
227,"",9,752,451,836,78,867
228,"",189,615,919,316,136,759
229,"",382,28,424,494,142,998
230,"",697,898,16,774,601,465
231,"",51,889,928,25,454,111
232,"",569,359,344,722,227,910
233,"",31,457,978,137,456,512
234,"",83,397,579,373,396,77
235,"",374,307,965,177,231,239
237,"",964,490,75,943,893,61
239,"",133,801,177,985,77,59
240,"",451,970,129,396,966,177
241,"",703,420,874,998,416,55
242,"",301,874,377,310,630,197
301,"",896,177,916,702,42,83
302,"",36,767,974,186,779,871
303,"",409,737,990,348,953,758
304,"",338,458,992,348,34,756
305,"",213,113,347,30,42,930
306,"",960,972,596,142,590,185
307,"",882,604,976,606,423,886
308,"",745,115,58,376,744,606
309,"",411,925,739,345,837,931
310,"",391,399,455,46,24,775
311,"",88,73,563,397,185,913
312,"",606,679,35,982,81,50
313,"",37,408,427,104,193,626
314,"",885,183,58,866,197,890
315,"",416,392,988,741,198,872
316,"",980,733,240,303,906,810
317,"",775,113,915,211,718,397
320,"",770,965,425,957,917,363
321,"",77,304,53,976,412,145
322,"",989,150,35,385,959,979
325,"",474,421,27,913,21,699
326,"",219,1,395,343,885,389
328,"",31,491,977,802,617,738
338,"",128,383,936,596,413,217
341,"",414,744,367,192,453,940
342,"",760,720,115,632,874,320
343,"",967,515,376,569,44,397
344,"",398,944,866,708,76,951
345,"",315,169,20,965,196,870
346,"",776,233,24,95,33,602
347,"",884,372,361,429,342,306
348,"",46,338,996,223,814,169
349,"",614,178,883,26,306,934
359,"",47,706,316,417,185,320
361,"",118,998,403,805,586,23
363,"",389,724,698,730,188,452
364,"",174,995,917,767,753,759
365,"",197,757,896,304,731,395
367,"",425,777,405,391,77,707
368,"",970,466,138,724,459,580
369,"",72,907,435,680,134,45
370,"",805,484,55,127,397,739
371,"",310,373,937,597,409,756
372,"",85,702,54,512,302,396
373,"",631,95,435,772,102,878
374,"",133,80,306,683,732,870
375,"",914,145,363,103,586,596
376,"",815,683,367,140,23,73
377,"",965,234,728,397,883,701
378,"",729,779,13,490,195,401
379,"",748,978,177,579,19,43
380,"",343,602,226,53,51,723
382,"",97,621,410,118,623,173
383,"",148,61,753,317,800,129
385,"",187,882,614,759,952,394
387,"",605,398,412,987,687,967
388,"",615,85,926,743,163,601
389,"",57,621,466,994,328,457
390,"",913,603,936,596,38,210
391,"",741,940,594,232,678,977
392,"",722,60,607,347,48,184
393,"",427,869,4,976,237,603
394,"",893,307,438,420,220,367
395,"",810,240,139,148,605,918
396,"",107,492,118,933,466,9
397,"",919,688,630,708,237,592
398,"",916,452,228,420,59,398
399,"",801,919,23,721,942,68
400,"",106,973,368,107,397,913
401,"",86,756,732,136,971,927
402,"",811,984,50,225,910,976
403,"",930,338,956,94,880,367
404,"",492,844,308,45,579,731
405,"",26,184,582,709,873,36
406,"",474,174,376,220,753,56
407,"",580,208,627,805,232,382
408,"",749,234,45,967,15,102
409,"",37,145,82,926,46,973
410,"",864,435,997,941,231,71
411,"",402,906,801,977,592,410
412,"",991,427,101,814,977,705
413,"",719,743,601,86,802,453
414,"",453,428,105,723,97,578
416,"",604,176,196,964,613,58
417,"",723,226,457,622,837,396
419,"",60,34,242,579,925,148
420,"",951,210,738,171,172,128
421,"",669,881,149,33,55,135
422,"",43,186,133,33,38,981
423,"",60,130,5,234,13,187
424,"",632,732,687,57,36,604
425,"",70,678,138,958,213,98
426,"",364,479,929,676,917,940
427,"",404,417,422,605,577,918
428,"",885,741,179,2,72,699
429,"",208,874,669,421,435,895
431,"",893,419,174,116,964,435
434,"",935,189,936,474,897,171
435,"",811,815,376,48,871,112
437,"",978,38,69,450,26,225
438,"",87,55,375,181,912,314
439,"",399,976,594,951,737,631
440,"",380,420,111,428,198,347
450,"",6,804,28,725,884,870
451,"",898,767,74,751,406,709
452,"",38,723,403,127,213,749
453,"",348,346,225,184,961,114
454,"",461,343,724,235,704,707
455,"",983,147,972,93,962,627
456,"",574,869,580,308,237,994
457,"",456,228,989,494,868,129
458,"",757,409,951,621,614,837
459,"",451,711,510,580,397,563
461,"",988,186,806,756,563,809
463,"",34,701,37,38,812,375
465,"",757,806,986,380,996,47
466,"",983,614,931,908,815,991
474,"",724,147,105,742,397,416
479,"",428,302,107,864,681,377
484,"",723,388,176,90,718,225
489,"",51,594,977,942,371,815
490,"",744,453,133,141,368,427
491,"",367,494,302,760,802,69
492,"",71,969,811,622,886,228
494,"",189,409,60,307,719,43
510,"",958,198,402,567,920,81
512,"",610,361,913,458,97,680
514,"",23,342,627,399,730,865
515,"",151,592,230,892,404,972
548,"",604,409,361,401,76,933
563,"",804,321,342,960,365,173
564,"",6,36,767,134,116,958
567,"",305,302,943,933,813,429
569,"",725,32,806,242,343,60
573,"",373,745,940,730,978,105
574,"",604,883,397,961,149,104
575,"",889,971,190,210,988,148
576,"",879,49,361,704,320,727
577,"",231,1,749,406,935,965
578,"",614,875,877,33,35,705
579,"",338,404,951,190,454,631
580,"",79,991,756,734,24,5
582,"",115,681,865,390,463,607
584,"",893,98,466,875,973,931
586,"",346,379,391,179,978,935
588,"",102,56,139,801,995,234
590,"",811,479,743,379,325,632
592,"",590,13,4,98,94,128
594,"",133,379,184,837,730,72
595,"",453,879,46,738,729,15
596,"",749,409,194,407,190,392
597,"",9,704,776,378,939,744
598,"",364,623,80,137,347,49
600,"",74,149,328,704,814,956
601,"",753,309,632,999,924,961
602,"",702,942,574,209,991,304
603,"",735,754,616,186,133,984
604,"",895,94,396,128,569,35
605,"",320,670,592,134,209,978
606,"",419,987,703,721,307,106
607,"",382,630,80,326,406,35
609,"",875,233,5,33,731,24
610,"",45,977,76,403,42,913
611,"",390,938,54,383,13,187
613,"",230,54,6,382,325,567
614,"",33,365,379,112,844,629
615,"",126,609,729,914,873,490
616,"",113,387,39,70,701,773
617,"",130,191,930,169,580,168
621,"",920,171,41,682,315,777
622,"",934,484,935,438,735,997
623,"",956,116,15,37,103,567
626,"",411,728,133,213,145,192
627,"",105,883,766,908,456,912
629,"",220,192,230,935,835,403
630,"",772,234,918,3,50,595
631,"",23,759,126,139,78,208
632,"",346,576,718,454,142,515
669,"",474,777,112,616,23,968
670,"",306,380,707,984,369,758
675,"",883,21,421,361,454,97
676,"",985,596,924,49,981,609
677,"",377,877,772,97,778,127
678,"",815,345,189,32,997,363
679,"",5,944,456,596,28,954
680,"",670,376,147,934,308,190
681,"",459,215,993,369,426,454
682,"",885,720,322,739,929,724
683,"",405,186,171,450,969,227
687,"",3,370,169,892,631,104
688,"",421,138,484,990,729,914
697,"",13,677,455,408,75,707
698,"",973,982,777,983,75,754
699,"",588,390,711,440,233,179
700,"",992,407,58,341,958,580
701,"",757,21,993,514,151,217
702,"",365,457,461,76,737,867
703,"",101,876,604,43,928,699
704,"",588,422,701,578,613,813
705,"",682,343,326,111,967,934
706,"",935,927,407,754,39,630
