int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,empty 18,int 19,int 20,int 21,int 22,empty 23,int 24,empty 25,int 26,int 27,empty 28,int 29
1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
2,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
3,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
4,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
5,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
6,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
9,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
10,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
11,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
12,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
13,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
14,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
15,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
16,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
17,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
19,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
20,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
21,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
23,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",91,"",7,365,"",2
24,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
25,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
26,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
27,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
