int 0,int 1,empty 2,int 3,empty 4,int 5,int 6,int 7,int 8,int 9,int 10
1,1,"",934,"",0,-1,-1,-1,-1,-1
2,1,"",372,"",0,-1,-1,-1,-1,-1
3,1,"",132,"",0,-1,-1,-1,-1,-1
4,1,"",58,"",0,-1,-1,-1,-1,-1
5,1,"",187,"",0,-1,-1,-1,-1,-1
6,1,"",997,"",0,-1,-1,-1,-1,-1
7,2,"",222,"",0,-1,-1,-1,-1,-1
8,2,"",873,"",0,-1,-1,-1,-1,-1
9,2,"",992,"",0,-1,-1,-1,-1,-1
10,2,"",602,"",0,-1,-1,-1,-1,-1
11,2,"",398,"",0,-1,-1,-1,-1,-1
12,2,"",392,"",0,-1,-1,-1,-1,-1
13,3,"",233,"",0,-1,-1,-1,-1,-1
14,3,"",79,"",0,-1,-1,-1,-1,-1
15,3,"",574,"",0,-1,-1,-1,-1,-1
16,3,"",138,"",0,-1,-1,-1,-1,-1
17,3,"",302,"",0,-1,-1,-1,-1,-1
18,3,"",405,"",0,-1,-1,-1,-1,-1
19,4,"",50,"",0,-1,-1,-1,-1,-1
20,4,"",10,"",0,-1,-1,-1,-1,-1
21,4,"",235,"",0,-1,-1,-1,-1,-1
22,4,"",346,"",0,-1,-1,-1,-1,-1
23,4,"",577,"",0,-1,-1,-1,-1,-1
24,4,"",138,"",0,-1,-1,-1,-1,-1
25,5,"",76,"",0,-1,-1,-1,-1,-1
26,5,"",173,"",0,-1,-1,-1,-1,-1
27,5,"",306,"",0,-1,-1,-1,-1,-1
28,5,"",225,"",0,-1,-1,-1,-1,-1
29,5,"",484,"",0,-1,-1,-1,-1,-1
30,5,"",877,"",0,-1,-1,-1,-1,-1
31,6,"",140,"",0,-1,-1,-1,-1,-1
32,6,"",101,"",0,-1,-1,-1,-1,-1
33,6,"",361,"",0,-1,-1,-1,-1,-1
34,6,"",365,"",0,-1,-1,-1,-1,-1
35,6,"",779,"",0,-1,-1,-1,-1,-1
36,6,"",105,"",0,-1,-1,-1,-1,-1
37,9,"",936,"",0,-1,-1,-1,-1,-1
38,9,"",61,"",0,-1,-1,-1,-1,-1
39,9,"",749,"",0,-1,-1,-1,-1,-1
40,9,"",144,"",0,-1,-1,-1,-1,-1
41,9,"",578,"",0,-1,-1,-1,-1,-1
42,9,"",627,"",0,-1,-1,-1,-1,-1
43,10,"",609,"",0,-1,-1,-1,-1,-1
44,10,"",687,"",0,-1,-1,-1,-1,-1
45,10,"",56,"",0,-1,-1,-1,-1,-1
46,10,"",996,"",0,-1,-1,-1,-1,-1
47,10,"",72,"",0,-1,-1,-1,-1,-1
48,10,"",322,"",0,-1,-1,-1,-1,-1
49,11,"",87,"",0,-1,-1,-1,-1,-1
50,11,"",489,"",0,-1,-1,-1,-1,-1
51,11,"",569,"",0,-1,-1,-1,-1,-1
52,11,"",41,"",0,-1,-1,-1,-1,-1
53,11,"",676,"",0,-1,-1,-1,-1,-1
54,11,"",595,"",0,-1,-1,-1,-1,-1
55,12,"",13,"",0,-1,-1,-1,-1,-1
56,12,"",98,"",0,-1,-1,-1,-1,-1
57,12,"",879,"",0,-1,-1,-1,-1,-1
58,12,"",237,"",0,-1,-1,-1,-1,-1
59,12,"",989,"",0,-1,-1,-1,-1,-1
60,12,"",458,"",0,-1,-1,-1,-1,-1
61,13,"",422,"",0,-1,-1,-1,-1,-1
62,13,"",406,"",0,-1,-1,-1,-1,-1
63,13,"",15,"",0,-1,-1,-1,-1,-1
64,13,"",16,"",0,-1,-1,-1,-1,-1
65,13,"",698,"",0,-1,-1,-1,-1,-1
66,13,"",627,"",0,-1,-1,-1,-1,-1
67,14,"",758,"",0,-1,-1,-1,-1,-1
68,14,"",57,"",0,-1,-1,-1,-1,-1
69,14,"",397,"",0,-1,-1,-1,-1,-1
70,14,"",189,"",0,-1,-1,-1,-1,-1
71,14,"",310,"",0,-1,-1,-1,-1,-1
72,14,"",47,"",0,-1,-1,-1,-1,-1
73,15,"",218,"",0,-1,-1,-1,-1,-1
74,15,"",241,"",0,-1,-1,-1,-1,-1
