int 0,string2 1,int 2,empty 3
0,"minimap_marker_name_0010",0,""
1,"minimap_marker_name_0020",0,""
2,"minimap_marker_name_0021",0,""
3,"minimap_marker_name_0030",0,""
4,"minimap_marker_name_0031",0,""
5,"minimap_marker_name_0032",0,""
6,"minimap_marker_name_0031",0,""
7,"minimap_marker_name_0040",0,""
8,"minimap_marker_name_0041",0,""
9,"minimap_marker_name_0042",0,""
10,"minimap_marker_name_0043",0,""
11,"minimap_marker_name_0044",0,""
12,"minimap_marker_name_0047",0,""
13,"minimap_marker_name_0045",0,""
14,"minimap_marker_name_0046",0,""
15,"minimap_marker_name_0048",0,""
16,"minimap_marker_name_0050",0,""
17,"minimap_marker_name_0051",0,""
18,"minimap_marker_name_0060",0,""
19,"minimap_marker_name_0070",0,""
20,"minimap_marker_name_0080",0,""
21,"minimap_marker_name_0090",0,""
22,"minimap_marker_name_0100",0,""
23,"minimap_marker_name_0110",0,""
24,"minimap_marker_name_0120",0,""
25,"minimap_marker_name_0130",0,""
26,"minimap_marker_name_0140",0,""
27,"minimap_marker_name_0150",0,""
28,"minimap_marker_name_0160",0,""
29,"minimap_marker_name_0220",0,""
30,"minimap_marker_name_0221",0,""
31,"minimap_marker_name_0230",0,""
32,"minimap_marker_name_0170",0,""
33,"minimap_marker_name_0175",0,""
34,"minimap_marker_name_0180",0,""
35,"minimap_marker_name_0190",0,""
36,"minimap_marker_name_0200",0,""
37,"minimap_marker_name_0210",0,""
