int32 0,string2 1,float 2,float 3,float 4,float 5,float 6,int32 7,int32 8,float 9,float 10,float 11,float 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int32 22,int32 23,int32 24,int32 25,string2 26,string2 27,int32 28
201100,"100",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201101,"101",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201102,"102",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201103,"103",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201104,"104",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201105,"105",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201200,"200",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201201,"201",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201202,"202",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201203,"203",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201204,"204",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201301,"301",2,160,360,2,2,31,2,0,-0.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201302,"302",2,160,360,2,2,29,2,0,-0.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201400,"400",6,360,360,1,1,33,2,-3,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201700,"700",5,160,360,1,1,24,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201800,"800",4,160,360,4,4,2,2,0,-0.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201801,"801",4,160,360,4,4,2,2,0,-0.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201802,"802",4,160,360,4,4,2,2,0,-0.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201803,"803",4,160,360,4,4,2,2,0,-0.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201804,"804",4,160,360,4,4,2,2,0,0,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201805,"805",7,160,360,4,4,2,2,0,-0.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201806,"806",4,160,360,4,4,2,2,0,-0.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201807,"807",4,160,360,4,4,2,2,0,-0.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201808,"808",4,160,360,4,4,2,2,0,-0.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
201809,"809",4,160,360,4,4,2,2,0,0,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
