int32 0,string2 1,float 2,float 3,float 4,float 5,float 6,int32 7,int32 8,float 9,float 10,float 11,float 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int32 22,int32 23,int32 24,int32 25,string2 26,string2 27,int32 28
20701300,"300",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701301,"301",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701311,"311",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701400,"400",2,360,360,1,1,27,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701401,"401",2,360,360,1,1,27,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701500,"500",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701501,"501",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701502,"502",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701503,"503",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701504,"504",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701505,"505",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701506,"506",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20701507,"507",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
