int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
20701300,"",99,"gim_0001",false,"h07disapperwall00",1,0,"h07disappearwallgimmick","","","","",0,0,"",0,0,0,0,0
20701301,"",99,"gim_0002",false,"h07disapperwall00",1,0,"h07disappearwallgimmick","","","","",0,0,"",0,0,0,0,0
20701311,"",99,"gim_0011",false,"h07apperwall00",1,0,"h07wallgimmick","","","","",0,0,"",0,0,0,0,0
20701400,"",99,"change_0001",true,"ef_f_mov_121_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
20701401,"",99,"change_0002",true,"ef_f_mov_121_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
20701500,"",99,"obj_0001",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701501,"",99,"obj_0002",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701502,"",99,"obj_0003",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701503,"",99,"obj_0004",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701504,"",99,"obj_0005",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701505,"",99,"obj_0006",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701506,"",99,"obj_0007",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
20701507,"",99,"obj_0008",false,"h07wall00",1,0,"","","","","",0,0,"",0,0,0,0,0
