int 0,int 1,int 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1070081,-1,1,"rumor001",15,10,10,"r_t0107_0020_0080","",""
1070091,-1,1,"rumor002",15,3.5,2,"r_t0107_0020_0090","",""
1070101,-1,1,"rumor003",15,3.5,2,"r_t0107_0020_0100","",""
1070111,-1,1,"rumor004",15,5,1.5,"r_t0107_0020_0110","",""
1070121,-1,1,"rumor005",15,10,10,"r_t0107_0020_0120","",""
1070131,-1,1,"rumor006",5,10,10,"r_t0107_0020_0130","",""
1070141,-1,1,"rumor007",5,5,1.5,"r_t0107_0020_0140","",""
1070151,-1,1,"rumor008",12,3.5,2,"r_t0107_0020_0150","",""
1070161,-1,1,"rumor009",15,6,1.5,"r_t0107_0020_0160","",""
1070171,-1,1,"rumor010",15,6,1.5,"r_t0107_0020_0170","",""
1070181,-1,1,"rumor011",15,10,10,"r_t0107_0020_0180","",""
1070191,-1,1,"rumor012",15,3.5,2,"r_t0107_0020_0190","",""
1070201,-1,1,"rumor013",15,10,10,"r_t0107_0020_0200","",""
1070211,-1,1,"rumor014",15,10,10,"r_t0107_0020_0210","",""
1070221,-1,1,"rumor015",15,6,2,"r_t0107_0020_0220","",""
1070231,-1,1,"rumor016",15,6,1.2,"r_t0107_0020_0230","",""
1070241,-1,1,"rumor017",15,6,1.2,"r_t0107_0020_0240","",""
1070251,-1,1,"rumor018",15,5,1.2,"r_t0107_0020_0250","",""
1070261,-1,1,"rumor019",15,5.5,1.2,"r_t0107_0020_0260","",""
1070271,-1,1,"rumor020",15,6,1.2,"r_t0107_0020_0270","",""
1070281,-1,1,"rumor021",15,6,1.2,"r_t0107_0020_0280","",""
1070291,-1,1,"rumor022",15,6,1.2,"r_t0107_0020_0290","",""
1070301,-1,1,"rumor023",15,6,1.2,"r_t0107_0020_0300","",""
1070311,-1,1,"rumor024",15,6,1.2,"r_t0107_0020_0310","",""
1070321,-1,1,"rumor025",15,6,1.2,"r_t0107_0020_0320","",""
1070331,-1,1,"rumor026",15,6,1.2,"r_t0107_0020_0330","",""
1070341,-1,1,"rumor027",15,6,1.2,"r_t0107_0020_0340","",""
1070351,-1,1,"rumor028",15,5,1.2,"r_t0107_0020_0350","",""
1070361,-1,1,"rumor029",15,6,1.2,"r_t0107_0020_0360","",""
1070371,-1,1,"rumor030",15,6,1.2,"r_t0107_0020_0370","",""
1070381,-1,1,"rumor031",15,6,1.2,"r_t0107_0020_0380","",""
1070391,-1,1,"rumor032",15,6,1.2,"r_t0107_0020_0390","",""
1070401,-1,1,"rumor033",15,5.5,1.2,"r_t0107_0020_0400","",""
1070411,-1,1,"rumor034",15,5,1.2,"r_t0107_0020_0410","",""
1070421,-1,1,"rumor035",15,6,1.2,"r_t0107_0020_0420","",""
1070431,-1,1,"rumor036",15,6,1.2,"r_t0107_0020_0430","",""
1070441,-1,1,"rumor037",13,6,1.2,"r_t0107_0020_0440","",""
1070451,-1,1,"rumor038",15,6,1.2,"r_t0107_0020_0450","",""
1070461,-1,1,"rumor039",15,6,1.2,"r_t0107_0020_0460","",""
1070471,-1,1,"rumor040",15,6,1.2,"r_t0107_0020_0470","",""
1070481,-1,1,"rumor041",15,6,1.2,"r_t0107_0020_0480","",""
1070491,-1,1,"rumor042",15,6,1.2,"r_t0107_0020_0490","",""
1070501,-1,1,"rumor043",15,5.5,1.2,"r_t0107_0020_0500","",""
1070511,-1,1,"rumor044",15,6,1.2,"r_t0107_0020_0510","",""
1070521,-1,1,"rumor045",15,6,1.2,"r_t0107_0020_0520","",""
1070531,-1,1,"rumor046",15,6,1.2,"r_t0107_0020_0530","",""
1070541,-1,1,"rumor047",15,6,1.2,"r_t0107_0020_0540","",""
1070551,-1,1,"rumor048",15,6,1.2,"r_t0107_0020_0550","",""
1070561,-1,1,"rumor049",15,6,1.2,"r_t0107_0020_0560","",""
1070571,-1,1,"rumor050",15,6,1.2,"r_t0107_0020_0570","",""
1070581,-1,1,"rumor051",15,6,1.2,"r_t0107_0020_0580","",""
1070591,-1,1,"rumor052",15,6,1.2,"r_t0107_0020_0590","",""
1070601,-1,1,"rumor053",15,6,1.2,"r_t0107_0020_0600","",""
1070611,-1,1,"rumor054",15,6,1.2,"r_t0107_0020_0610","",""
