int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,18,10,9,8,7,7,6
3,18,10,9,8,7,7,6
4,18,10,9,8,7,7,6
5,18,10,9,8,7,7,6
6,18,10,9,8,7,7,6
7,18,10,9,8,7,7,6
8,18,10,9,8,7,7,6
9,18,10,9,8,7,7,6
10,18,10,9,8,7,7,6
11,18,10,9,8,7,7,6
12,18,10,9,8,7,7,6
13,18,10,9,8,7,7,6
14,18,10,9,8,7,7,6
15,18,10,9,8,7,7,6
16,18,10,9,8,7,7,6
17,18,10,9,8,7,7,6
18,18,10,9,8,7,7,6
19,18,10,9,8,7,7,6
20,18,10,9,8,7,7,6
21,18,10,9,8,7,7,6
22,18,10,9,8,7,7,6
23,18,10,9,8,7,7,6
24,18,10,9,8,7,7,6
25,18,10,9,8,7,7,6
26,18,10,9,8,7,7,6
27,18,10,9,8,7,7,6
28,18,10,9,8,7,7,6
29,18,10,9,8,7,7,6
30,18,10,9,8,7,7,6
31,18,10,9,8,7,7,6
32,18,10,9,8,7,7,6
33,18,10,9,8,7,7,6
34,18,10,9,8,7,7,6
35,18,10,9,8,7,7,6
36,18,10,9,8,7,7,6
37,18,10,9,8,7,7,6
38,18,10,9,8,7,7,6
39,18,10,9,8,7,7,6
40,18,10,9,8,7,7,6
41,18,10,9,8,7,7,6
42,18,10,9,8,7,7,6
43,18,10,9,8,7,7,6
44,18,10,9,8,7,7,6
45,18,10,9,8,7,7,6
46,18,10,9,8,7,7,6
47,18,10,9,8,7,7,6
48,18,10,9,8,7,7,6
49,18,10,9,8,7,7,6
50,18,10,9,8,7,7,6
51,18,11,10,8,8,7,6
52,18,11,10,8,8,7,6
53,18,11,10,8,8,7,6
54,18,11,10,8,8,7,6
55,18,11,10,8,8,7,6
56,18,11,10,8,8,7,6
57,18,11,10,8,8,7,6
58,18,11,10,8,8,7,6
59,18,11,10,8,8,7,6
60,18,11,10,8,8,7,6
61,18,11,10,8,8,7,6
62,18,11,10,8,8,7,6
63,18,11,10,8,8,7,6
64,18,11,10,8,8,7,6
65,18,11,10,8,8,7,6
66,18,11,10,8,8,7,6
67,18,11,10,8,8,7,6
68,18,11,10,8,8,7,6
69,18,11,10,8,8,7,6
70,18,11,10,8,8,7,6
71,7,5,4,3,3,3,2
72,7,5,4,3,3,3,2
73,7,5,4,3,3,3,2
74,7,5,4,3,3,3,2
75,7,5,4,3,3,3,2
76,7,5,4,3,3,3,2
77,7,5,4,3,3,3,2
78,7,5,4,3,3,3,2
79,7,5,4,3,3,3,2
80,7,5,4,3,3,3,2
81,7,5,4,3,3,3,2
82,7,5,4,3,3,3,2
83,7,5,4,3,3,3,2
84,7,5,4,3,3,3,2
85,7,5,4,3,3,3,2
86,7,5,4,3,3,3,2
87,7,5,4,3,3,3,2
88,7,5,4,3,3,3,2
89,7,5,4,3,3,3,2
90,7,5,4,3,3,3,2
91,7,5,4,3,3,3,2
92,7,5,4,3,3,3,2
93,7,5,4,3,3,3,2
94,7,5,4,3,3,3,2
95,7,5,4,3,3,3,2
96,7,5,4,3,3,3,2
97,7,5,4,3,3,3,2
98,7,5,4,3,3,3,2
99,7,5,4,3,3,3,2
