int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,34,27,14,13,19,14,16
3,34,27,14,13,19,14,16
4,34,27,14,13,19,14,16
5,34,27,14,13,19,14,16
6,34,27,14,13,19,14,16
7,34,27,14,13,19,14,16
8,34,27,14,13,19,14,16
9,34,27,14,13,19,14,16
10,34,27,14,13,19,14,16
11,34,27,14,13,19,14,16
12,34,27,14,13,19,14,16
13,34,27,14,13,19,14,16
14,34,27,14,13,19,14,16
15,34,27,14,13,19,14,16
16,34,27,14,13,19,14,16
17,34,27,14,13,19,14,16
18,34,27,14,13,19,14,16
19,34,27,14,13,19,14,16
20,34,27,14,13,19,14,16
21,7,6,4,3,5,3,3
22,7,6,4,3,5,3,3
23,7,6,4,3,5,3,3
24,7,6,4,3,5,3,3
25,7,6,4,3,5,3,3
26,7,6,4,3,5,3,3
27,7,6,4,3,5,3,3
28,7,6,4,3,5,3,3
29,7,6,4,3,5,3,3
30,7,6,4,3,5,3,3
31,7,6,4,3,5,3,3
32,7,6,4,3,5,3,3
33,7,6,4,3,5,3,3
34,7,6,4,3,5,3,3
35,7,6,4,3,5,3,3
36,7,6,4,3,5,3,3
37,7,6,4,3,5,3,3
38,7,6,4,3,5,3,3
39,7,6,4,3,5,3,3
40,7,6,4,3,5,3,3
41,7,6,4,3,5,3,3
42,7,6,4,3,5,3,3
43,7,6,4,3,5,3,3
44,7,6,4,3,5,3,3
45,7,6,4,3,5,3,3
46,7,6,4,3,5,3,3
47,7,6,4,3,5,3,3
48,7,6,4,3,5,3,3
49,7,6,4,3,5,3,3
50,7,6,4,3,5,3,3
51,7,6,4,3,5,3,3
52,7,6,4,3,5,3,3
53,7,6,4,3,5,3,3
54,7,6,4,3,5,3,3
55,7,6,4,3,5,3,3
56,7,6,4,3,5,3,3
57,7,6,4,3,5,3,3
58,7,6,4,3,5,3,3
59,7,6,4,3,5,3,3
60,7,6,4,3,5,3,3
61,7,6,4,3,5,3,3
62,7,6,4,3,5,3,3
63,7,6,4,3,5,3,3
64,7,6,4,3,5,3,3
65,7,6,4,3,5,3,3
66,7,6,4,3,5,3,3
67,7,6,4,3,5,3,3
68,7,6,4,3,5,3,3
69,7,6,4,3,5,3,3
70,7,6,4,3,5,3,3
71,7,6,3,2,4,2,3
72,7,6,3,2,4,2,3
73,7,6,3,2,4,2,3
74,7,6,3,2,4,2,3
75,7,6,3,2,4,2,3
76,7,6,3,2,4,2,3
77,7,6,3,2,4,2,3
78,7,6,3,2,4,2,3
79,7,6,3,2,4,2,3
80,7,6,3,2,4,2,3
81,7,6,3,2,4,2,3
82,7,6,3,2,4,2,3
83,7,6,3,2,4,2,3
84,7,6,3,2,4,2,3
85,7,6,3,2,4,2,3
86,7,6,3,2,4,2,3
87,7,6,3,2,4,2,3
88,7,6,3,2,4,2,3
89,7,6,3,2,4,2,3
90,7,6,3,2,4,2,3
91,7,6,3,2,4,2,3
92,7,6,3,2,4,2,3
93,7,6,3,2,4,2,3
94,7,6,3,2,4,2,3
95,7,6,3,2,4,2,3
96,7,6,3,2,4,2,3
97,7,6,3,2,4,2,3
98,7,6,3,2,4,2,3
99,7,6,3,2,4,2,3
