int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,19,10,10,7,7,6,7
3,19,10,10,7,7,6,7
4,19,10,10,7,7,6,7
5,19,10,10,7,7,6,7
6,19,10,10,7,7,6,7
7,19,10,10,7,7,6,7
8,19,10,10,7,7,6,7
9,19,10,10,7,7,6,7
10,19,10,10,7,7,6,7
11,19,10,10,7,7,6,7
12,19,10,10,7,7,6,7
13,19,10,10,7,7,6,7
14,19,10,10,7,7,6,7
15,19,10,10,7,7,6,7
16,19,10,10,7,7,6,7
17,19,10,10,7,7,6,7
18,19,10,10,7,7,6,7
19,19,10,10,7,7,6,7
20,19,10,10,7,7,6,7
21,19,10,10,7,7,6,7
22,19,10,10,7,7,6,7
23,19,10,10,7,7,6,7
24,19,10,10,7,7,6,7
25,19,10,10,7,7,6,7
26,19,10,10,7,7,6,7
27,19,10,10,7,7,6,7
28,19,10,10,7,7,6,7
29,19,10,10,7,7,6,7
30,19,10,10,7,7,6,7
31,19,10,10,7,7,6,7
32,19,10,10,7,7,6,7
33,19,10,10,7,7,6,7
34,19,10,10,7,7,6,7
35,19,10,10,7,7,6,7
36,19,10,10,7,7,6,7
37,19,10,10,7,7,6,7
38,19,10,10,7,7,6,7
39,19,10,10,7,7,6,7
40,19,10,10,7,7,6,7
41,19,10,10,7,7,6,7
42,19,10,10,7,7,6,7
43,19,10,10,7,7,6,7
44,19,10,10,7,7,6,7
45,19,10,10,7,7,6,7
46,19,10,10,7,7,6,7
47,19,10,10,7,7,6,7
48,19,10,10,7,7,6,7
49,19,10,10,7,7,6,7
50,19,10,10,7,7,6,7
51,18,11,11,7,8,6,7
52,18,11,11,7,8,6,7
53,18,11,11,7,8,6,7
54,18,11,11,7,8,6,7
55,18,11,11,7,8,6,7
56,18,11,11,7,8,6,7
57,18,11,11,7,8,6,7
58,18,11,11,7,8,6,7
59,18,11,11,7,8,6,7
60,18,11,11,7,8,6,7
61,18,11,11,7,8,6,7
62,18,11,11,7,8,6,7
63,18,11,11,7,8,6,7
64,18,11,11,7,8,6,7
65,18,11,11,7,8,6,7
66,18,11,11,7,8,6,7
67,18,11,11,7,8,6,7
68,18,11,11,7,8,6,7
69,18,11,11,7,8,6,7
70,18,11,11,7,8,6,7
71,7,5,4,2,3,2,3
72,7,5,4,2,3,2,3
73,7,5,4,2,3,2,3
74,7,5,4,2,3,2,3
75,7,5,4,2,3,2,3
76,7,5,4,2,3,2,3
77,7,5,4,2,3,2,3
78,7,5,4,2,3,2,3
79,7,5,4,2,3,2,3
80,7,5,4,2,3,2,3
81,7,5,4,2,3,2,3
82,7,5,4,2,3,2,3
83,7,5,4,2,3,2,3
84,7,5,4,2,3,2,3
85,7,5,4,2,3,2,3
86,7,5,4,2,3,2,3
87,7,5,4,2,3,2,3
88,7,5,4,2,3,2,3
89,7,5,4,2,3,2,3
90,7,5,4,2,3,2,3
91,7,5,4,2,3,2,3
92,7,5,4,2,3,2,3
93,7,5,4,2,3,2,3
94,7,5,4,2,3,2,3
95,7,5,4,2,3,2,3
96,7,5,4,2,3,2,3
97,7,5,4,2,3,2,3
98,7,5,4,2,3,2,3
99,7,5,4,2,3,2,3
