string2 0,empty 1,int 2,int 3,int 4,float 5,float 6,float 7,int 8,float 9,float 10,float 11,int 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,int 20,int 21,float 22,float 23,float 24,int 25,float 26,float 27,float 28,int 29,float 30,float 31,float 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,string2 45,int 46,int 47,int 48
"StrongEnemies","",0,0,0,0,0,0,0,1,0,0,1,1,0.0784314,0.576471,10,2,0,1,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0.5,10,2,0,2,0,0,0,0,0,0,0,0,"StrongEnemies",1,0,0
"EqualEnemies","",0,0,0,0,0,0,0,0,1,1,1,0.960784,0.827451,0,10,2,0,1,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,10,2,0,2,0,0,0,0,0,0,0,0,"EqualEnemies",2,0,0
"InferiorEnemy","",0,0,0,0,0,0,0,0,0,1,1,0.262745,0.0901961,0.964706,10,2,0,1,0,0,0,0,0,0,0,0,1,1,0.5,0.5,0.5,10,2,0,2,0,0,0,0,0,0,0,0,"InferiorEnemy",3,0,0
"DestructibleObjects","",0,0,0,0,0,0,0,0,0,0,1,0.04,0.95,0.7,10,5,0,2,0,0,0,0,0,0,0,0,0,1,0.04,0.95,0.7,1,0.5,0,1,0,0,0,0,0,0,0,0,"DestructibleObjects",4,0,0
"IndestructibleObjects","",0,0,0,0,0,0,0,0,0,0,1,0.04,0.95,0.7,10,5,0,2,0,0,0,0,0,0,0,0,0,1,0.04,0.95,0.7,1,0.5,0,1,0,0,0,0,0,0,0,0,"IndestructibleObjects",4,0,0
"PopPoint","",0,0,0,0,0,0,0,0,0,0,1,0.1,0.25,1,1,0.75,0,1,0,0,0,0,0,0,0,0,0,1,0.1,0.25,1,1,0.75,0,1,2,0.1,0.25,1,1,0.75,0,1,"PopPoint",0,5,0
"TreasureChest","",0,0,0,0,0,0,0,0,0,0,1,0.3,0.2,0.5,1,0.75,0,1,0,0,0,0,0,0,0,0,0,1,0.3,0.2,0.5,1,0.75,0,1,2,0.3,0.2,0.5,1,0.75,0,1,"TreasureChest",0,5,0
"Follower","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
"Nameless","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
"NamedCharacter","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0
"ImportantTreasureChest","",0,0,0,0,0,0,0,0,0,0,1,0.3,0.2,0.5,1,0.75,0,1,0,0,0,0,0,0,0,0,0,1,0.3,0.2,0.5,1,0.75,0,1,2,0.3,0.2,0.5,1,0.75,0,1,"ImportantTreasureChest",0,0,0
"HazamaBox","",0,0,0,0,0,0,0,0,0,0,1,0.3,0.2,0.5,1,0.75,0,1,0,0,0,0,0,0,0,0,0,1,0.3,0.2,0.5,1,0.75,0,1,2,0.3,0.2,0.5,1,0.75,0,1,"HazamaBox",0,0,0
"ShiningItems","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ShiningItems",0,0,0
"NarrowSpace","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NarrowSpace",0,0,0
"NarrowDungeon","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NarrowDungeon",0,0,0
"DigimonRidePoint","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,7
"InvisibleObjects","",0,0,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,10,10,0,1,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,1,1,0,1,0,0,0,0,0,0,0,0,"",0,0,0
