int 0,empty 1,string2 2,string2 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,empty 18,bool 19,bool 20,bool 21,bool 22,bool 23,bool 24,bool 25,bool 26,bool 27,bool 28,bool 29,bool 30,bool 31,bool 32,bool 33,bool 34,bool 35,bool 36,bool 37,bool 38,bool 39,bool 40,bool 41,bool 42,bool 43,bool 44,bool 45,bool 46,bool 47,bool 48,bool 49,bool 50,int 51,bool 52,bool 53,bool 54,bool 55,bool 56,bool 57,bool 58,bool 59,bool 60,int 61,int 62,int 63,int 64,int 65,int 66,int 67,int 68,int 69,int 70,int 71,int 72,empty 73,int 74,int 75,empty 76,int 77,int 78,empty 79,int 80,int 81,empty 82,int 83,int 84,empty 85,int 86,int 87,empty 88,int 89,int 90,empty 91,int 92,int 93,empty 94,int 95,int 96,empty 97,int 98,int 99,empty 100,int 101,int 102,empty 103,int 104,int 105,empty 106,int 107,int 108,empty 109,int 110,int 111,empty 112,int 113,int 114,empty 115,int 116,int 117,empty 118,int 119,int 120,int 121,int 122,float 123,bool 124,bool 125,int 126,empty 127,int 128,int 129,int 130,int 131,int 132,int 133,int 134,int 135
1,"","char_EX-TYRANOMON","chr001",5,0,0,0,1,0,0,3,3,0,0,1,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,99,1617,848,570,740,620,740,425,16,23011,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,23761,"",2,27352,"",20,21511,"",30,21111,"",40,2,2,6,0,1,0,20011,"",235,103,149,202,1,-1,0,-1
2,"","char_LUNAMON","chr002",3,0,1,0,1,0,3,0,0,1,3,0,0,3,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,489,368,150,160,305,275,210,4,23991,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,23221,"",2,22321,"",10,0,"",0,0,"",1,1,3,2,0,1,0,20021,"",223,196,211,57,2,-1,0,-1
3,"","char_LEKISMON","chr003",4,0,1,0,1,3,3,0,0,1,0,0,0,0,"",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,623,520,225,175,315,235,400,10,27471,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,25901,"",2,27422,"",15,30022,"",25,0,"",1,2,3,4,0,1,0,20031,"",225,203,209,137,3,-1,0,-1
4,"","char_CRESCEMON","chr004",5,0,1,0,1,0,3,0,0,1,1,0,0,3,"",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,99,944,784,605,505,1050,660,665,4,20731,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,20462,"",2,20492,"",20,27371,"",30,24892,"",40,2,3,4,0,1,0,20041,"",222,196,196,237,4,-1,0,-1
5,"","char_GOLEMON","chr005",4,0,2,1,3,0,0,0,1,0,4,0,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,99,1169,344,290,370,145,265,125,13,32211,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,23021,"",2,24502,"",15,23721,"",25,0,"",1,2,2,8,0,1,0,20051,"",177,165,93,151,5,-1,0,-1
6,"","char_SKULLSATAMON","chr006",5,0,2,0,1,0,0,0,0,0,0,3,1,3,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,99,1169,592,815,613,920,820,575,4,23831,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27101,"",2,20171,"",20,23152,"",30,30332,"",40,2,2,3,0,1,0,20061,"",26,26,26,279,6,-1,0,-1
9,"","char_HAGURUMON","chr009",3,0,2,0,3,1,0,0,0,1,0,3,0,0,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,99,609,336,120,260,175,210,175,13,24031,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,20161,"",2,23461,"",10,0,"",0,0,"",1,1,1,7,0,1,0,20091,"",182,149,76,71,9,-1,0,-1
10,"","char_MERAMON","chr010",4,0,1,0,4,2,1,0,3,0,0,0,0,0,"",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,99,756,264,375,275,250,285,250,1,32181,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,25691,"",2,20362,"",15,24891,"",25,0,"",1,2,2,3,0,1,0,20101,"",245,169,30,135,10,-1,0,-1
11,"","char_AIRDRAMON","chr011",4,0,0,0,0,0,1,0,3,0,3,1,0,0,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,99,637,328,315,210,295,245,345,7,21042,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27181,"",2,30334,"",15,27762,"",25,0,"",1,2,2,8,0,1,0,20111,"",74,131,137,83,11,-1,0,-1
12,"","char_GARURUMON","chr012",4,0,0,0,3,0,3,0,1,1,0,0,0,0,"",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,99,623,480,250,225,280,245,375,10,27341,"",1,0,"",2,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,0,"",3,27451,"",2,30336,"",15,30312,"",25,0,"",1,2,2,3,0,1,0,20121,"",83,102,161,87,12,-1,0,-1
