int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
10609001,"",-1,"Grankuwaga","fa_obj",false,"chr948",1,0,"","","","f000","",0,0,-182.039,-0.875,0,90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,2.5,7,-1,2,4,15,5,5,0,3,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_001","1",-1
10609100,"",-1,"trap01","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,151.4,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_002","1",-1
10609101,"",-1,"trap02","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,128.5,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_003","1",-1
10609102,"",-1,"trap03","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,105.58,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_004","1",-1
10609103,"",-1,"trap04","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,82.69,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_005","1",-1
10609104,"",-1,"trap05","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,59.75,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_006","1",-1
10609105,"",-1,"trap06","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,36.81,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_007","1",-1
10609106,"",-1,"trap07","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,13.91,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_008","1",-1
10609107,"",-1,"trap08","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,-9.01,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_009","1",-1
10609108,"",-1,"trap09","fa_obj_tarap",false,"d0609trap00",1,0,"","","","","",0,0,-31.92,-0.41,-1.56,0,-16.1,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,2,4,7,5,5,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D0609_010","1",-1
