int 0,string2 1,string2 2,string2 3,float 4,string2 5,int 6,int 7,string2 8,string2 9,float 10,int 11,int 12,string2 13,string2 14,float 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31
0,"f00treasure03","","e001",10,"e002",0,101009,"","",0,1,-1,"","fg07_m02",10,1,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
1,"f00treasure03","","e001",10,"e002",0,101009,"","",0,1,-1,"","fg07_m02",10,1,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
2,"f00treasure03","","e001",10,"e002",0,101009,"","",0,1,-1,"","fg07_m02",10,1,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
3,"f00treasure03","","e001",10,"e002",0,101009,"","",0,1,-1,"","fg07_m02",10,1,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
4,"h00treasure00","","e001",10,"",1,101009,"","",0,1,-1,"","fg07_m02",10,0,1.2,2,160,360,2,2,0,1,0,0,0,0,0,0,0
5,"f00treasure03","","e001",10,"e002",0,101009,"","",0,1,-1,"","fg07_m02",10,1,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
10,"","","",-1,"",0,-1,"ef_f_com_110_it","ef_f_tre_120_ge",20,1,101009,"","fg07_d03",-1,0,1.2,2,360,360,2,2,0,0.5,0,0,0,0,0,0,0
11,"","","",-1,"",0,-1,"ef_f_com_110_it","ef_f_tre_120_ge",0,1,101009,"","",-1,-1,-1,2,360,360,2,2,0,0.5,0,0,0,0,0,0,0
12,"","","",-1,"",0,-1,"ef_f_com_110_it","ef_f_tre_120_ge",20,1,101009,"","fg07_u01",-1,0,1.2,2,360,360,2,2,0,0.5,0,0,0,0,0,0,0
13,"","","",-1,"",0,-1,"ef_f_com_110_it","ef_f_tre_120_ge",20,1,101009,"","fg07_m01",-1,0,1.2,2,360,360,2,2,0,0.5,0,0,0,0,0,0,0
14,"","","",-1,"",0,-1,"ef_f_com_110_it","ef_f_tre_120_ge",20,1,101009,"","fg07_m02",-1,0,1.2,2,360,360,2,2,0,0.5,0,0,0,0,0,0,0
20,"f00pop00","","e001",20,"e002",0,101010,"","",20,1,-1,"","fg07_m01",20,0,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
21,"f00pop00","","e001",20,"e002",0,101010,"","",20,1,-1,"","fg07_m01",20,0,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
22,"h00pop00","","e001",20,"e002",0,101010,"","",0,1,-1,"","fg07_m01",20,0,1.2,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
910,"d01pop00","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
911,"d01pop01","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
912,"d01pop02","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
920,"d02pop00","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_m02",10,0,0.75,2.1,160,360,2,2,0,1.2,0,0,0,0,0,0,0
921,"d02pop01","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_m02",10,0,0.75,2.1,160,360,2,2,0,1.2,0,0,0,0,0,0,0
930,"d03pop00","","",10,"e001",0,101010,"","",0.1,1,-1,"","fg07_d01",10,0,0.75,2,160,360,2,2,0,0.5,0,0,0,0,0,0,0
