int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1020601,"","chr028",0,0,"","","fe02","",0,0,3,1,1,-14.093,2.254,-6.721,0.245,0,0,2,0,10,10,0,-1,"","",""
1020602,"","chr412",0,0,"","","fe02","",0,0,99,4,4,-20.107,1.99,-16.562,-328.624,0,0,1,1,0,15,0,-1,"","",""
1020603,"","chr412",0,0,"","","fq02","",0,0,2,3,3,28.461,0,8.513,-82.724,0,0,1,1,6,10,0,-1,"","",""
1020604,"","chr708",0,0,"","","fq02","",0,0,2,4,4,25.783,0,8.17,74.391,0,0,1,1,6,15,0,-1,"","",""
1020605,"","chr412",0,0,"","","fe02","",0,0,-1,5,5,11.732,0,-6.292,-147.426,0,0,1,1,6,16,0.5,-1,"","",""
1020606,"","chr708",0,0,"","","bn01","",0,0,2,6,6,9.125,4.628,-9.508,-177.785,-20,0,1,1,6,17,0,-1,"","",""
1020607,"","chr412",0,0,"","","fe02","",0,0,3,7,7,28.461,0,8.513,-82.724,0,0,1,1,6,10,0,-1,"","",""
1020608,"","chr708",0,0,"","","fe04","",0,0,3,8,8,25.783,0,8.17,74.391,0,0,1,1,6,15,0,-1,"","",""
1020609,"","chr708",0,0,"","","fe03","",0,0,3,9,9,8.682,4.664,-9.54,-10.57,20,0,1,1,6,17,0,-1,"","",""
1020610,"","chr028",0,0,"","","fe04","",0,0,2,10,10,-14.093,2.254,-6.721,0.245,0,0,2,0,10,10,0,-1,"","",""
