int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
11402001,"",-1,"change_0001",0,"d14elvdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402002,"",-1,"gim_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402003,"",-1,"gim_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402004,"",-1,"sp_0004",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402005,"",-1,"gim_0003",0,"d1402switchboard00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402100,"",-1,"obj_0001",0,"d1402elvlamp00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402101,"",-1,"obj_0002",0,"d1402breakdebris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11402102,"",-1,"obj_0003",0,"d1402breakdebris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11402103,"",-1,"obj_0004",0,"d1402breakdebris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11402104,"",-1,"obj_0005",0,"d1402breakdebris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11402208,"",-1,"fa_0009",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11402900,"",-1,"gim_9000",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
