int32 0,int32 1,int32 2,empty 3,empty 4,empty 5,empty 6
1,1,10001,,,,
2,2,10002,,,,
3,3,10003,,,,
4,4,10004,,,,
5,5,10005,,,,
6,6,10006,,,,
9,9,10009,,,,
10,10,10010,,,,
11,11,10011,,,,
12,12,10012,,,,
13,13,10013,,,,
14,14,10014,,,,
15,15,10015,,,,
16,16,10016,,,,
17,17,10017,,,,
19,19,10019,,,,
20,20,10020,,,,
21,21,10021,,,,
23,23,10023,,,,
24,24,10024,,,,
25,25,10025,,,,
26,26,10026,,,,
27,27,10027,,,,
28,28,10028,,,,
30,30,10030,,,,
31,31,10031,,,,
32,32,10032,,,,
33,33,10033,,,,
34,34,10034,,,,
35,35,10035,,,,
36,36,10036,,,,
37,37,10037,,,,
38,38,10038,,,,
39,39,10039,,,,
40,40,10040,,,,
41,41,10041,,,,
42,42,10042,,,,
43,43,10043,,,,
44,44,10044,,,,
45,45,10045,,,,
46,46,10046,,,,
47,47,10047,,,,
48,48,10048,,,,
49,49,10049,,,,
50,50,10050,,,,
51,51,10051,,,,
52,52,10052,,,,
53,53,10053,,,,
54,54,10054,,,,
55,55,10055,,,,
56,56,10056,,,,
57,57,10057,,,,
58,58,10058,,,,
59,59,10059,,,,
60,60,10060,,,,
61,61,10061,,,,
68,68,10068,,,,
69,69,10069,,,,
70,70,10070,,,,
71,71,10071,,,,
72,72,10072,,,,
73,73,10073,,,,
74,74,10074,,,,
75,75,10075,,,,
76,76,10076,,,,
77,77,10077,,,,
78,78,10078,,,,
79,79,10079,,,,
80,80,10080,,,,
81,81,10081,,,,
82,82,10082,,,,
83,83,10083,,,,
84,84,10084,,,,
85,85,10085,,,,
86,86,10086,,,,
87,87,10087,,,,
88,88,10088,,,,
90,90,10090,,,,
91,91,10091,,,,
92,92,10092,,,,
93,93,10093,,,,
94,94,10094,,,,
95,95,10095,,,,
96,96,10096,,,,
97,97,10097,,,,
98,98,10098,,,,
100,100,10100,,,,
101,101,10101,,,,
102,102,10102,,,,
103,103,10103,,,,
104,104,10104,,,,
105,105,10105,,,,
106,106,10106,,,,
107,107,10107,,,,
111,111,10111,,,,
112,112,10112,,,,
113,113,10113,,,,
114,114,10114,,,,
115,115,10115,,,,
116,116,10116,,,,
117,117,10117,,,,
118,118,10118,,,,
126,126,10126,,,,
127,127,10127,,,,
128,128,10128,,,,
129,129,10129,,,,
130,130,10130,,,,
132,132,10132,,,,
133,133,10133,,,,
134,134,10134,,,,
135,135,10135,,,,
136,136,10136,,,,
137,137,10137,,,,
138,138,10138,,,,
139,139,10139,,,,
140,140,10140,,,,
141,141,10141,,,,
142,142,10142,,,,
144,144,10144,,,,
145,145,10145,,,,
146,146,10146,,,,
147,147,10147,,,,
148,148,10148,,,,
149,149,10149,,,,
150,150,10150,,,,
151,151,10151,,,,
162,162,10162,,,,
163,163,10163,,,,
168,168,10168,,,,
169,169,10169,,,,
170,170,10170,,,,
171,171,10171,,,,
172,172,10172,,,,
173,173,10173,,,,
174,174,10174,,,,
176,176,10176,,,,
177,177,10177,,,,
178,178,10178,,,,
179,179,10179,,,,
180,180,10180,,,,
181,181,10181,,,,
183,183,10183,,,,
184,184,10184,,,,
185,185,10185,,,,
186,186,10186,,,,
187,187,10187,,,,
188,188,10188,,,,
189,189,10189,,,,
190,190,10190,,,,
191,191,10191,,,,
192,192,10192,,,,
193,193,10193,,,,
194,194,10194,,,,
195,195,10195,,,,
196,196,10196,,,,
197,197,10197,,,,
198,198,10198,,,,
199,199,10199,,,,
208,208,10208,,,,
209,209,10209,,,,
210,210,10210,,,,
211,211,10211,,,,
213,213,10213,,,,
214,214,10214,,,,
215,215,10215,,,,
217,217,10217,,,,
218,218,10218,,,,
219,219,10219,,,,
220,220,10220,,,,
222,222,10222,,,,
223,223,10223,,,,
224,224,10224,,,,
225,225,10225,,,,
226,226,10226,,,,
227,227,10227,,,,
228,228,10228,,,,
229,229,10229,,,,
230,230,10230,,,,
231,231,10231,,,,
232,232,10232,,,,
233,233,10233,,,,
234,234,10234,,,,
235,235,10235,,,,
237,237,10237,,,,
239,239,10239,,,,
240,240,10240,,,,
241,241,10241,,,,
242,242,10242,,,,
301,301,10301,,,,
302,302,10302,,,,
303,303,10303,,,,
304,304,10304,,,,
305,305,10305,,,,
306,306,10306,,,,
307,307,10307,,,,
308,308,10308,,,,
309,309,10309,,,,
310,310,10310,,,,
311,311,10311,,,,
312,312,10312,,,,
313,313,10313,,,,
314,314,10314,,,,
315,315,10315,,,,
316,316,10316,,,,
317,317,10317,,,,
320,320,10320,,,,
321,321,10321,,,,
322,322,10322,,,,
325,325,10325,,,,
326,326,10326,,,,
328,328,10328,,,,
338,338,10338,,,,
341,341,10341,,,,
342,342,10342,,,,
343,343,10343,,,,
344,344,10344,,,,
345,345,10345,,,,
346,346,10346,,,,
347,347,10347,,,,
348,348,10348,,,,
349,349,10349,,,,
359,359,10359,,,,
361,361,10361,,,,
363,363,10363,,,,
364,364,10364,,,,
365,365,10365,,,,
367,367,10367,,,,
368,368,10368,,,,
369,369,10369,,,,
370,370,10370,,,,
371,371,10371,,,,
372,372,10372,,,,
373,373,10373,,,,
374,374,10374,,,,
375,375,10375,,,,
376,376,10376,,,,
377,377,10377,,,,
378,378,10378,,,,
379,379,10379,,,,
380,380,10380,,,,
382,382,10382,,,,
383,383,10383,,,,
385,385,10385,,,,
387,387,10387,,,,
388,388,10388,,,,
389,389,10389,,,,
390,390,10390,,,,
391,391,10391,,,,
392,392,10392,,,,
393,393,10393,,,,
394,394,10394,,,,
395,395,10395,,,,
396,396,10396,,,,
397,397,10397,,,,
398,398,10398,,,,
399,399,10399,,,,
400,400,10400,,,,
401,401,10401,,,,
402,402,10402,,,,
403,403,10403,,,,
404,404,10404,,,,
405,405,10405,,,,
406,406,10406,,,,
407,407,10407,,,,
408,408,10408,,,,
409,409,10409,,,,
410,410,10410,,,,
411,411,10411,,,,
412,412,10412,,,,
413,413,10413,,,,
414,414,10414,,,,
416,416,10416,,,,
417,417,10417,,,,
419,419,10419,,,,
420,420,10420,,,,
421,421,10421,,,,
422,422,10422,,,,
423,423,10423,,,,
424,424,10424,,,,
425,425,10425,,,,
426,426,10426,,,,
427,427,10427,,,,
428,428,10428,,,,
429,429,10429,,,,
431,431,10431,,,,
434,434,10434,,,,
435,435,10435,,,,
437,437,10437,,,,
438,438,10438,,,,
439,439,10439,,,,
440,440,10440,,,,
450,450,10450,,,,
451,451,10451,,,,
452,452,10452,,,,
453,453,10453,,,,
454,454,10454,,,,
455,455,10455,,,,
456,456,10456,,,,
457,457,10457,,,,
458,458,10458,,,,
461,461,10461,,,,
463,463,10463,,,,
465,465,10465,,,,
466,466,10466,,,,
474,474,10474,,,,
479,479,10479,,,,
484,484,10484,,,,
489,489,10489,,,,
490,490,10490,,,,
491,491,10491,,,,
492,492,10492,,,,
510,510,10510,,,,
512,512,10512,,,,
514,514,10514,,,,
515,515,10515,,,,
548,548,10548,,,,
564,564,10564,,,,
567,567,10567,,,,
569,569,10569,,,,
573,573,10573,,,,
574,574,10574,,,,
575,575,10575,,,,
576,576,10576,,,,
577,577,10577,,,,
578,578,10578,,,,
579,579,10579,,,,
580,580,10580,,,,
582,582,10582,,,,
584,584,10584,,,,
586,586,10586,,,,
588,588,10588,,,,
590,590,10590,,,,
592,592,10592,,,,
594,594,10594,,,,
595,595,10595,,,,
596,596,10596,,,,
597,597,10597,,,,
598,598,10598,,,,
600,600,10600,,,,
601,601,10601,,,,
602,602,10602,,,,
603,603,10603,,,,
604,604,10604,,,,
605,605,10605,,,,
606,606,10606,,,,
607,607,10607,,,,
609,609,10609,,,,
610,610,10610,,,,
611,611,10611,,,,
613,613,10613,,,,
614,614,10614,,,,
615,615,10615,,,,
616,616,10616,,,,
617,617,10617,,,,
621,621,10621,,,,
622,622,10622,,,,
623,623,10623,,,,
626,626,10626,,,,
627,627,10627,,,,
629,629,10629,,,,
630,630,10630,,,,
631,631,10631,,,,
632,632,10632,,,,
669,669,10669,,,,
670,670,10670,,,,
676,676,10676,,,,
677,677,10677,,,,
678,678,10678,,,,
679,679,10679,,,,
680,680,10680,,,,
681,681,10681,,,,
682,682,10682,,,,
683,683,10683,,,,
687,687,10687,,,,
688,688,10688,,,,
697,697,10697,,,,
698,698,10698,,,,
699,699,10699,,,,
700,700,10700,,,,
701,701,10701,,,,
702,702,10702,,,,
703,703,10703,,,,
704,704,10704,,,,
705,705,10705,,,,
706,706,10706,,,,
707,707,10707,,,,
708,708,10708,,,,
709,709,10709,,,,
710,710,10710,,,,
711,711,10711,,,,
716,716,10716,,,,
718,718,10718,,,,
719,719,10719,,,,
720,720,10720,,,,
721,721,10721,,,,
722,722,10722,,,,
723,723,10723,,,,
724,724,10724,,,,
725,725,10725,,,,
726,726,10726,,,,
727,727,10727,,,,
728,728,10728,,,,
729,729,10729,,,,
730,730,10730,,,,
731,731,10731,,,,
732,732,10732,,,,
733,733,10733,,,,
734,734,10734,,,,
735,735,10735,,,,
737,737,10737,,,,
738,738,10738,,,,
739,739,10739,,,,
740,740,10740,,,,
741,741,10741,,,,
742,742,10742,,,,
743,743,10743,,,,
744,744,10744,,,,
745,745,10745,,,,
747,747,10747,,,,
748,748,10748,,,,
749,749,10749,,,,
750,750,10750,,,,
751,751,10751,,,,
752,752,10752,,,,
753,753,10753,,,,
754,754,10754,,,,
755,755,10755,,,,
756,756,10756,,,,
757,757,10757,,,,
758,758,10758,,,,
759,759,10759,,,,
760,760,10760,,,,
766,766,10766,,,,
767,767,10767,,,,
770,770,10770,,,,
771,771,10771,,,,
772,772,10772,,,,
773,773,10773,,,,
774,774,10774,,,,
775,775,10775,,,,
776,776,10776,,,,
777,777,10777,,,,
778,778,10778,,,,
779,779,10779,,,,
907,907,10907,,,,
908,908,10908,,,,
912,912,10912,,,,
915,915,10915,,,,
920,920,10920,,,,
494,494,10921,,,,
844,844,10844,,,,
