int 0,string2 1,int 2,int 3,int 4
1010,"card_001",10,1,1
1011,"card_002",11,1,1
1030,"card_001",12,1,1
1040,"card_001",13,1,1
1090,"card_001",14,1,1
1091,"s900_162_001",901,1,1
2010,"card_001",20,1,1
2011,"card_002",21,1,1
2012,"card_003",22,1,1
2030,"card_001",23,1,1
3020,"card_001",30,1,1
4010,"card_001",40,1,1
4011,"card_tutorial",41,1,1
4012,"s900_162_trueking",903,1,1
102010,"card_001",1201,1,1
102020,"card_001",1202,1,1
102021,"card_002",1203,1,1
102040,"card_001",1204,1,1
102041,"card_002",1205,1,1
102042,"card_003",1206,1,1
102100,"agumon_knight_01",1250,1,1
102101,"gabumon_knight_01",1251,1,1
102102,"RoyalKnights_CRANIAMON",1252,1,1
102103,"s110_ENBARRMON",1253,1,1
102104,"RoyalKights_DUKEMON",1254,1,1
102110,"card_001",1207,1,1
102111,"card_002",1210,1,1
102130,"card_001",1208,1,1
102170,"card_001",1209,1,1
103010,"card_001",1306,1,1
103020,"card_001",1301,1,1
103021,"card_002",1302,1,1
103022,"card_003",1303,1,1
103050,"card_001",1304,1,1
103080,"card_001",1305,1,1
104010,"card_001",1401,1,1
104030,"card_001",1402,1,1
104040,"card_001",1403,1,1
104041,"card_002",1404,1,1
104042,"card_003",1405,1,1
104043,"card_004",1406,1,1
104044,"card_005",1407,1,1
105010,"card_001",1503,1,1
105011,"card_002",1504,1,1
105020,"card_001",1501,1,1
105060,"card_001",1502,1,1
105500,"card_001",1505,1,1
107010,"card_001",1701,1,1
107030,"card_001",1702,1,1
107031,"card_002",1703,1,1
112040,"card_001",11201,1,1
