string2 0,empty 1,empty 2,empty 3,string2 4,bool 5,bool 6,bool 7,bool 8,bool 9,bool 10,bool 11,bool 12,int 13,int 14,int 15,int 16,int 17,int 18,empty 19,int 20,int 21,string2 22,string2 23,string2 24,string2 25,string2 26,string2 27
"aero_001","","","","char_AEROVEEDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"agni_001","","","","char_AGNIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"agu_001","","","","char_AGUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aigio_001","","","","char_AEGIOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aigiob_001","","","","char_AEGIOCHUSMON_BLUE",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aigiod_001","","","","char_AEGIOCHUSMON_DARK",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aigiog_001","","","","char_AEGIOCHUSMON_GREEN",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aigioh_001","","","","char_AEGIOCHUSMON_HOLLY",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aigiou_001","","","","char_AEGIOCHUSMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aird_001","","","","char_AIRDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"alfa_001","","","","char_ALPHAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"alfak_001","","","","char_ALPHAMON_OURYUKEN",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"alfo_001","","","","char_ULFORCEVDRAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"andro_001","","","","char_ANDROMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"ange_001","","","","char_ANGEMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"angew_001","","","","char_ANGEWOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"ankylo_001","","","","char_ANKYLOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"anwi_001","","","","char_ANCIENTWISETMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aonb_001","","","","char_ENBARRMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"apollo_001","","","","char_APOLLOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aquila_001","","","","char_AQUILAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aruda_001","","","","char_ALDAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"aruma_001","","","","char_ARMADILLOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"asta_001","","","","char_ASTAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"atlaka_001","","","","char_ATLURKABUTERIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"bab_001","","","","char_BUBBMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"bacc_001","","","","char_BACCHUSMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"banleo_001","","","","char_BANCHOLEOMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"barba_001","","","","char_BARBAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"bear_001","","","","char_BEARMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"beji_001","","","","char_VEGIMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"bel_001","","","","char_BEELZEBUMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"belbl_001","","","","char_BEELZEMON_BM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"belfrm_001","","","","char_BELPHEMON_RM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"belfsm_001","","","","char_BELPHEMON_SM",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"belsta_001","","","","char_BEELSTARMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"beow_001","","","","char_BEOWOLFMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
"beta_001","","","","char_BETAMON",1,1,1,1,1,1,1,1,0,0,0,0,100,0,"",0,0,"","","","","",""
