int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,empty 6,int32 7,int32 8,empty 9,int32 10,int32 11,empty 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,int32 20,empty 21,int32 22,int32 23,empty 24,int32 25
147,20001,,25,200,351,,3,331,,1,0,,0,0,,0,0,,0,0,,0,0,,0
148,20002,,29,200,321,,3,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0
149,20003,,30,200,352,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
150,20004,,74,200,301,,3,322,,1,0,,0,0,,0,0,,0,0,,0,0,,0
151,20005,,48,200,312,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
152,20006,,49,200,313,,2,333,,2,0,,0,0,,0,0,,0,0,,0,0,,0
153,20007,,50,200,311,,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
154,20008,,31,200,301,,3,343,,1,0,,0,0,,0,0,,0,0,,0,0,,0
155,20009,,51,200,322,,3,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0
156,20010,,75,200,351,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
157,20011,,1,200,343,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
158,20012,,2,200,343,,3,323,,1,0,,0,0,,0,0,,0,0,,0,0,,0
159,20013,,46,200,312,,2,302,,2,0,,0,0,,0,0,,0,0,,0,0,,0
160,20014,,76,200,313,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
161,20015,,77,200,302,,10,322,,5,0,,0,0,,0,0,,0,0,,0,0,,0
162,20100,,5,200,353,,2,352,,2,0,,0,0,,0,0,,0,0,,0,0,,0
163,20101,,6,200,353,,3,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0
164,20102,,7,200,353,,1,352,,2,0,,0,0,,0,0,,0,0,,0,0,,0
165,20103,,32,200,351,,3,311,,1,0,,0,0,,0,0,,0,0,,0,0,,0
166,20104,,26,200,351,,2,311,,2,0,,0,0,,0,0,,0,0,,0,0,,0
167,20105,,27,200,351,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
168,20106,,8,200,311,,3,353,,1,0,,0,0,,0,0,,0,0,,0,0,,0
169,20107,,9,200,311,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
170,20108,,10,200,311,,3,333,,1,0,,0,0,,0,0,,0,0,,0,0,,0
171,20109,,11,200,311,,2,301,,2,0,,0,0,,0,0,,0,0,,0,0,,0
172,20110,,12,200,311,,3,302,,1,0,,0,0,,0,0,,0,0,,0,0,,0
173,20111,,13,200,311,,3,322,,1,0,,0,0,,0,0,,0,0,,0,0,,0
174,20112,,14,200,311,,3,323,,1,0,,0,0,,0,0,,0,0,,0,0,,0
175,20113,,15,200,311,,3,343,,1,0,,0,0,,0,0,,0,0,,0,0,,0
176,20114,,16,200,352,,3,322,,1,0,,0,0,,0,0,,0,0,,0,0,,0
177,20115,,17,200,352,,2,353,,2,0,,0,0,,0,0,,0,0,,0,0,,0
178,20116,,18,200,352,,2,341,,2,0,,0,0,,0,0,,0,0,,0,0,,0
179,20300,,19,200,302,,2,303,,2,0,,0,0,,0,0,,0,0,,0,0,,0
180,20301,,20,200,302,,2,301,,2,0,,0,0,,0,0,,0,0,,0,0,,0
181,20500,,24,200,332,,2,323,,2,0,,0,0,,0,0,,0,0,,0,0,,0
182,20502,,21,200,352,,3,351,,1,0,,0,0,,0,0,,0,0,,0,0,,0
183,20503,,22,200,352,,2,353,,2,0,,0,0,,0,0,,0,0,,0,0,,0
184,20504,,23,200,352,,2,311,,2,0,,0,0,,0,0,,0,0,,0,0,,0
185,20505,,33,200,321,,2,323,,2,0,,0,0,,0,0,,0,0,,0,0,,0
186,20506,,3,200,343,,10,351,,5,0,,0,0,,0,0,,0,0,,0,0,,0
187,20507,,4,200,331,,10,353,,5,0,,0,0,,0,0,,0,0,,0,0,,0
188,20508,,60,200,341,,3,311,,1,0,,0,0,,0,0,,0,0,,0,0,,0
189,20509,,62,200,301,,20,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
190,20510,,63,200,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
191,20511,,64,200,312,,3,331,,1,0,,0,0,,0,0,,0,0,,0,0,,0
192,20512,,61,200,312,,3,311,,1,0,,0,0,,0,0,,0,0,,0,0,,0
193,20513,,65,200,331,,10,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0
194,20514,,66,200,311,,10,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0
195,20515,,67,200,323,,10,331,,5,0,,0,0,,0,0,,0,0,,0,0,,0
196,20516,,68,200,313,,2,331,,2,0,,0,0,,0,0,,0,0,,0,0,,0
197,20517,,69,200,343,,3,341,,1,0,,0,0,,0,0,,0,0,,0,0,,0
198,20518,,70,200,342,,10,343,,5,0,,0,0,,0,0,,0,0,,0,0,,0
199,20519,,52,200,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
200,20520,,53,200,342,,10,311,,5,0,,0,0,,0,0,,0,0,,0,0,,0
201,20521,,34,200,343,,2,331,,2,0,,0,0,,0,0,,0,0,,0,0,,0
202,20522,,35,200,311,,3,331,,1,0,,0,0,,0,0,,0,0,,0,0,,0
203,20523,,36,200,331,,3,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0
204,20524,,37,200,311,,3,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0
205,20525,,38,200,321,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
206,20526,,39,200,321,,2,351,,2,0,,0,0,,0,0,,0,0,,0,0,,0
207,20527,,40,200,301,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
208,20528,,41,200,323,,2,332,,2,0,,0,0,,0,0,,0,0,,0,0,,0
209,20532,,42,200,311,,2,342,,2,0,,0,0,,0,0,,0,0,,0,0,,0
